,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8837.0,9279.0,10160.0,11028.0,11282.0,11549.0,11808.0,12069.0,12333.0,12677.0,13120.0,13495.0,13745.0,14176.0,14434.0,14808.0,15091.0,15366.0,15734.0,15894.0,16176.0,16335.0,16605.0,17065.0,17340.0,17709.0,18394.0,18651.0,18918.0,19260.0,19537.0,19779.0
Episode reward,0.0,-96.79500894837415,-98.06947930258781,-99.16508726337074,-59.24856987900903,-97.72261266707444,-96.37475243094832,-68.91404392707611,-26.71899253402426,43.16011914771334,83.78621566394153,71.68516039562445,63.68810934260831,87.39731929226281,87.27950293928532,86.85304203160025,87.77409070870411,87.58214675131812,83.63505445830742,85.84363285811942,91.44212588552618,86.15941212839152,78.33157882077272,85.74138580994929,86.42167386982987,87.62487333973687,86.66486590984056,83.39176624931339,90.81145022599685,86.50346898680284,91.16186933623716,88.31174873876864,73.16935768992462,87.58801814837913,84.95616160287669,86.94925896288683,86.18946982696446,89.31642311750976,77.56216817304077,88.45002505377585,84.11349066975765
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.7839891910553,86.00473165512085,129.6245813369751,173.3566391468048,217.16970252990723,260.64775943756104,303.8298990726471,346.3050744533539,382.9363453388214,402.23276114463806,441.21049904823303,479.4557292461395,491.09646677970886,503.280846118927,515.1074571609497,527.0857338905334,539.098827123642,555.116822719574,574.8441495895386,592.0640964508057,603.7041580677032,622.9171195030212,635.2696123123169,652.3332605361938,665.9535126686096,678.7546532154083,695.2658016681671,702.8591415882111,715.699923992157,723.429025888443,735.6777789592743,756.0062470436096,768.5997214317322,785.4663951396942,815.4448585510254,827.0062253475189,839.3511369228363,854.8857085704803,867.732125043869,878.8871419429779
total minutes,0.0,0.7130664865175883,1.4334121942520142,2.160409688949585,2.8892773191134133,3.6194950421651204,4.344129323959351,5.063831651210785,5.771751240889231,6.38227242231369,6.703879352410635,7.353508317470551,7.990928820768992,8.184941112995148,8.388014101982117,8.585124286015828,8.784762231508891,8.9849804520607,9.251947045326233,9.58073582649231,9.867734940846761,10.061735967795054,10.38195199171702,10.587826871871949,10.872221008936565,11.099225211143494,11.312577553590138,11.587763361136119,11.714319026470184,11.92833206653595,12.05715043147405,12.261296315987904,12.600104117393494,12.809995357195536,13.09110658566157,13.59074764251709,13.783437089125316,13.989185615380604,14.24809514284134,14.462202084064483,14.648119032382965
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,843.0,441.0,880.0,867.0,253.0,266.0,258.0,260.0,263.0,343.0,442.0,374.0,249.0,430.0,257.0,373.0,282.0,274.0,367.0,159.0,281.0,158.0,269.0,459.0,274.0,368.0,684.0,256.0,266.0,341.0,276.0,241.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
