,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Accumulated time steps,0.0,1000.0,1928.0,2304.0,2485.0,2869.0,3483.0,3943.0,4410.0,4734.0,4890.0,5244.0,5415.0,5564.0,6031.0,6378.0,6532.0,6789.0,6956.0,7201.0,7447.0,7602.0,8041.0,8288.0,8736.0,8891.0,9238.0,9504.0,9875.0,10126.0,10387.0,10723.0,10983.0,11412.0,11689.0,11940.0,12207.0,12401.0,12753.0,13010.0,13275.0,13530.0,13914.0,14159.0,15058.0,15220.0,15477.0,15727.0,15897.0,16241.0,16571.0,16824.0,17070.0,17406.0,17658.0,17807.0,18051.0,18326.0,18581.0,18738.0,18991.0,19350.0,19605.0,19861.0
Episode reward,0.0,-60.76241004842406,46.95796814144483,79.33015423126267,88.15391873166277,77.02635700925563,65.35950341158787,72.21307723015472,72.35348129660377,78.7071440139504,91.25647336840858,80.68038428680308,89.3336341392276,92.52157292601174,73.52849017752573,81.15245955816135,91.66700064928685,86.52052918766589,90.73452813022439,87.50395622735304,86.47809860953149,91.40851577115478,77.53218217622342,88.00716902384642,76.71199272927873,91.69675475129281,82.04619473187846,86.88815397169382,82.67929546950789,86.69253610441727,85.37995431628562,82.24600397905321,84.73861979851337,77.40322457489003,83.02641328164748,86.7359810711394,86.25040868256124,88.06490231493345,82.69345044353999,86.7484792179189,86.27516507499699,85.9682108176273,80.33105715289219,88.744439347228,60.145575907123,91.79402640932334,88.5487761626687,85.845725508187,89.78288643369218,83.34790875673262,84.37065309076672,86.98302890325733,87.18624526365781,83.11192022145812,87.68883782686369,92.07179761633735,87.78145242238949,86.50532857479341,86.8156811241323,91.75616241976863,87.60292399926304,80.98857569847296,86.04483465844855,86.71192018067833
Episode feedback,0.8,0.301603206110618,0.24163969768970905,0.15199999959466667,0.11666666601851852,0.10182767597434027,0.07340946154419338,0.07625272314541891,0.049356223070051025,0.04953560356180928,0.019354838584807493,0.03682719536309576,0.02352941162629758,0.006756756711102995,0.023605150163937445,0.026011560618463696,0.032679738348498445,0.0351562498626709,0.0,0.0,0.016326530545605997,0.025974025805363468,0.01598173512332937,0.0040650406338819485,0.00447427292063921,0.0,0.005780346804103044,0.0,0.010810810781592404,0.0,0.003846153831360947,0.0,0.0,0.004672897185343698,0.0,0.0,0.0037593984821075246,0.0,0.0028490028408860316,0.0,0.0,0.0,0.0,0.0,0.0011135857448623767,0.0,0.007812499969482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,78.88193154335022,156.74508666992188,183.1390562057495,195.74042010307312,220.00797128677368,256.95337891578674,284.5072660446167,311.2511122226715,330.24174523353577,339.28125381469727,359.34004497528076,369.3409674167633,377.9058735370636,403.2780075073242,422.4806776046753,431.6190276145935,446.1116154193878,455.2437090873718,468.3627166748047,481.97172689437866,491.00090289115906,514.641152381897,527.9463329315186,551.1128304004669,560.0377810001373,578.5570847988129,592.7068300247192,613.1751394271851,626.6885797977448,640.6328268051147,658.2467765808105,672.2381370067596,694.8850560188293,709.6100051403046,723.1775040626526,737.4832217693329,748.0231070518494,766.6183483600616,780.2969169616699,794.4463708400726,808.1081335544586,828.3359186649323,841.6651728153229,887.8594009876251,896.9551906585693,910.9244000911713,924.3307738304138,933.7800979614258,952.1942880153656,969.6909046173096,983.1681363582611,996.2918004989624,1014.2902510166168,1028.0177314281464,1036.4682981967926,1049.7028641700745,1064.1613709926605,1077.6152079105377,1086.4717056751251,1100.1032013893127,1118.8285765647888,1132.540936946869,1146.1404654979706
total minutes,0.0,1.314698859055837,2.6124181111653644,3.0523176034291586,3.262340335051219,3.666799521446228,4.282556315263112,4.741787767410278,5.187518537044525,5.504029087225596,5.654687563578288,5.989000749588013,6.155682790279388,6.298431225617727,6.72130012512207,7.041344626744588,7.193650460243225,7.43519359032313,7.587395151456197,7.8060452779134115,8.032862114906312,8.183348381519318,8.577352539698284,8.799105548858643,9.185213840007782,9.333963016668955,9.642618079980215,9.878447167078654,10.219585657119751,10.444809663295747,10.677213780085246,10.970779609680175,11.20396895011266,11.581417600313822,11.826833419005077,12.05295840104421,12.291387029488881,12.467051784197489,12.776972472667694,13.004948616027832,13.240772847334544,13.468468892574311,13.805598644415538,14.027752880255381,14.797656683127085,14.949253177642822,15.182073334852854,15.405512897173564,15.56300163269043,15.869904800256093,16.16151507695516,16.386135605971017,16.604863341649374,16.904837516943612,17.133628857135772,17.27447163661321,17.49504773616791,17.736022849877674,17.96025346517563,18.107861761252085,18.335053356488547,18.64714294274648,18.875682282447816,19.102341091632844
cummulative feedback,0.0,301.0,525.0,582.0,603.0,642.0,687.0,722.0,745.0,761.0,764.0,777.0,781.0,782.0,793.0,802.0,807.0,816.0,816.0,816.0,820.0,824.0,831.0,832.0,834.0,834.0,836.0,836.0,840.0,840.0,841.0,841.0,841.0,843.0,843.0,843.0,844.0,844.0,845.0,845.0,845.0,845.0,845.0,845.0,846.0,846.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,927.0,375.0,180.0,383.0,613.0,459.0,466.0,323.0,155.0,353.0,170.0,148.0,466.0,346.0,153.0,256.0,166.0,244.0,245.0,154.0,438.0,246.0,447.0,154.0,346.0,265.0,370.0,250.0,260.0,335.0,259.0,428.0,276.0,250.0,266.0,193.0,351.0,256.0,264.0,254.0,383.0,244.0,898.0,161.0,256.0,249.0,169.0,343.0,329.0,252.0,245.0,335.0,251.0,148.0,243.0,274.0,254.0,156.0,252.0,358.0,254.0,255.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
