,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Accumulated time steps,0.0,847.0,1292.0,1998.0,2785.0,3032.0,3475.0,3822.0,4193.0,4771.0,4931.0,5083.0,5362.0,5633.0,5972.0,6120.0,6274.0,6452.0,6704.0,6859.0,7125.0,7377.0,7533.0,7699.0,7963.0,8231.0,8386.0,8805.0,9088.0,9505.0,9745.0,9993.0,10235.0,10515.0,10674.0,10943.0,11294.0,12094.0,12515.0,12772.0,13011.0,13264.0,13606.0,13860.0,14352.0,14623.0,14878.0,15030.0,15186.0,15332.0,15497.0,15851.0,16110.0,16266.0,16505.0,16757.0,17152.0,17306.0,17461.0,17728.0,17893.0,18243.0,18775.0,19138.0
Episode reward,0.0,65.1004730715483,84.52983947322858,47.56342849462943,42.7129283335658,85.8416646671035,77.96529099177474,83.69569612314623,85.47120438604854,76.8651935884559,89.52990540293695,90.5081122626821,88.48051120264256,84.96352776266374,79.1393289304734,91.45692081177567,91.0149814552087,91.51590042491115,84.54579979990999,92.15815993302012,86.15657397299206,82.05708980469059,92.75713559415924,92.08787384305785,88.7697577471245,86.69942729629665,91.7034684871732,89.31041203583482,86.07120159413151,75.39567951013822,86.16410005603059,84.49699248888327,85.60068603123659,84.17670966767636,89.78468098553913,84.98590362167828,86.01200200439992,68.83052510328068,76.88337531352904,89.08479534644636,86.86686640791902,88.98533028878033,89.43949759154088,91.35595686615795,86.75698340890364,85.23092933485819,86.22971026772441,90.45077662002753,91.69798313606975,91.65971767625142,92.23398087009794,83.72389299318573,87.16543514113648,92.55110168522998,85.80185214059343,88.32840410202192,84.8215945144551,92.4991437319709,92.00091827244097,85.41941170389367,92.37979870708503,83.34757748268136,78.11474127534086,86.05043894699925
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,34.89828324317932,54.51110076904297,85.03759407997131,118.16104030609131,129.5678641796112,149.0152449607849,164.42192816734314,180.84669828414917,205.85140371322632,213.5130262374878,220.63414669036865,232.95976376533508,245.14932584762573,260.3962278366089,267.6008553504944,274.7857115268707,283.31299114227295,294.52542304992676,301.7141623497009,313.48644971847534,324.63741087913513,332.1354682445526,339.919025182724,351.55073380470276,363.355952501297,370.5489664077759,388.27093029022217,400.7200195789337,418.81476497650146,429.54352140426636,440.8505253791809,451.78391790390015,463.9243860244751,471.3471555709839,483.385915517807,498.932822227478,532.7719750404358,551.1338753700256,562.5813791751862,573.6374938488007,585.1542017459869,600.318767786026,611.8954517841339,633.5000281333923,645.6659088134766,657.179612159729,664.4399886131287,671.8578372001648,678.8667094707489,686.7768065929413,702.49303150177,714.0822641849518,721.3692610263824,732.3476119041443,743.4623227119446,760.6541311740875,768.0034236907959,775.2746965885162,787.2758891582489,795.2614362239838,810.834046125412,833.7909917831421,849.5553088188171
total minutes,0.0,0.5816380540529887,0.9085183461507161,1.4172932346661886,1.9693506717681886,2.15946440299352,2.4835874160130818,2.740365469455719,3.014111638069153,3.430856728553772,3.5585504372914634,3.6772357781728107,3.8826627294222513,4.0858220974604285,4.339937130610148,4.460014255841573,4.579761858781179,4.72188318570455,4.908757050832112,5.028569372495015,5.224774161974589,5.4106235146522526,5.53559113740921,5.665317086378733,5.859178896745046,6.055932541688283,6.1758161067962645,6.471182171503703,6.678666992982229,6.980246082941691,7.159058690071106,7.347508756319682,7.529731965065002,7.732073100407918,7.8557859261830645,8.056431925296783,8.315547037124634,8.879532917340596,9.185564589500427,9.376356319586437,9.560624897480011,9.752570029099783,10.005312796433767,10.198257529735566,10.558333802223206,10.761098480224609,10.952993535995484,11.073999810218812,11.197630620002746,11.314445157845816,11.446280109882355,11.708217191696168,11.901371069749196,12.022821017106374,12.205793531735738,12.391038711865743,12.677568852901459,12.800057061513265,12.921244943141938,13.121264819304148,13.25435727039973,13.513900768756866,13.896516529719035,14.159255146980286
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,845.0,444.0,705.0,786.0,246.0,442.0,346.0,370.0,577.0,159.0,151.0,278.0,270.0,338.0,147.0,153.0,177.0,251.0,154.0,265.0,251.0,155.0,165.0,263.0,267.0,154.0,418.0,282.0,416.0,239.0,247.0,241.0,279.0,158.0,268.0,350.0,799.0,420.0,256.0,238.0,252.0,341.0,253.0,491.0,270.0,254.0,151.0,155.0,145.0,164.0,353.0,258.0,155.0,238.0,251.0,394.0,153.0,154.0,266.0,164.0,349.0,531.0,362.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
