,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
Accumulated time steps,0.0,559.0,836.0,1110.0,1619.0,1786.0,2051.0,2304.0,2587.0,2965.0,3232.0,3493.0,3771.0,3929.0,4277.0,4540.0,4803.0,5066.0,5426.0,5779.0,6033.0,6390.0,6547.0,6815.0,6969.0,7121.0,7297.0,7550.0,7808.0,8280.0,8535.0,9053.0,9345.0,9614.0,9769.0,10033.0,10278.0,10436.0,10789.0,11051.0,11373.0,11529.0,11781.0,12026.0,12304.0,12462.0,12717.0,12870.0,13055.0,13222.0,13484.0,13792.0,14042.0,14303.0,14565.0,14912.0,15174.0,15447.0,15712.0,15869.0,16140.0,16325.0,16482.0,16633.0,16914.0,17072.0,17352.0,17712.0,17866.0,18022.0,18187.0,18351.0,18608.0,18766.0,19014.0,19182.0,19524.0,19857.0
Episode reward,0.0,74.8264619263802,84.8912957796058,84.83080405932486,72.01169828068062,90.42824504741245,85.93432734694458,86.84962220661343,83.41333577204459,77.89011462539337,85.61247013912438,85.93479774534008,84.4759192426603,91.59486183164321,82.49952539572027,86.26869470852701,86.20779419535042,86.53118006749808,81.63678977741145,82.71023454482392,87.41051148865364,83.21136895636988,91.7629635870801,86.13071904710989,91.9828372088101,92.01735061640642,90.54741977333853,87.20659093248345,88.46398376113733,74.78122264836762,87.52975732838395,73.34715392361818,82.98891153428524,87.43286491468665,90.9326487877095,86.93084401377148,88.03074625787352,91.49574006745374,82.24437083080718,88.02372205760997,83.90470380000096,90.91516213772745,87.3727379378538,84.4700185574755,83.25881742478171,91.15363859597223,86.29599160318118,91.13202012728848,88.90056147983672,90.12772965207498,86.0698670472636,81.48716497270735,87.21060774594926,87.16626632064659,86.7645027420421,81.4750559631994,86.67364632438554,85.16552213144679,87.27083529641682,91.07257096505185,83.59618470194648,89.2904971872431,91.33948965542474,91.28135622995556,84.51020500240443,90.4982001984085,83.48444214523565,80.70697932498021,91.51169883108103,92.33434865080335,90.13584125208862,91.13123492733516,86.68255788917469,91.06612033168877,86.45817223439036,90.74982869852616,80.40585676759957,80.98759715426907
Episode feedback,0.8,0.3877917407759574,0.22101449195284606,0.19780219707764762,0.14763779498496496,0.14457831238205837,0.14393939339416897,0.13492063438523558,0.15957446751923948,0.09549071592708033,0.08270676660636554,0.06923076896449705,0.054151624353243236,0.08917197395431864,0.057636887441968626,0.030534351028494843,0.038167938785618555,0.038167938785618555,0.04456824500120266,0.03693181807689824,0.019762845771688357,0.033707865073854315,0.01923076910749507,0.022471910028195093,0.013071895339399377,0.006622516512433666,0.01714285704489796,0.023809523715041574,0.027237353979621192,0.010615711230115264,0.0,0.003868471946095799,0.010309278315088391,0.0074626865393183335,0.006493506451340867,0.007604562708727899,0.00819672127788229,0.0,0.00852272724851498,0.0,0.0,0.0064516128616024975,0.007968127458294312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038314176098413117,0.0,0.0,0.0,0.0,0.0,0.0037037036899862825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,43.575987815856934,63.3948769569397,82.44511532783508,115.56912016868591,127.11438989639282,145.87599205970764,162.8625705242157,182.2037332057953,205.32279086112976,221.66611337661743,237.0916450023651,253.22404670715332,263.1108694076538,284.7052309513092,299.58765268325806,314.54905128479004,329.42978262901306,349.6191837787628,369.10970854759216,383.168984413147,403.0006790161133,412.1404182910919,426.860897064209,435.67025089263916,444.30117321014404,454.16213035583496,468.2321400642395,482.6027853488922,507.4429361820221,521.1787633895874,548.1596894264221,563.9003908634186,578.486270904541,587.2561330795288,601.7728066444397,615.179945230484,624.1160168647766,642.9970381259918,657.0325801372528,673.8586776256561,682.6787543296814,696.6391470432281,709.8391494750977,724.6695578098297,733.5335626602173,747.2521424293518,755.8348000049591,766.1268026828766,775.4642584323883,789.5049104690552,805.9928917884827,819.4880621433258,833.7846953868866,848.0065126419067,866.3891997337341,880.4021651744843,895.0036916732788,909.1462378501892,917.9063496589661,932.4374332427979,942.7166001796722,951.5947365760803,960.261825799942,975.2762172222137,984.4301910400391,999.7643330097198,1020.6230731010437,1029.225769996643,1037.9992635250092,1047.3819513320923,1056.7719175815582,1071.2351253032684,1080.1196465492249,1093.655526638031,1103.0081748962402,1121.0320687294006,1139.2783572673798
total minutes,0.0,0.7262664635976156,1.0565812826156615,1.374085255463918,1.9261520028114318,2.1185731649398805,2.4312665343284605,2.714376175403595,3.036728886763255,3.4220465143521626,3.694435222943624,3.951527416706085,4.2204007784525555,4.38518115679423,4.74508718252182,4.993127544720967,5.242484188079834,5.490496377150218,5.826986396312714,6.151828475793203,6.386149740219116,6.716677983601888,6.869006971518199,7.114348284403483,7.261170848210653,7.405019553502401,7.569368839263916,7.803869001070658,8.04337975581487,8.457382269700368,8.68631272315979,9.135994823773702,9.398339847723642,9.641437848409018,9.787602217992147,10.029546777407328,10.252999087174734,10.401933614412943,10.716617302099865,10.950543002287548,11.230977960427602,11.377979238828024,11.610652450720469,11.830652491251628,12.077825963497162,12.225559377670288,12.45420237382253,12.597246666749319,12.76878004471461,12.924404307206471,13.158415174484253,13.433214863141378,13.65813436905543,13.896411589781444,14.133441877365112,14.439819995562235,14.673369419574737,14.916728194554647,15.152437297503154,15.298439160982769,15.540623887379963,15.71194333632787,15.859912276268005,16.004363763332368,16.25460362037023,16.40716985066732,16.66273888349533,17.010384551684062,17.153762833277383,17.29998772541682,17.456365855534873,17.61286529302597,17.853918755054472,18.00199410915375,18.22759211063385,18.383469581604004,18.683867812156677,18.987972621122996
cummulative feedback,0.0,216.0,277.0,331.0,406.0,430.0,468.0,502.0,547.0,583.0,605.0,623.0,638.0,652.0,672.0,680.0,690.0,700.0,716.0,729.0,734.0,746.0,749.0,755.0,757.0,758.0,761.0,767.0,774.0,779.0,779.0,781.0,784.0,786.0,787.0,789.0,791.0,791.0,794.0,794.0,794.0,795.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,798.0,798.0,798.0,798.0,798.0,798.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0,799.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,557.0,276.0,273.0,508.0,166.0,264.0,252.0,282.0,377.0,266.0,260.0,277.0,157.0,347.0,262.0,262.0,262.0,359.0,352.0,253.0,356.0,156.0,267.0,153.0,151.0,175.0,252.0,257.0,471.0,254.0,517.0,291.0,268.0,154.0,263.0,244.0,157.0,352.0,261.0,321.0,155.0,251.0,244.0,277.0,157.0,254.0,152.0,184.0,166.0,261.0,307.0,249.0,260.0,261.0,346.0,261.0,272.0,264.0,156.0,270.0,184.0,156.0,150.0,280.0,157.0,279.0,359.0,153.0,155.0,164.0,163.0,256.0,157.0,247.0,167.0,341.0,332.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
