,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
Accumulated time steps,0.0,1000.0,1262.0,1535.0,1882.0,2049.0,2209.0,2498.0,2754.0,2932.0,3185.0,3345.0,3501.0,3656.0,3816.0,4066.0,4210.0,4476.0,4839.0,5137.0,5302.0,5575.0,5925.0,6168.0,6338.0,6485.0,6637.0,6783.0,7128.0,7286.0,7442.0,7604.0,7896.0,8045.0,8282.0,8598.0,8834.0,9163.0,9315.0,9462.0,9815.0,10152.0,10400.0,10551.0,10704.0,10957.0,11107.0,11256.0,11509.0,11682.0,11846.0,12097.0,12261.0,12413.0,12653.0,12801.0,12961.0,13218.0,13367.0,13516.0,13762.0,13913.0,14059.0,14210.0,14356.0,14611.0,14857.0,15123.0,15371.0,15518.0,15768.0,16105.0,16258.0,16606.0,16759.0,16909.0,17052.0,17203.0,17354.0,17597.0,17742.0,17893.0,18034.0,18268.0,18590.0,18737.0,18879.0,19123.0,19266.0,19404.0,19690.0,19943.0
Episode reward,0.0,-59.39135379335015,85.21436855345692,84.3799197197277,80.40015632899903,90.94047808129925,90.99616494929893,82.72201041194184,85.60064413537485,89.72003783160483,86.78011709131123,89.77034651242764,90.93958048991676,91.91254426221809,90.37979086536393,87.30554737947509,91.66365649649435,87.86866262222219,82.33546521931244,87.63606992079431,90.95273273653237,86.07864956145545,81.55657745409671,87.32508372457136,90.16272443110043,91.84061690466372,90.96631287537357,91.15619906629728,82.92267421329193,91.78116700188107,91.32122680222881,90.95367326808433,86.14517074802326,92.14045625694996,91.24580766600806,86.3037031002149,87.69692520682936,83.40268799328976,91.60051963810231,91.92453246420817,83.80395940276496,84.56598801169444,86.00990007097386,91.85740444959553,90.52421182193856,86.91093218409304,91.62733546482156,92.00519893598423,86.31963795679282,89.91312365179847,91.35947304923657,87.68085537801474,91.06399087374164,92.01857210911844,88.41502070453305,92.04139934058509,91.54366069295617,86.61499478265382,91.83164964265947,91.96317562529833,87.64209612911199,91.98045137754607,92.03653964262855,91.92001381202353,91.83972295617237,86.68552104073896,86.99565172617335,85.93479870100728,87.59649174977774,91.7415596688037,87.62582275905189,83.7977275114371,91.69764308520082,83.45564648896445,90.87766365240978,91.5767759351066,91.97951283620924,91.39613450899121,91.56523356570825,87.45928068752873,91.8609272793654,91.99096055044379,92.2779581465326,88.65509236487006,85.20994487119572,91.53764967453307,92.52407982231067,88.01929721710172,92.27021381562645,91.49942681366414,82.81005825842905,83.53453579084189
Episode feedback,0.8,0.3106212421737262,0.2643678150790505,0.23161764620728806,0.20520231154565807,0.21084337222383512,0.13207547086744986,0.17013888829812887,0.16078431309496347,0.14124293705512464,0.13492063438523558,0.07547169763854278,0.14193548295525496,0.10389610322145387,0.08176100577508802,0.08032128481798681,0.04895104860873393,0.06037735826272695,0.07458563515307835,0.0606060604019998,0.05487804844586556,0.055147058620782875,0.03438395405620644,0.016528925551533364,0.03550295836980498,0.04109589012948021,0.03311258256216833,0.0,0.026162790621619796,0.01910828013306828,0.019354838584807493,0.0,0.010309278315088391,0.020270270133308985,0.021186440588193047,0.015873015822625347,0.012765957392485287,0.024390243828078525,0.019867549537300997,0.0068493150215800346,0.00852272724851498,0.0029761904673327663,0.0,0.0066666666222222224,0.006578947325138505,0.003968253952506929,0.006711409350930139,0.0,0.003968253952506929,0.0,0.0,0.003999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081632636401499,0.0066666666222222224,0.0,0.0066666666222222224,0.006896551676575506,0.0,0.0,0.0,0.004048582979560393,0.0,0.0,0.0029761904673327663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,80.49141311645508,102.15273880958557,124.8063817024231,153.1131296157837,166.68982768058777,178.1333360671997,200.8224000930786,220.46200561523438,233.7585744857788,251.40172863006592,262.38961386680603,274.4474458694458,285.30914211273193,296.2392735481262,312.9581949710846,322.32030844688416,339.12850546836853,361.7958710193634,380.94047260284424,391.3984053134918,408.58706760406494,428.83486795425415,442.8623387813568,453.3725776672363,462.87028455734253,472.87743735313416,481.749502658844,501.8095052242279,511.00258016586304,520.5359327793121,530.0525412559509,546.6442015171051,555.5253868103027,568.9533488750458,586.9859626293182,600.6054978370667,619.704596042633,629.2763311862946,638.2305042743683,658.0996375083923,677.0968821048737,691.3169841766357,700.71155834198,709.5313704013824,723.5271003246307,732.5263049602509,741.2587776184082,755.3273463249207,765.4787893295288,774.7935266494751,788.8839828968048,798.271564245224,806.8599650859833,820.4820930957794,828.996657371521,838.130330324173,851.9855527877808,860.4385554790497,868.8136429786682,882.0011403560638,890.4659740924835,898.6384682655334,907.0249438285828,915.2659769058228,928.7103064060211,941.621244430542,955.7346882820129,969.188346862793,977.221248626709,990.474672794342,1008.2068936824799,1016.7047820091248,1034.8772559165955,1043.4464330673218,1051.8617832660675,1060.3139555454254,1068.739471912384,1077.8145806789398,1091.0166387557983,1099.3858370780945,1107.8970766067505,1115.9863471984863,1128.5527415275574,1145.4617824554443,1153.8340201377869,1161.8974709510803,1175.2509145736694,1183.547800540924,1191.3506393432617,1206.494891166687,1219.9968347549438
total minutes,0.0,1.3415235519409179,1.7025456468264262,2.0801063617070517,2.551885493596395,2.778163794676463,2.9688889344533282,3.3470400015513104,3.674366760253906,3.8959762414296466,4.190028810501099,4.373160231113434,4.574124097824097,4.755152368545533,4.937321225802104,5.2159699161847435,5.372005140781402,5.652141757806143,6.029931183656057,6.3490078767140705,6.523306755224864,6.809784460067749,7.14724779923757,7.38103897968928,7.556209627787272,7.714504742622376,7.881290622552236,8.0291583776474,8.363491753737131,8.51670966943105,8.675598879655203,8.834209020932516,9.110736691951752,9.25875644683838,9.482555814584096,9.783099377155304,10.010091630617778,10.328409934043885,10.48793885310491,10.637175071239472,10.968327291806538,11.284948035081227,11.521949736277262,11.678525972366334,11.82552284002304,12.058785005410511,12.208771749337513,12.354312960306803,12.588789105415344,12.757979822158813,12.913225444157918,13.148066381613413,13.304526070753733,13.447666084766388,13.674701551596323,13.816610956192017,13.968838838736216,14.19975921312968,14.340642591317495,14.480227382977803,14.700019005934397,14.841099568208058,14.977307804425557,15.117082397143045,15.25443294843038,15.478505106767019,15.6936874071757,15.928911471366883,16.153139114379883,16.28702081044515,16.507911213239034,16.80344822804133,16.94507970015208,17.24795426527659,17.390773884455363,17.531029721101124,17.671899259090424,17.812324531873067,17.963576344648995,18.18361064592997,18.32309728463491,18.464951276779175,18.599772453308105,18.809212358792625,19.09102970759074,19.230567002296446,19.364957849184673,19.58751524289449,19.72579667568207,19.85584398905436,20.10824818611145,20.333280579249063
cummulative feedback,0.0,310.0,379.0,442.0,513.0,548.0,569.0,618.0,659.0,684.0,718.0,730.0,752.0,768.0,781.0,801.0,808.0,824.0,851.0,869.0,878.0,893.0,905.0,909.0,915.0,921.0,926.0,926.0,935.0,938.0,941.0,941.0,944.0,947.0,952.0,957.0,960.0,968.0,971.0,972.0,975.0,976.0,976.0,977.0,978.0,979.0,980.0,980.0,981.0,981.0,981.0,982.0,982.0,982.0,982.0,982.0,982.0,982.0,982.0,982.0,983.0,984.0,984.0,985.0,986.0,986.0,986.0,986.0,987.0,987.0,987.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,261.0,272.0,346.0,166.0,159.0,288.0,255.0,177.0,252.0,159.0,155.0,154.0,159.0,249.0,143.0,265.0,362.0,297.0,164.0,272.0,349.0,242.0,169.0,146.0,151.0,145.0,344.0,157.0,155.0,161.0,291.0,148.0,236.0,315.0,235.0,328.0,151.0,146.0,352.0,336.0,247.0,150.0,152.0,252.0,149.0,148.0,252.0,172.0,163.0,250.0,163.0,151.0,239.0,147.0,159.0,256.0,148.0,148.0,245.0,150.0,145.0,150.0,145.0,254.0,245.0,265.0,247.0,146.0,249.0,336.0,152.0,347.0,152.0,149.0,142.0,150.0,150.0,242.0,144.0,150.0,140.0,233.0,321.0,146.0,141.0,243.0,142.0,137.0,285.0,252.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
