,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
Accumulated time steps,0.0,709.0,1287.0,1549.0,1898.0,2167.0,2356.0,2622.0,2992.0,3244.0,3489.0,3646.0,3912.0,4255.0,4409.0,4607.0,4885.0,5045.0,5216.0,5378.0,5637.0,5792.0,5951.0,6106.0,6465.0,6701.0,6955.0,7336.0,7602.0,7768.0,7920.0,8076.0,8351.0,8513.0,8785.0,8938.0,9334.0,9687.0,9962.0,10123.0,10380.0,10585.0,10843.0,11109.0,11293.0,11573.0,11731.0,11999.0,12371.0,12576.0,12838.0,13124.0,13285.0,13556.0,13709.0,14060.0,14221.0,14403.0,14556.0,14822.0,15103.0,15461.0,15737.0,15892.0,16151.0,16429.0,16703.0,16861.0,17131.0,17290.0,17449.0,17602.0,17759.0,18031.0,18193.0,18470.0,18625.0,18980.0,19473.0,19747.0,19903.0
Episode reward,0.0,61.095212714589145,68.0782524881275,85.91447706648884,81.65563031040932,84.98610106214275,88.63564721455,85.14109401523697,81.00650450233356,86.18275808257984,87.3947908280442,90.86132746194247,85.46277510360811,80.81149561105656,91.70718312872285,87.6866949641666,84.63237942435298,90.41307538974925,90.59563064007806,90.44852478253854,86.25474445228588,91.56411330001872,91.224282887652,91.63177733071997,81.30220193813307,87.64261398356926,87.26908266159973,79.89343236822621,86.18581894896819,90.84760044262451,91.47259951592282,91.11558185797506,85.33756550027925,89.81337123296834,87.67254575524726,91.391172608929,78.2363480751914,79.91919089957184,83.40133647606295,90.32882828100455,86.16000732103234,86.48283778209336,88.58169170817288,85.20253349411135,88.45657363920682,84.91621141088032,91.64177308081256,86.29565127744951,80.67834330801963,87.06726499130656,85.56054559296007,82.09180999339976,90.30013377412276,84.6082564948698,91.21833642468995,81.25556337329238,91.45779976482008,91.38058118750646,91.4810884462226,87.20143080448678,84.58029275619974,80.68445539154587,83.82370742439787,91.00398604270646,85.53504049594295,83.12590516175885,85.01433264870623,91.23545049072685,86.60927794221575,90.89571366608564,90.8473305296995,91.29673910753203,91.35420151441895,85.25384558886067,90.4552346653476,84.38982516727305,91.49361087567235,81.97382339028704,72.62418251382027,85.54590170310186,90.86191866582412
Episode feedback,0.8,0.42291371934524224,0.19584055425330926,0.1877394628822243,0.18103448223840665,0.17910447694364,0.10638297815753735,0.09433962228551086,0.10298102953121673,0.06772908339550165,0.09836065533458747,0.05128205095332019,0.04150943380562478,0.03801169579528744,0.07843137203639626,0.03553299474348734,0.050541516063027016,0.012578616273090464,0.01176470581314879,0.018633540256934533,0.02325581386334956,0.012987012902681734,0.0253164555359718,0.0,0.01675977648949783,0.012765957392485287,0.0039525691543376715,0.005263157880886426,0.015094339565681738,0.006060606023875115,0.006622516512433666,0.0,0.0036496350231765146,0.006211180085644845,0.011070110660257895,0.0,0.0050632911264220475,0.00852272724851498,0.0,0.0,0.0,0.004901960760284506,0.0,0.0,0.0,0.0035842293778343033,0.00636942671102276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,69.51156282424927,112.663649559021,132.85976648330688,159.092791557312,179.21371960639954,192.1726803779602,209.3685121536255,233.93753361701965,250.50613951683044,268.14342641830444,279.6465036869049,296.9977900981903,317.7414445877075,328.6310546398163,341.6688160896301,359.46601390838623,369.1225130558014,378.8903007507324,388.7781457901001,404.0372495651245,413.2858085632324,422.8375380039215,431.8377802371979,452.0009686946869,465.6644585132599,479.8760108947754,500.44216895103455,515.8526339530945,525.477668762207,534.2274074554443,543.082715511322,558.2880253791809,567.47731590271,582.4236226081848,591.1268291473389,612.4182813167572,631.372079372406,646.2350187301636,655.5872092247009,669.3289523124695,680.6445398330688,694.6340591907501,708.939671754837,719.5780563354492,734.8085887432098,743.9534139633179,758.7932856082916,778.9136583805084,790.2798757553101,804.4649007320404,819.7591471672058,828.7558405399323,843.3867032527924,852.0276401042938,870.6350843906403,879.936235666275,890.1260170936584,898.688262462616,912.9527518749237,928.2582387924194,947.5424163341522,962.4323089122772,971.1277117729187,985.5802173614502,1000.8823132514954,1015.6111636161804,1024.5118579864502,1039.2361478805542,1048.276089668274,1057.5742406845093,1066.6565885543823,1075.873816728592,1094.6552350521088,1103.8563213348389,1118.6860392093658,1127.7087664604187,1146.5845725536346,1172.3138983249664,1187.3687198162079,1196.3483729362488
total minutes,0.0,1.1585260470708212,1.87772749265035,2.2143294413884482,2.6515465259552,2.986895326773326,3.2028780062993367,3.489475202560425,3.898958893616994,4.175102325280507,4.469057106971741,4.660775061448415,4.949963168303172,5.295690743128459,5.4771842439969385,5.694480268160502,5.9911002318064375,6.152041884263356,6.314838345845541,6.479635763168335,6.733954159418742,6.888096809387207,7.047292300065359,7.197296337286631,7.533349478244782,7.761074308554331,7.997933514912924,8.340702815850575,8.597543899218241,8.757961146036784,8.903790124257405,9.051378591855366,9.304800422986348,9.457955265045166,9.70706037680308,9.852113819122314,10.206971355279286,10.5228679895401,10.770583645502727,10.92645348707835,11.155482538541158,11.34407566388448,11.577234319845836,11.81566119591395,11.99296760559082,12.24680981238683,12.399223566055298,12.646554760138194,12.981894306341808,13.1713312625885,13.407748345534007,13.662652452786764,13.812597342332204,14.056445054213206,14.200460668404897,14.510584739844004,14.66560392777125,14.835433618227642,14.978137707710266,15.215879197915395,15.470970646540325,15.792373605569203,16.040538481871288,16.18546186288198,16.42633695602417,16.68137188752492,16.92685272693634,17.075197633107503,17.320602464675904,17.4712681611379,17.62623734474182,17.777609809239706,17.931230278809867,18.244253917535147,18.397605355580648,18.6447673201561,18.795146107673645,19.10974287589391,19.538564972082774,19.789478663603465,19.93913954893748
cummulative feedback,0.0,299.0,412.0,461.0,524.0,572.0,592.0,617.0,655.0,672.0,696.0,704.0,715.0,728.0,740.0,747.0,761.0,763.0,765.0,768.0,774.0,776.0,780.0,780.0,786.0,789.0,790.0,792.0,796.0,797.0,798.0,798.0,799.0,800.0,803.0,803.0,805.0,808.0,808.0,808.0,808.0,809.0,809.0,809.0,809.0,810.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0,811.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,707.0,577.0,261.0,348.0,268.0,188.0,265.0,369.0,251.0,244.0,156.0,265.0,342.0,153.0,197.0,277.0,159.0,170.0,161.0,258.0,154.0,158.0,154.0,358.0,235.0,253.0,380.0,265.0,165.0,151.0,155.0,274.0,161.0,271.0,152.0,395.0,352.0,274.0,160.0,256.0,204.0,257.0,265.0,183.0,279.0,157.0,267.0,371.0,204.0,261.0,285.0,160.0,270.0,152.0,350.0,160.0,181.0,152.0,265.0,280.0,357.0,275.0,154.0,258.0,277.0,273.0,157.0,269.0,158.0,158.0,152.0,156.0,271.0,161.0,276.0,154.0,354.0,492.0,273.0,155.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
