,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3292.0,3741.0,4107.0,4883.0,5345.0,5606.0,6226.0,6610.0,6947.0,7406.0,7699.0,8342.0,8762.0,9407.0,9584.0,9830.0,10106.0,10455.0,10878.0,11037.0,11279.0,11916.0,12252.0,12584.0,13137.0,13419.0,13663.0,14005.0,14368.0,14708.0,15047.0,15391.0,15543.0,15886.0,16303.0,16646.0,16887.0,17228.0,17682.0,17836.0,18107.0,18439.0,18690.0,19350.0,19592.0,19771.0
Episode reward,0.0,-23.82609237113199,-51.23631867564917,-20.665936559995764,81.55312302697877,71.12250217963461,80.11626857018949,66.19509163947095,75.27215839605697,84.1085016204223,60.448809692958335,79.73000234888778,77.18692186700078,77.9042932863539,82.93401703859233,57.59162279706204,75.02687974413061,73.73930130224866,91.19267493619272,85.7346869577006,85.46096046190357,78.87534169404303,78.00472373642563,92.47344518233965,86.10140106396052,71.92378077437527,81.84005849638461,80.87103661493043,75.95231762995769,88.25619623519813,86.21694446444752,80.28006565551192,76.92856831978713,78.34481197575295,83.04270334157474,83.22340725862912,92.68329996617784,77.72338904541547,76.48216203591892,79.51613333067016,85.70913748858167,85.6326846384135,78.64073616712435,91.1971198573602,85.9293394232382,80.40549531024283,86.52465516421259,75.11975798502777,86.18550295829695,89.8824508824418
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,46.4348349571228,89.21311473846436,132.2616810798645,145.4879002571106,165.09365892410278,181.47781658172607,214.52852487564087,235.10249018669128,247.09976053237915,273.89697909355164,290.98317193984985,305.7270276546478,325.69003224372864,338.9435329437256,367.002325296402,385.4956820011139,413.5769085884094,421.90904116630554,433.24165201187134,445.7427978515625,461.4548327922821,479.9714605808258,487.5340235233307,498.70150923728943,526.2877931594849,541.1795566082001,556.330973148346,580.4484853744507,593.5850133895874,605.1138792037964,620.4142389297485,636.7422487735748,652.3249728679657,667.4756512641907,683.1135005950928,690.6505765914917,706.2025625705719,724.626029253006,740.4092438220978,751.6671526432037,767.5764479637146,788.2866213321686,796.1520144939423,808.8256778717041,823.7763285636902,835.2774803638458,864.7081637382507,876.3421316146851,885.0471775531769
total minutes,0.0,0.7739139159520467,1.4868852456410726,2.204361351331075,2.42479833761851,2.7515609820683795,3.0246302763621014,3.5754754145940146,3.9183748364448547,4.118329342206319,4.564949651559194,4.849719532330831,5.095450460910797,5.428167204062144,5.649058882395426,6.116705421606699,6.4249280333518985,6.8929484764734905,7.031817352771759,7.220694200197856,7.429046630859375,7.690913879871369,7.999524343013763,8.125567058722178,8.31169182062149,8.771463219324747,9.019659276803335,9.272182885805766,9.674141422907512,9.893083556493123,10.085231320063274,10.34023731549581,10.612370812892914,10.872082881132762,11.12459418773651,11.385225009918212,11.510842943191529,11.770042709509532,12.0771004875501,12.340154063701629,12.527785877386728,12.792940799395243,13.138110355536144,13.269200241565704,13.4804279645284,13.729605476061503,13.921291339397431,14.411802728970846,14.605702193578084,14.750786292552949
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,293.0,448.0,365.0,775.0,461.0,260.0,619.0,383.0,336.0,458.0,292.0,642.0,419.0,644.0,176.0,245.0,275.0,348.0,422.0,158.0,241.0,636.0,335.0,331.0,552.0,281.0,243.0,341.0,362.0,339.0,338.0,343.0,151.0,342.0,416.0,342.0,240.0,340.0,453.0,153.0,270.0,331.0,250.0,659.0,241.0,178.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
