,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Accumulated time steps,0.0,1000.0,1999.0,2541.0,3028.0,3320.0,3575.0,4011.0,4187.0,4462.0,4740.0,5031.0,5258.0,5443.0,5944.0,6372.0,6804.0,7046.0,7281.0,7526.0,7799.0,7951.0,8196.0,8771.0,9043.0,9299.0,9570.0,9738.0,9902.0,10240.0,10404.0,10667.0,10833.0,11011.0,11287.0,11546.0,11696.0,12200.0,12487.0,12818.0,13092.0,13419.0,13821.0,14092.0,14515.0,14907.0,15229.0,15475.0,15829.0,16096.0,16709.0,17073.0,17316.0,17577.0,17836.0,18101.0,18272.0,18530.0,18803.0,19036.0,19191.0
Episode reward,0.0,-68.27213065337095,-71.18453859061842,81.77504156483563,82.08324047570457,83.4181191984745,82.88968699766549,72.01032361825592,90.63439020493641,89.11811621462337,83.58148140462507,89.01558266783168,90.43603713465369,90.88489116466488,67.69837759653245,84.78067341863492,84.86778474124944,84.39906183204864,86.74718666243712,85.32179920321235,86.62095472305492,91.02255440679318,85.65999432636978,82.22262895901825,88.21526149195468,91.34648199940784,87.53462083514644,92.59029513789775,90.34700499835303,84.24369833091,89.5077540502212,90.02108254707422,92.76582265000663,92.11250625080386,88.3122981067325,86.10750903619719,92.42337859024673,77.00049659878869,90.90973776709093,88.93407062011522,90.11006100537969,89.19890259756521,89.13071592609344,89.12092715665558,77.894421165315,90.51770867563711,84.28845236088546,86.84227430953028,80.25361986992513,91.04426457035112,69.04975535212742,79.25180455742222,86.02696261951212,89.10408729397884,89.39636376006288,87.71322858450145,91.94581498011095,89.34388733473146,82.98415742381991,91.05874489775758,92.54220056655295
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.678385734558105,86.85855507850647,111.55009412765503,133.7976677417755,147.53700041770935,159.60711193084717,179.13518714904785,187.71377325057983,200.18211388587952,212.90824127197266,225.9120683670044,236.5298991203308,245.31491684913635,267.9506583213806,287.7385733127594,307.391300201416,318.54636669158936,329.3415217399597,340.80970644950867,353.2484202384949,360.74553418159485,372.38306283950806,398.2702167034149,410.7461235523224,422.87358379364014,435.2333812713623,443.6967570781708,451.8293077945709,467.3218147754669,475.46382546424866,487.88855147361755,496.0143368244171,504.69813799858093,517.8078825473785,529.9066641330719,537.2986721992493,560.3683345317841,573.8752479553223,589.0478954315186,601.9892158508301,617.2602610588074,635.5886063575745,648.476044178009,667.6125357151031,685.5841870307922,700.0838384628296,711.3994860649109,727.1663689613342,739.3736579418182,766.8116216659546,783.3353562355042,794.5367095470428,806.7076997756958,818.8138718605042,830.8268117904663,839.0818793773651,851.0948438644409,863.7534530162811,874.9533286094666,882.7641677856445
total minutes,0.0,0.7113064289093017,1.4476425846417744,1.8591682354609171,2.2299611290295918,2.4589500069618224,2.6601185321807863,2.9855864524841307,3.128562887509664,3.336368564764659,3.548470687866211,3.765201139450073,3.942164985338847,4.088581947485606,4.4658443053563435,4.79564288854599,5.123188336690267,5.309106111526489,5.489025362332662,5.680161774158478,5.887473670641581,6.012425569693248,6.206384380658467,6.6378369450569155,6.845768725872039,7.0478930632273356,7.253889687856039,7.394945951302846,7.530488463242849,7.788696912924449,7.924397091070811,8.131475857893626,8.266905613740285,8.411635633309682,8.630131375789642,8.831777735551197,8.954977869987488,9.3394722421964,9.564587465922038,9.817464923858642,10.033153597513834,10.28767101764679,10.593143439292907,10.807934069633484,11.12687559525172,11.42640311717987,11.668063974380493,11.856658101081848,12.119439482688904,12.322894299030304,12.780193694432576,13.055589270591735,13.242278492450714,13.44512832959493,13.646897864341735,13.847113529841105,13.984697989622752,14.184914064407348,14.395890883604686,14.582555476824442,14.712736129760742
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,541.0,486.0,291.0,254.0,435.0,175.0,274.0,277.0,290.0,226.0,184.0,500.0,427.0,431.0,241.0,234.0,244.0,272.0,151.0,244.0,574.0,271.0,255.0,270.0,167.0,163.0,337.0,163.0,262.0,165.0,177.0,275.0,258.0,149.0,503.0,286.0,330.0,273.0,326.0,401.0,270.0,422.0,391.0,321.0,245.0,353.0,266.0,612.0,363.0,242.0,260.0,258.0,264.0,170.0,257.0,272.0,232.0,154.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
