,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Accumulated time steps,0.0,1000.0,1999.0,2779.0,3419.0,3773.0,4391.0,4650.0,5074.0,5370.0,5558.0,5814.0,6195.0,6528.0,6699.0,6848.0,7130.0,7425.0,7585.0,7755.0,7916.0,8068.0,8409.0,8645.0,8803.0,9068.0,9438.0,9688.0,9970.0,10207.0,10470.0,10688.0,10942.0,11211.0,11530.0,11842.0,12341.0,12749.0,13263.0,13542.0,13967.0,14226.0,14590.0,14902.0,15149.0,15434.0,15684.0,16183.0,16510.0,16853.0,17190.0,17337.0,17680.0,17934.0,18252.0,18495.0,18647.0,18804.0,18953.0,19304.0,19457.0,19717.0,19982.0
Episode reward,0.0,-63.39763561277466,-66.36496014343948,51.54421397539016,63.66982979163547,80.88985704832623,65.29136398545374,84.63963297992889,77.03386741901417,82.13779720791334,86.85119817386132,84.83216147861768,77.01884434411078,81.8977422510051,89.12887501092061,90.98323118393064,82.87218702760012,82.21686807195908,90.36925139695613,89.56766735096686,90.57836435103363,91.45558711866191,83.89283920994649,87.43440900071089,92.74559975131649,90.88344659277735,88.3914945148303,89.43874393420855,89.29081067939427,90.8619972451402,82.68499418400299,90.0184772702415,85.9167397859772,86.1010901678336,86.73201771560767,86.35068266266852,80.59732941541826,79.68435186823038,75.16062805904717,87.4722998612782,86.17102688386683,88.50317469692462,84.45524913397702,88.19377575266368,89.40427511966999,85.65820035744119,88.35842873246125,76.39275767671782,84.44358779022862,85.70894030289,82.24526397542638,92.83448451011758,87.15830341562624,87.10766180500372,86.66099159941079,88.96050348700588,92.43839957744684,91.87797442949865,92.45655929065921,82.56807658203985,91.91710185273254,87.48463786571995,86.48239071937242
Episode feedback,0.8,0.24348697370392086,0.2935871740545219,0.16688061596035864,0.10172143959042028,0.10481586372573409,0.07779578593550115,0.06201550363559882,0.042553191388763144,0.027118643975869005,0.032085561325745665,0.02745098028450596,0.028947368344875348,0.048192770939178405,0.02352941162629758,0.0,0.010676156545636454,0.02721088426118747,0.012578616273090464,0.01183431945660166,0.006249999960937501,0.013245033024867332,0.020588235233564015,0.021276595654142146,0.00636942671102276,0.007575757547061524,0.008130081278780267,0.00803212848179868,0.017793594242727424,0.012711864352915828,0.0,0.004608294909639194,0.0,0.0037313432696591668,0.0,0.00643086814652454,0.004016064248963726,0.007371007352896788,0.0038986354699831667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002008032124481863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,74.62046790122986,166.3141987323761,224.36593627929688,265.2347550392151,288.808349609375,328.24591851234436,345.2648215293884,371.0415086746216,388.5776400566101,400.16844153404236,415.50525736808777,437.6776041984558,457.45144534111023,467.96426916122437,476.7159731388092,492.46917700767517,509.3510820865631,519.1635136604309,529.3929028511047,538.6938102245331,547.7119040489197,566.9454987049103,580.5309150218964,589.9609377384186,604.893963098526,625.3575131893158,639.5844285488129,657.9530501365662,674.1902697086334,690.0547938346863,702.1654281616211,716.1349718570709,731.2875256538391,748.6281371116638,765.3080148696899,791.7769556045532,813.3660001754761,845.383359670639,860.4141750335693,882.6810636520386,896.6185841560364,915.8051404953003,932.5969090461731,945.8732554912567,961.1558113098145,974.7869067192078,1000.8738462924957,1018.3312680721283,1036.5695631504059,1054.8321256637573,1063.2939229011536,1081.4095814228058,1094.9444091320038,1111.8734812736511,1125.525758266449,1134.2400217056274,1143.0494952201843,1151.601925611496,1170.1624429225922,1178.7366766929626,1193.2639999389648,1207.749338388443
total minutes,0.0,1.2436744650204976,2.7719033122062684,3.7394322713216144,4.420579250653585,4.813472493489583,5.470765308539073,5.754413692156474,6.184025144577026,6.4762940009435015,6.669474025567372,6.925087622801462,7.2946267366409305,7.624190755685171,7.799404486020406,7.945266218980153,8.207819616794586,8.489184701442719,8.652725227673848,8.823215047518412,8.978230170408885,9.12853173414866,9.449091645081838,9.67551525036494,9.832682295640309,10.0815660516421,10.42262521982193,10.659740475813548,10.96588416894277,11.23650449514389,11.500913230578105,11.702757136027019,11.935582864284516,12.188125427563985,12.477135618527731,12.755133581161498,13.19628259340922,13.556100002924602,14.089722661177317,14.340236250559489,14.71135106086731,14.943643069267273,15.263419008255005,15.543281817436219,15.764554258187612,16.01926352183024,16.24644844532013,16.681230771541596,16.97218780120214,17.2761593858401,17.580535427729288,17.721565381685892,18.02349302371343,18.249073485533398,18.531224687894184,18.75876263777415,18.904000361760456,19.050824920336407,19.193365426858268,19.5027073820432,19.645611278216045,19.88773333231608,20.129155639807383
cummulative feedback,0.0,243.0,536.0,666.0,731.0,768.0,816.0,832.0,850.0,858.0,864.0,871.0,882.0,898.0,902.0,902.0,905.0,913.0,915.0,917.0,918.0,920.0,927.0,932.0,933.0,935.0,938.0,940.0,945.0,948.0,948.0,949.0,949.0,950.0,950.0,952.0,954.0,957.0,959.0,959.0,959.0,959.0,959.0,959.0,959.0,959.0,959.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,779.0,639.0,353.0,617.0,258.0,423.0,295.0,187.0,255.0,380.0,332.0,170.0,148.0,281.0,294.0,159.0,169.0,160.0,151.0,340.0,235.0,157.0,264.0,369.0,249.0,281.0,236.0,262.0,217.0,253.0,268.0,318.0,311.0,498.0,407.0,513.0,278.0,424.0,258.0,363.0,311.0,246.0,284.0,249.0,498.0,326.0,342.0,336.0,146.0,342.0,253.0,317.0,242.0,151.0,156.0,148.0,350.0,152.0,259.0,264.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
