,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Accumulated time steps,0.0,693.0,1258.0,2245.0,2605.0,3050.0,3495.0,4070.0,4342.0,4702.0,5310.0,5583.0,5874.0,6058.0,6480.0,6918.0,7267.0,7624.0,7980.0,8157.0,8582.0,8858.0,9101.0,9340.0,9493.0,9648.0,9833.0,10231.0,10501.0,10660.0,10806.0,11063.0,11216.0,11369.0,11524.0,11784.0,11938.0,12188.0,12485.0,12753.0,12997.0,13409.0,13565.0,13720.0,14107.0,14377.0,14536.0,14691.0,14962.0,15331.0,15580.0,15999.0,16366.0,16702.0,16952.0,17195.0,17371.0,17826.0,17978.0,18173.0,18502.0,18652.0,18802.0,19218.0,19562.0
Episode reward,0.0,59.228462595210544,74.05139945227552,23.658233775259944,74.9160287708532,73.00975985712452,78.08749783276248,72.55294155377644,85.21846294339984,81.01389305369314,60.37379230629862,84.53133001239017,82.99482802011066,86.18187854964549,73.28937733392794,81.67600973489768,84.40670302720558,89.72770551941426,77.86768412868955,90.77482128330459,72.8998472847092,87.24567058412664,87.23856917317961,84.48042100302814,91.82664280070937,91.94284730237501,90.226913758397,73.59991936502607,86.72576684227444,92.03411181607407,90.94815629150185,87.16878759887652,92.4192801278111,92.40345390245567,92.04075420466562,87.0338169584467,92.2346048887719,88.8573802093736,88.58910808310291,86.0935414948443,85.08416781721496,74.53505222567077,91.9926280334789,92.49216885485983,91.28096625378157,84.75379628775822,91.7233647934536,92.22194243241499,84.25778869454086,79.83912482356845,89.00538737736035,75.4683463155286,83.8802771392364,80.26150547172281,85.030498639263,86.02535011223381,90.92341354925574,82.47880499013104,90.96075565589466,89.27758064840855,84.48875998199267,91.5115209821907,89.7959684227157,79.61309989810451,80.7683052286051
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,28.46077871322632,52.968283891677856,94.55522274971008,110.27049612998962,129.49692177772522,153.09410977363586,177.76049709320068,189.65502667427063,205.3089587688446,231.2083456516266,243.60207319259644,256.542277097702,265.4316418170929,283.58592438697815,302.95843625068665,318.47874546051025,334.3218002319336,350.08171129226685,358.398903131485,377.0488283634186,389.59993171691895,400.8343427181244,411.74688148498535,419.2168700695038,426.5077760219574,435.13060188293457,452.78541374206543,465.0467903614044,472.6584680080414,479.88568902015686,491.7031760215759,499.01634907722473,506.1413013935089,513.644202709198,525.547413110733,532.8527193069458,544.3816318511963,557.3538982868195,569.2844686508179,580.2526187896729,598.2798120975494,605.7157189846039,613.3769609928131,630.7767698764801,643.5072193145752,651.1982047557831,658.5442476272583,670.8218021392822,687.3794987201691,698.599692106247,716.9140849113464,733.6313002109528,748.242668390274,759.9422931671143,771.0145418643951,779.4529206752777,799.6777365207672,807.0968675613403,816.2109484672546,830.8590922355652,837.9389159679413,845.3383257389069,863.8678228855133,879.0780644416809
total minutes,0.0,0.4743463118871053,0.8828047315279642,1.5759203791618348,1.8378416021664938,2.1582820296287535,2.5515684962272642,2.962674951553345,3.160917111237844,3.4218159794807432,3.8534724275271097,4.060034553209941,4.275704618295034,4.423860696951548,4.726432073116302,5.0493072708447775,5.307979091008504,5.57203000386556,5.8346951882044475,5.973315052191416,6.28414713939031,6.493332195281982,6.680572378635406,6.862448024749756,6.98694783449173,7.10846293369929,7.25217669804891,7.546423562367758,7.75077983935674,7.877641133467356,7.998094817002614,8.195052933692931,8.316939151287079,8.435688356558481,8.560736711819967,8.759123551845551,8.880878655115763,9.073027197519938,9.289231638113657,9.488074477513631,9.67087697982788,9.971330201625824,10.095261983076732,10.222949349880219,10.512946164608001,10.725120321909587,10.853303412596384,10.975737460454305,11.180363368988036,11.456324978669484,11.643328201770782,11.948568081855774,12.227188336849213,12.470711139837901,12.66570488611857,12.850242364406586,12.990882011254628,13.32796227534612,13.451614459355673,13.603515807787577,13.84765153725942,13.965648599465688,14.088972095648447,14.397797048091888,14.651301074028016
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,691.0,564.0,986.0,359.0,444.0,444.0,574.0,271.0,359.0,607.0,272.0,290.0,183.0,421.0,437.0,348.0,356.0,355.0,176.0,424.0,275.0,242.0,238.0,152.0,154.0,184.0,397.0,269.0,158.0,145.0,256.0,152.0,152.0,154.0,259.0,153.0,249.0,296.0,267.0,243.0,411.0,155.0,154.0,386.0,269.0,158.0,154.0,270.0,368.0,248.0,418.0,366.0,335.0,249.0,242.0,175.0,454.0,151.0,194.0,328.0,149.0,149.0,415.0,343.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
