,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Accumulated time steps,0.0,820.0,1186.0,1444.0,1730.0,2009.0,2266.0,2421.0,2686.0,2968.0,3218.0,3606.0,3988.0,4199.0,4545.0,4884.0,5240.0,5493.0,5759.0,5913.0,6277.0,6517.0,6963.0,7522.0,7669.0,8191.0,8438.0,8587.0,8748.0,9121.0,9572.0,9820.0,9989.0,10331.0,10593.0,11075.0,11427.0,11698.0,11952.0,12105.0,12263.0,12513.0,12675.0,12934.0,13180.0,13532.0,13681.0,13927.0,14279.0,14537.0,14804.0,15072.0,15343.0,15779.0,16022.0,16172.0,16426.0,16786.0,17031.0,17293.0,17540.0,17701.0,17957.0,18212.0,18377.0,18533.0,18738.0,18892.0,19238.0,19488.0,19847.0
Episode reward,0.0,53.0009288507469,80.2832304145283,86.10208953470597,81.9342310535745,84.05336969091366,86.88463525312513,91.45888329607315,85.50964990537227,83.30160302962568,87.17678318885491,78.44401849902414,80.29660787545282,87.2973306071807,82.3573799399142,83.8820227454566,81.61525043987928,87.38309764290298,87.13012694342216,92.5478225593247,81.90001904455397,88.19282900220647,78.44005732699434,75.81654023786703,92.77024400534337,74.03997269615061,88.73002052926893,91.9342824360388,91.13661340737217,82.19790977758993,79.65057477829606,89.0727220948354,91.28574828345458,85.3605915160742,85.89135214112694,75.36729715527662,82.13104870313906,87.57031664490079,87.0184286265023,91.90548223833908,91.71078103893628,86.84458456174508,91.2568954410905,88.24291151793176,88.05705878134096,82.84635686488673,92.46197846435236,89.48630524828238,85.05612569860624,86.93326715221266,87.34585024510393,87.44790419971667,87.09031361553133,77.97269637047211,88.76901225258979,92.73207928775263,89.47397245026745,83.12765814128034,87.52530850664299,87.21608452953413,87.64198713158673,92.29653089660313,87.63984439544073,87.923570230094,91.46425075500724,92.13232473596439,88.01996799607664,92.56686460036136,81.45042020221976,87.79377497383682,83.20885503101204
Episode feedback,0.8,0.3007334959648735,0.23287671169074875,0.16342412387772715,0.1473684205355494,0.12230215783344547,0.08984374964904786,0.11038960967279475,0.07954545424414601,0.0925266900621826,0.09236947754068484,0.06976744168018749,0.0629921258189183,0.052380952131519276,0.043478260743541275,0.04733727796645776,0.045070422408252334,0.023809523715041574,0.022641509348522607,0.019607843009099065,0.0275482092905008,0.033472803207226766,0.0179775280494887,0.008960573460644133,0.013698630043160069,0.01535508634288851,0.008130081267763897,0.006756756711102995,0.0,0.008064516107353452,0.008888888869135803,0.01214574893868118,0.005952380916950114,0.0,0.0,0.008316008298719318,0.0028490028408860316,0.0037037036899862825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028490028408860316,0.0,0.0,0.0037453183380325157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,69.36241817474365,101.3351001739502,120.9822130203247,142.39441561698914,161.47362184524536,178.35378217697144,189.0886092185974,206.02236938476562,225.64044165611267,242.49290585517883,266.01177954673767,289.6977610588074,302.5488622188568,322.59545373916626,342.40152287483215,362.8207404613495,377.13930797576904,391.8651444911957,400.8293375968933,421.3503828048706,434.9652810096741,459.34368681907654,489.1155893802643,497.5755863189697,525.6610188484192,539.3094990253448,547.9888355731964,556.9257078170776,577.0013325214386,601.1132347583771,614.8624424934387,624.298192024231,642.391800403595,656.6256935596466,682.1311771869659,701.2632203102112,716.1611661911011,729.7566289901733,738.4176647663116,747.243898153305,760.8173131942749,769.8633735179901,784.1892836093903,797.3405222892761,816.1108241081238,824.5824489593506,838.0073602199554,856.7686240673065,870.8229005336761,885.7004885673523,900.5235326290131,915.1829493045807,937.9383103847504,952.3026738166809,962.1355278491974,975.7547688484192,995.0074098110199,1008.4391977787018,1022.5230629444122,1035.8856346607208,1045.187561750412,1059.1043066978455,1073.0734946727753,1082.3500425815582,1091.2151169776917,1102.5631914138794,1111.3266153335571,1129.7929663658142,1143.4314830303192,1162.36949467659
total minutes,0.0,1.1560403029123942,1.6889183362325033,2.0163702170054116,2.3732402602831524,2.6912270307540895,2.9725630362828572,3.151476820309957,3.4337061564127604,3.760674027601878,4.041548430919647,4.433529659112295,4.82829601764679,5.042481036980947,5.376590895652771,5.70669204791387,6.047012341022492,6.285655132929484,6.531085741519928,6.680488959948222,7.022506380081177,7.249421350161234,7.655728113651276,8.151926489671071,8.292926438649495,8.761016980806987,8.988491650422414,9.133147259553274,9.282095130284628,9.61668887535731,10.018553912639618,10.247707374890645,10.404969867070516,10.706530006726583,10.943761559327443,11.368852953116098,11.687720338503519,11.936019436518352,12.162610483169555,12.306961079438528,12.45406496922175,12.680288553237915,12.831056225299836,13.069821393489837,13.289008704821269,13.60184706846873,13.743040815989177,13.966789336999257,14.279477067788442,14.513715008894602,14.761674809455872,15.008725543816885,15.253049155076345,15.632305173079173,15.871711230278015,16.035592130819957,16.262579480806988,16.583456830183664,16.80731996297836,17.04205104907354,17.26476057767868,17.4197926958402,17.651738444964092,17.884558244546255,18.039167376359305,18.18691861629486,18.376053190231325,18.522110255559287,18.829882772763572,19.057191383838653,19.3728249112765
cummulative feedback,0.0,246.0,331.0,373.0,415.0,449.0,472.0,489.0,510.0,536.0,559.0,586.0,610.0,621.0,636.0,652.0,668.0,674.0,680.0,683.0,693.0,701.0,709.0,714.0,716.0,724.0,726.0,727.0,727.0,730.0,734.0,737.0,738.0,738.0,738.0,742.0,743.0,744.0,744.0,744.0,744.0,744.0,744.0,744.0,744.0,744.0,744.0,744.0,745.0,745.0,745.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,818.0,365.0,257.0,285.0,278.0,256.0,154.0,264.0,281.0,249.0,387.0,381.0,210.0,345.0,338.0,355.0,252.0,265.0,153.0,363.0,239.0,445.0,558.0,146.0,521.0,246.0,148.0,160.0,372.0,450.0,247.0,168.0,341.0,261.0,481.0,351.0,270.0,253.0,152.0,157.0,249.0,161.0,258.0,245.0,351.0,148.0,245.0,351.0,257.0,266.0,267.0,270.0,435.0,242.0,149.0,253.0,359.0,244.0,261.0,246.0,160.0,255.0,254.0,164.0,155.0,204.0,153.0,345.0,249.0,358.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
