,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Accumulated time steps,0.0,1000.0,1523.0,1801.0,2083.0,2343.0,2505.0,2753.0,3018.0,3179.0,3550.0,3815.0,4172.0,4555.0,4895.0,5041.0,5294.0,5456.0,5695.0,5849.0,6110.0,6264.0,6518.0,6753.0,6901.0,7076.0,7247.0,7495.0,7776.0,7923.0,8157.0,8384.0,8814.0,9056.0,9399.0,9647.0,9912.0,10072.0,10235.0,10680.0,10956.0,11203.0,11358.0,11604.0,11974.0,12217.0,12462.0,12614.0,12874.0,13053.0,13201.0,13351.0,13596.0,13932.0,14081.0,14257.0,14493.0,14747.0,15086.0,15280.0,15627.0,15778.0,15940.0,16284.0,16436.0,16681.0,16837.0,16988.0,17252.0,17538.0,17692.0,17838.0,18090.0,18342.0,18586.0,18851.0,18991.0,19322.0,19564.0,19995.0
Episode reward,0.0,-62.90487571187998,68.42531092540837,84.87338287611438,85.14480938449117,85.41994778009406,90.96597216365728,88.54310599799912,84.91390848554649,91.10070151086752,78.67903993761065,85.80928388562187,80.03814452514548,80.94742018090902,81.42053314064052,92.45899497291373,87.0386176787189,90.39815188060304,87.20365006357335,91.16642129152541,85.51043965989024,91.51481683937948,85.55690071559985,86.15902885739617,91.79029351217238,90.31500383430017,90.68447411878705,85.15503866650178,87.2643825732041,91.59141940792637,87.73653889887106,83.84932291724155,78.97478200064637,87.45553585296935,82.24732674616517,87.11416128869506,85.35391923339665,90.60208909776372,90.24236551703078,74.83178087488011,84.34495723817923,86.72876515158512,91.14350276143006,86.84391951010723,78.72059413193537,87.00286233850142,87.54210354740017,91.59477674649672,84.9290173207738,88.91933925962188,91.85703074265737,91.74914508106944,86.90885809126945,82.35675676118544,91.09528219695454,89.20159611329687,86.14519815310383,85.71672730910684,81.26960302134503,87.137107040485,81.08016896092603,91.33773092572466,90.51945664718482,82.46163870130837,91.48297742896506,86.91227603986492,91.23605873721628,91.57880510690819,84.16384879328508,82.26233728003386,91.27375545281666,92.0401977040699,85.80689722946956,85.97093610396398,86.95701300523223,86.58695929577922,92.4820084615056,81.65921907152473,87.54960050635083,79.01833125764455
Episode feedback,0.8,0.20040080140240402,0.23563218345664333,0.19133573938145942,0.1387900350932739,0.12355212307508832,0.11801242162725205,0.10121457448900982,0.09848484811179982,0.087499999453125,0.09999999972972973,0.037878787735307624,0.05337078636693599,0.047120418724815656,0.05899704997346003,0.04827586173602854,0.043650793477576215,0.01242236017128969,0.03781512589153308,0.026143790678798753,0.019230769156804734,0.032679738348498445,0.027667984080363698,0.01709401702096574,0.02721088416863344,0.01724137921125644,0.017647058719723184,0.01214574893868118,0.017857142793367347,0.013698630043160069,0.012875536425426883,0.0,0.013986013953412556,0.012448132728430985,0.005847953199274991,0.01214574893868118,0.0,0.006289308136545232,0.0,0.0067567567415388365,0.007272727246280992,0.0040650406338819485,0.0,0.004081632636401499,0.0,0.004132231387883341,0.0,0.0,0.0,0.0,0.00680272104215836,0.013422818701860278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,74.38473773002625,115.83316469192505,137.0423285961151,156.91557455062866,174.33858275413513,185.7196924686432,203.13008165359497,220.840833902359,232.95089197158813,260.30114364624023,276.66220474243164,299.5515310764313,323.468070268631,343.9224445819855,353.5304934978485,368.76556968688965,378.28061747550964,392.3564553260803,401.57506561279297,416.60752415657043,426.27261662483215,441.2052688598633,454.6905674934387,463.8938353061676,474.22844982147217,484.4015829563141,498.30521154403687,514.1450159549713,522.9300956726074,535.9955306053162,548.4831116199493,571.8162093162537,585.2561511993408,603.5531678199768,617.5154120922089,631.9968287944794,641.1219658851624,650.160596370697,673.7019531726837,688.9291043281555,702.6099019050598,711.3457956314087,725.0727534294128,744.9389200210571,758.2817053794861,771.7451059818268,780.4419603347778,794.570565700531,804.9085261821747,813.3240656852722,821.9261636734009,835.1254644393921,853.1437602043152,861.6531612873077,871.5264623165131,884.2195730209351,898.2783031463623,916.5968852043152,927.3509712219238,946.1133625507355,955.0085365772247,964.2764916419983,982.5049431324005,991.105729341507,1004.5331037044525,1013.4678621292114,1022.3903448581696,1037.4396765232086,1052.769124031067,1061.5876686573029,1069.8395550251007,1083.5921516418457,1097.6287515163422,1111.2479436397552,1125.6709735393524,1133.761973142624,1152.0528166294098,1165.8728229999542,1188.5233051776886
total minutes,0.0,1.2397456288337707,1.9305527448654174,2.284038809935252,2.615259575843811,2.905643045902252,3.0953282078107196,3.3855013608932496,3.680680565039317,3.8825148661931355,4.338352394104004,4.611036745707194,4.992525517940521,5.391134504477183,5.7320407430330915,5.892174891630808,6.146092828114828,6.304676957925161,6.539274255434672,6.692917760213216,6.943458735942841,7.104543610413869,7.353421147664388,7.578176124890645,7.73156392176946,7.903807497024536,8.073359715938569,8.30508685906728,8.569083599249522,8.715501594543458,8.933258843421935,9.141385193665823,9.530270155270895,9.75426918665568,10.05921946366628,10.291923534870147,10.53328047990799,10.685366098086039,10.836009939511618,11.228365886211396,11.482151738802592,11.710165031750996,11.855763260523478,12.084545890490213,12.415648667017619,12.638028422991434,12.862418433030447,13.00736600557963,13.242842761675517,13.415142103036244,13.555401094754536,13.698769394556681,13.918757740656535,14.219062670071919,14.360886021455128,14.525441038608552,14.736992883682252,14.971305052439371,15.276614753405253,15.455849520365398,15.768556042512257,15.916808942953745,16.071274860699972,16.375082385540008,16.518428822358448,16.742218395074207,16.891131035486858,17.039839080969493,17.29066127538681,17.546152067184448,17.693127810955048,17.830659250418346,18.05986919403076,18.29381252527237,18.520799060662586,18.76118289232254,18.896032885710397,19.20088027715683,19.431213716665905,19.80872175296148
cummulative feedback,0.0,200.0,323.0,376.0,415.0,447.0,466.0,491.0,517.0,531.0,568.0,578.0,597.0,615.0,635.0,642.0,653.0,655.0,664.0,668.0,673.0,678.0,685.0,689.0,693.0,696.0,699.0,702.0,707.0,709.0,712.0,712.0,718.0,721.0,723.0,726.0,726.0,727.0,727.0,730.0,732.0,733.0,733.0,734.0,734.0,735.0,735.0,735.0,735.0,735.0,736.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,522.0,277.0,281.0,259.0,161.0,247.0,264.0,160.0,370.0,264.0,356.0,382.0,339.0,145.0,252.0,161.0,238.0,153.0,260.0,153.0,253.0,234.0,147.0,174.0,170.0,247.0,280.0,146.0,233.0,226.0,429.0,241.0,342.0,247.0,264.0,159.0,162.0,444.0,275.0,246.0,154.0,245.0,369.0,242.0,244.0,151.0,259.0,178.0,147.0,149.0,244.0,335.0,148.0,175.0,235.0,253.0,338.0,193.0,346.0,150.0,161.0,343.0,151.0,244.0,155.0,150.0,263.0,285.0,153.0,145.0,251.0,251.0,243.0,264.0,139.0,330.0,241.0,430.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
