,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Accumulated time steps,0.0,1000.0,1988.0,2336.0,2715.0,2966.0,3302.0,3656.0,4091.0,4352.0,4735.0,4984.0,5235.0,5578.0,5818.0,5975.0,6222.0,6374.0,6523.0,6764.0,7196.0,7349.0,7592.0,7749.0,7912.0,8247.0,8585.0,8919.0,9169.0,9423.0,9665.0,9819.0,9991.0,10148.0,10299.0,10640.0,10973.0,11344.0,11605.0,11853.0,12006.0,12345.0,12502.0,12655.0,13000.0,13307.0,13557.0,13804.0,14145.0,14484.0,14639.0,14888.0,15041.0,15406.0,15656.0,15829.0,16076.0,16416.0,16685.0,16933.0,17187.0,17474.0,17644.0,17807.0,18050.0,18386.0,18535.0,18871.0,19116.0,19452.0,19709.0,19897.0
Episode reward,0.0,-62.53651523796245,37.46534218352927,80.52159868417195,81.54494350729964,87.19951628352997,82.8811114726014,80.86385199250412,74.8399140420027,85.21247561434303,78.47192742304844,86.75896949868991,87.51618065584712,81.47842836496255,86.75335111574613,90.9668716819915,87.09034040408879,90.68161181954535,91.25524690944086,86.06538412486073,75.76852287825862,91.11021278429834,86.92539995804233,90.73432618830476,90.03049249354476,81.45054384723107,80.60106642834153,81.02669849265078,86.04766324565243,85.69479013341108,86.44491134744044,90.6590619157429,89.01896025869135,90.9559270595204,91.39256068816111,81.2479341418994,82.45035601058167,79.76685290730498,85.40422216235856,87.03351809164913,91.5502442000489,83.10066724262728,91.3074682112103,91.46558963834755,81.65766968776435,80.46648117140262,86.11820588923175,86.19123446938252,81.75610009986875,81.90827457363005,91.10616755499083,86.36300525964089,91.36758107621465,79.22608408358886,86.12118950599437,89.17390806214163,86.68965986595059,80.89482393530005,84.82471301095316,86.2879575110461,86.16183132540999,82.30245581665095,89.50719529897563,90.01124088514845,87.02577234160357,82.62240290270927,91.5857367580199,81.91207395906581,87.01193321908886,81.77805879989761,85.68165586214153,87.87493463360646
Episode feedback,0.8,0.2104208414725242,0.2492401213280242,0.1556195960933153,0.1560846556717337,0.111999999552,0.12835820857206506,0.09631728018040431,0.0622119814234747,0.06538461513313609,0.06282722496642087,0.06854838682036941,0.031999999872,0.04678362559419993,0.02928870280632342,0.01923076910749507,0.024390243803291693,0.013245033024867332,0.01351351342220599,0.024999999895833333,0.030162412923057047,0.03289473662569252,0.008264462775766682,0.01923076910749507,0.0,0.011976047868335187,0.008902077124919652,0.0,0.0,0.0039525691543376715,0.0041493775761436615,0.0,0.0,0.0,0.0,0.002941176461937716,0.006024096367397301,0.0,0.007692307662721894,0.004048582979560393,0.0,0.0,0.006410256369165024,0.0,0.0029069767357355327,0.0,0.0,0.0,0.0,0.00295857987290361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,68.2605402469635,142.28829526901245,166.06491708755493,191.34072756767273,207.64054369926453,230.41950130462646,252.4830765724182,282.1926236152649,298.16241431236267,320.9808247089386,336.0111629962921,350.52122044563293,370.9854521751404,384.7948911190033,393.9450271129608,407.9013888835907,416.77972054481506,425.60060262680054,439.2463321685791,463.3459060192108,472.5487446784973,486.30063462257385,495.56153202056885,504.9622941017151,523.1465437412262,541.3405196666718,559.4758930206299,573.0032207965851,586.8521757125854,600.2347328662872,609.0668513774872,618.9064807891846,627.7482488155365,636.3148345947266,654.752970457077,672.529278755188,693.9965124130249,709.4383895397186,722.9616260528564,731.5096588134766,749.6098001003265,758.8115224838257,767.7098474502563,786.1280200481415,802.5560064315796,816.1048626899719,829.6074304580688,848.0318381786346,866.1136071681976,874.8603010177612,888.4402997493744,897.1572878360748,916.5475730895996,930.3081839084625,939.9737596511841,953.4404296875,972.103208065033,986.4882214069366,999.9723107814789,1013.743250131607,1029.6654193401337,1039.1962792873383,1048.1677956581116,1061.5030941963196,1079.2068736553192,1087.8618235588074,1106.1830463409424,1119.5815680027008,1138.0094516277313,1152.235769033432,1163.2643237113953
total minutes,0.0,1.137675670782725,2.3714715878168744,2.7677486181259154,3.1890121261278788,3.4606757283210756,3.8403250217437743,4.20805127620697,4.7032103935877485,4.969373571872711,5.349680411815643,5.600186049938202,5.842020340760549,6.183090869585673,6.413248185316721,6.56575045188268,6.798356481393179,6.946328675746917,7.093343377113342,7.320772202809652,7.722431766986847,7.875812411308289,8.105010577042897,8.25935886700948,8.416038235028585,8.71910906235377,9.02234199444453,9.324598217010498,9.550053679943085,9.780869595209758,10.00391221443812,10.151114189624787,10.315108013153075,10.462470813592274,10.605247243245442,10.91254950761795,11.208821312586467,11.566608540217082,11.82397315899531,12.049360434214273,12.191827646891277,12.493496668338775,12.646858708063762,12.79516412417094,13.102133667469024,13.375933440526326,13.601747711499533,13.826790507634481,14.13386396964391,14.435226786136628,14.581005016962687,14.80733832915624,14.95262146393458,15.27579288482666,15.505136398474376,15.666229327519735,15.890673828125,16.201720134417215,16.44147035678228,16.666205179691314,16.895720835526784,17.16109032233556,17.319937988122305,17.469463260968528,17.691718236605325,17.986781227588654,18.13103039264679,18.43638410568237,18.659692800045015,18.96682419379552,19.203929483890533,19.387738728523253
cummulative feedback,0.0,210.0,456.0,510.0,569.0,597.0,640.0,674.0,701.0,718.0,742.0,759.0,767.0,783.0,790.0,793.0,799.0,801.0,803.0,809.0,822.0,827.0,829.0,832.0,832.0,836.0,839.0,839.0,839.0,840.0,841.0,841.0,841.0,841.0,841.0,842.0,844.0,844.0,846.0,847.0,847.0,847.0,848.0,848.0,849.0,849.0,849.0,849.0,849.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,987.0,347.0,378.0,250.0,335.0,353.0,434.0,260.0,382.0,248.0,250.0,342.0,239.0,156.0,246.0,151.0,148.0,240.0,431.0,152.0,242.0,156.0,162.0,334.0,337.0,333.0,249.0,253.0,241.0,153.0,171.0,156.0,150.0,340.0,332.0,370.0,260.0,247.0,152.0,338.0,156.0,152.0,344.0,306.0,249.0,246.0,340.0,338.0,154.0,248.0,152.0,364.0,249.0,172.0,246.0,339.0,268.0,247.0,253.0,286.0,169.0,162.0,242.0,335.0,148.0,335.0,244.0,335.0,256.0,187.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
