,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Accumulated time steps,0.0,614.0,1489.0,2108.0,3048.0,3854.0,4443.0,5442.0,6441.0,7440.0,8439.0,9438.0,10437.0,11436.0,12435.0,13434.0,14433.0,15432.0,16431.0,17430.0,18429.0,19428.0,20427.0
Episode reward,0.0,75.59514114391675,70.51217089554014,77.90247292156451,67.99881886130707,76.15820403727089,82.81622599322105,-27.698932170143785,-25.216165497143955,-26.120483072270364,-26.415884475729065,-27.06859059240119,-26.74971627471941,-25.433407163795604,-26.498899005433273,-24.780355386796163,-28.626837118218532,-24.446440619733533,-25.239079199270872,-27.00881929493927,-25.70263659546444,-25.40476319601771,-25.830430957949478
Episode feedback,0.8,0.5049019599593105,0.4187643015803612,0.30097087329939987,0.1895633650803372,0.15279503086609314,0.10884353722985793,0.07214428850486544,0.056112224392673125,0.03106212421737262,0.01803607212621636,0.01102204407713222,0.0060120240420721205,0.00200400801402404,0.0030060120210360602,0.0030060120210360602,0.00100200400701202,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.37921071052551,108.56576776504517,148.03935146331787,201.68387579917908,246.51958179473877,278.3944163322449,329.13054895401,379.4870283603668,428.4799213409424,476.9799790382385,525.3385367393494,573.5734584331512,622.179792881012,670.9073488712311,718.9733848571777,767.3948404788971,814.991669178009,862.8541395664215,910.662535905838,958.1689693927765,1005.5461752414703,1053.5942032337189
total minutes,0.0,0.7563201785087585,1.8094294627507528,2.467322524388631,3.361397929986318,4.10865969657898,4.639906938870748,5.4855091492335,6.3247838060061135,7.141332022349039,7.949666317303976,8.755642278989155,9.559557640552521,10.369663214683532,11.181789147853852,11.982889747619629,12.789914007981618,13.583194486300151,14.380902326107025,15.177708931763966,15.96948282321294,16.759102920691173,17.559903387228648
cummulative feedback,0.0,309.0,675.0,861.0,1039.0,1162.0,1226.0,1298.0,1354.0,1385.0,1403.0,1414.0,1420.0,1422.0,1425.0,1428.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,612.0,874.0,618.0,939.0,805.0,588.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
