,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Accumulated time steps,0.0,596.0,1093.0,2092.0,3091.0,4090.0,5089.0,6088.0,7087.0,8086.0,9085.0,10084.0,11083.0,12082.0,13081.0,14080.0,15079.0,16078.0,17077.0,18076.0,19075.0,20074.0
Episode reward,0.0,70.91377482371425,76.3885985862407,-43.05103753848283,-39.54857996727639,-39.31893548564023,-38.32349924927517,-35.72029363847302,-36.966377935933245,-33.776155862406654,-32.37440256585025,-34.186578255740656,-34.94569828940816,-34.4203460732443,-32.32899241792662,-35.436642217360486,-32.784868162680375,-35.95239953428616,-33.837621692197395,-34.47604451032443,-33.839420700572106,-33.97842499437415
Episode feedback,0.8,0.5084175075615867,0.31854838645453953,0.2104208414725242,0.19839679338837996,0.1302605209115626,0.07014028049084141,0.05811623240669716,0.025050100175300502,0.025050100175300502,0.01603206411219232,0.013026052091156261,0.00801603205609616,0.0030060120210360602,0.00100200400701202,0.0,0.00100200400701202,0.00100200400701202,0.0,0.0,0.0,0.0
total seconds,0.0,47.01120591163635,80.89524364471436,140.25621461868286,198.09224152565002,252.12828660011292,303.27987003326416,353.76287293434143,402.33984303474426,451.4635705947876,500.3013255596161,548.9813334941864,597.212372303009,644.9617419242859,692.5919954776764,740.441880941391,788.4294853210449,835.6712856292725,882.4712533950806,928.8435842990875,974.9598002433777,1021.1689052581787
total minutes,0.0,0.7835200985272726,1.3482540607452393,2.3376035769780477,3.3015373587608337,4.202138110001882,5.054664500554403,5.896047882239023,6.705664050579071,7.52439284324646,8.338355425993601,9.149688891569774,9.953539538383485,10.749362365404766,11.54319992462794,12.34069801568985,13.140491422017416,13.927854760487874,14.707854223251342,15.480726404984791,16.249330004056294,17.01948175430298
cummulative feedback,0.0,302.0,460.0,670.0,868.0,998.0,1068.0,1126.0,1151.0,1176.0,1192.0,1205.0,1213.0,1216.0,1217.0,1217.0,1218.0,1219.0,1219.0,1219.0,1219.0,1219.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,594.0,496.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
