,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,868.0,1867.0,2866.0,3322.0,4321.0,5320.0,6319.0,7318.0,8317.0,9316.0,10315.0,11314.0,12313.0,13301.0,14298.0,15297.0,16296.0,17295.0,18294.0,19293.0
Episode reward,0.0,66.18863081136675,-62.22581770316273,-52.0679998646345,77.56791232782413,-52.04491667581116,-60.71208836118911,-49.38875590349022,-63.38622257507781,-61.03157691827979,-57.39720943021058,-61.10968187372307,-61.305628867944826,-52.254968894174326,49.42526563965073,55.79396717294346,-49.58302623412885,-53.28115871853598,-61.88041790326715,-59.572500115192625,-59.43804345857779
Episode feedback,0.8,0.47575057681784,0.012024048084144241,0.19839679338837996,0.0901098899118464,0.06212424843474524,0.007014028049084141,0.03607214425243272,0.0050100200350601,0.013026052091156261,0.00200400801402404,0.00200400801402404,0.0,0.00100200400701202,0.0010131712249106676,0.0,0.00100200400701202,0.00100200400701202,0.0,0.0,0.0
total seconds,0.0,57.87730884552002,107.32277059555054,164.00483870506287,188.12453889846802,239.79770874977112,287.6762852668762,336.9413363933563,383.7124044895172,430.6098861694336,477.31358790397644,525.3804998397827,574.4502809047699,624.6596555709839,673.6987581253052,723.6421120166779,773.3803656101227,821.8015863895416,870.1366424560547,919.5655238628387,969.053209066391
total minutes,0.0,0.9646218140920003,1.7887128432591757,2.7334139784177145,3.1354089816411337,3.996628479162852,4.794604754447937,5.615688939889272,6.395206741491953,7.176831436157227,7.955226465066274,8.756341663996379,9.57417134841283,10.410994259516398,11.228312635421753,12.060701866944632,12.889672760168711,13.69669310649236,14.502277374267578,15.326092064380646,16.150886817773184
cummulative feedback,0.0,412.0,424.0,622.0,663.0,725.0,732.0,768.0,773.0,786.0,788.0,790.0,790.0,791.0,792.0,792.0,793.0,794.0,794.0,794.0,794.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,866.0,998.0,998.0,455.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,987.0,996.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
