,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Accumulated time steps,0.0,844.0,1227.0,1506.0,2000.0,2680.0,3234.0,4233.0,5232.0,6231.0,6766.0,7127.0,7570.0,7956.0,8322.0,8893.0,9185.0,9655.0,10032.0,10396.0,11000.0,11474.0,11843.0,12301.0,12664.0,13056.0,13500.0,14298.0,14655.0,15381.0,16049.0,16677.0,17127.0,17754.0,18587.0,19326.0,19773.0
Episode reward,0.0,52.59332047397184,80.61988656876541,86.14843208012152,75.63426414346077,67.20685783587615,71.77242397301242,-58.699275085447404,-54.61555501337469,-58.72746955224239,70.42605333184727,83.94802362398612,76.79534709739312,79.30262465351086,80.05590303230558,69.46718557788654,84.45535995899175,80.69394256615678,75.69057538027722,78.82105050086807,70.39673808398382,73.6655413381395,80.84571162659611,75.51970977390818,78.97788219926765,73.29207270507217,71.78654738408687,47.59408029447065,77.0672758547398,53.00151995893674,56.273911725025336,58.59358687084281,71.6599629928024,59.706143771620496,45.273464990810645,50.04618002567787,71.08828234340278
Episode feedback,0.8,0.4845605694957713,0.21204188426167045,0.2086330927747011,0.2332657196079803,0.1516936669341772,0.14104882433806723,0.03206412822438464,0.024048096168288482,0.01803607212621636,0.011235955035138662,0.011111111080246913,0.002262443433795377,0.007792207771968291,0.013698630099455808,0.014035087694675284,0.0034364261050294637,0.0042643923150012955,0.00265957446101177,0.00550964185810016,0.003316749579905888,0.004228329800785772,0.002717391296963611,0.0,0.0027624309315954945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,56.7404100894928,78.9382963180542,95.08016228675842,123.82709217071533,161.18595433235168,191.896399974823,242.38844466209412,291.5851082801819,340.831999540329,367.7967116832733,386.207368850708,409.08699083328247,428.6583387851715,447.6091170310974,476.3898503780365,491.7947371006012,515.5724370479584,534.0500535964966,551.9620137214661,581.0057127475739,603.8522832393646,621.7900981903076,644.380918264389,662.1854226589203,681.0322573184967,703.0729308128357,741.3520600795746,759.1038730144501,795.4117593765259,828.8535070419312,860.051379442215,882.4448094367981,913.0573725700378,953.5416927337646,989.2527945041656,1011.7735166549683
total minutes,0.0,0.9456735014915466,1.3156382719675699,1.5846693714459736,2.063784869511922,2.6864325722058613,3.1982733329137165,4.039807411034902,4.859751804669698,5.680533325672149,6.129945194721222,6.436789480845134,6.818116513888041,7.144305646419525,7.4601519505182905,7.939830839633942,8.196578951676686,8.592873950799307,8.900834226608277,9.199366895357768,9.683428545792898,10.064204720656077,10.363168303171793,10.73968197107315,11.036423710982005,11.350537621974945,11.717882180213929,12.355867667992909,12.651731216907502,13.256862656275432,13.814225117365519,14.33418965737025,14.707413490613302,15.217622876167297,15.892361545562744,16.487546575069427,16.862891944249473
cummulative feedback,0.0,408.0,489.0,547.0,662.0,765.0,843.0,875.0,899.0,917.0,923.0,927.0,928.0,931.0,936.0,944.0,945.0,947.0,948.0,950.0,952.0,954.0,955.0,955.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,842.0,382.0,278.0,493.0,679.0,553.0,998.0,998.0,998.0,534.0,360.0,442.0,385.0,365.0,570.0,291.0,469.0,376.0,363.0,603.0,473.0,368.0,457.0,362.0,391.0,443.0,797.0,356.0,725.0,667.0,627.0,449.0,626.0,832.0,738.0,446.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
