,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11637.0,12602.0,13601.0,14349.0,15293.0,16194.0,17193.0,18192.0,18854.0,19853.0
Episode reward,0.0,-51.09547394914684,-49.59474320260305,-37.397812843307875,-30.964278673938978,-45.69378666936685,-63.32294675419477,-54.88654256606529,-62.90612487580974,-44.769682699220816,-58.023016276332115,-63.86511740230365,64.95504045391758,51.36389040479546,-52.88628191807702,59.53822872889582,49.379297498860254,44.19945220998835,-64.92830890099705,-55.10725205497185,63.48631186149628,-51.798556042689654
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,41.801289081573486,84.86987400054932,127.60694789886475,171.1530637741089,214.24331402778625,257.0021297931671,300.48037910461426,343.822393655777,387.37246465682983,431.05489349365234,475.0477361679077,504.19625973701477,546.0787069797516,589.3447620868683,622.2240741252899,663.3222758769989,702.7170152664185,747.4280560016632,791.3459892272949,820.8415656089783,864.282598733902
total minutes,0.0,0.6966881513595581,1.4144979000091553,2.126782464981079,2.852551062901815,3.5707219004631043,4.283368829886118,5.008006318410238,5.730373227596283,6.456207744280497,7.184248224894206,7.917462269465129,8.403270995616912,9.10131178299586,9.822412701447805,10.370401235421498,11.055371264616648,11.711950254440307,12.457134266694387,13.189099820454915,13.680692760149638,14.404709978898365
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,646.0,964.0,998.0,747.0,943.0,900.0,998.0,998.0,661.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
