,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11989.0,12988.0,13987.0,14986.0,15985.0,16984.0,17983.0,18982.0,19802.0
Episode reward,0.0,-41.21553096855307,-61.80196711066928,-9.888486672107698,-9.419036613972919,-48.9063321664588,-63.42975607020444,-30.890628339703916,-66.3702186952974,-38.31163536613602,-62.18171416980597,-59.25714473094753,-60.87653434969128,-46.51123882024549,-38.57239099051423,-29.16104083314601,-47.48254693593361,-59.63468322253667,-59.57650606864863,-61.26341718470888,50.072474229432174
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.92859983444214,92.04010081291199,138.94977378845215,185.92673349380493,232.7966341972351,279.38367199897766,325.83357310295105,372.7481894493103,419.5268018245697,466.4936180114746,513.3959302902222,560.5284667015076,607.7087459564209,654.8028960227966,701.8532357215881,748.736273765564,795.5106289386749,842.5489373207092,889.5670554637909,928.1650471687317
total minutes,0.0,0.7488099972407023,1.5340016802152,2.315829563140869,3.0987788915634153,3.8799439032872516,4.656394533316294,5.4305595517158505,6.212469824155172,6.9921133637428285,7.774893633524576,8.55659883817037,9.342141111691793,10.128479099273681,10.913381600379944,11.697553928693136,12.478937896092733,13.258510482311248,14.042482288678487,14.826117591063182,15.469417452812195
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,819.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
