,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Accumulated time steps,0.0,1000.0,1999.0,2896.0,3895.0,4894.0,5893.0,6892.0,7891.0,8890.0,9555.0,10554.0,11553.0,12399.0,12994.0,13659.0,14201.0,14851.0,15850.0,16359.0,17321.0,17809.0,18677.0,19676.0
Episode reward,0.0,-3.252086595574089,-15.414843530719025,62.334325489481024,-33.79296052148715,-67.28901751356722,-5.110768692465526,-63.021174603820995,-63.684179096297555,-56.936235640555005,56.29825235162053,-45.33159294611107,-43.51032594556767,46.58248238461969,61.74036063425458,58.37949413310902,77.31397609093143,73.86115384904333,-42.13911170432286,75.92373366963238,47.21995324713339,73.25765690433386,52.583012461011705,-54.69988245807888
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,46.068658113479614,93.22300171852112,135.47749757766724,182.41915774345398,229.52662205696106,276.3497486114502,323.18676805496216,369.9077470302582,416.68456768989563,448.2913293838501,495.4200966358185,542.4157888889313,582.3747103214264,610.5314953327179,642.0094664096832,668.0752201080322,699.160835981369,746.1762733459473,770.4533145427704,815.7336673736572,839.0931985378265,879.8500525951385,926.5224130153656
total minutes,0.0,0.7678109685579936,1.5537166953086854,2.2579582929611206,3.040319295724233,3.825443700949351,4.60582914352417,5.386446134249369,6.165129117170969,6.944742794831594,7.471522156397501,8.257001610596975,9.040263148148854,9.706245172023774,10.175524922211965,10.70015777349472,11.134587001800536,11.652680599689484,12.436271222432454,12.84088857571284,13.595561122894287,13.98488664229711,14.66416754325231,15.44204021692276
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,896.0,998.0,998.0,998.0,998.0,998.0,998.0,664.0,998.0,998.0,845.0,594.0,664.0,541.0,649.0,998.0,508.0,961.0,487.0,867.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
