,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11989.0,12933.0,13932.0,14931.0,15783.0,16702.0,17701.0,18369.0
Episode reward,0.0,-50.19245236723285,-48.46816973104334,-37.47733089448708,-30.874292118136072,-45.78980938129783,-63.611512593971945,-54.68804310312638,-62.8919151130086,-46.42193383179089,-58.87269524989329,-63.37292195892133,-55.17900106945901,55.006254981447924,-52.130168875403264,-52.13933100310832,53.94237104832378,43.31426833186047,-61.453019899725895,62.71520797601963
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.84497547149658,87.63146018981934,132.58865690231323,176.62506580352783,220.4730167388916,265.353684425354,308.92571568489075,354.52976179122925,400.69232177734375,446.96728563308716,492.47603845596313,535.7877466678619,574.9112792015076,616.7803220748901,658.3643627166748,694.2199246883392,732.9262497425079,775.0414638519287,804.0372231006622
total minutes,0.0,0.7474162578582764,1.4605243364969889,2.2098109483718873,2.943751096725464,3.6745502789815268,4.422561407089233,5.1487619280815125,5.908829363187154,6.678205362955729,7.449454760551452,8.207933974266052,8.929795777797699,9.581854653358459,10.279672034581502,10.972739378611246,11.570332078138987,12.215437495708466,12.91735773086548,13.400620385011036
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,943.0,998.0,998.0,851.0,918.0,998.0,667.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
