,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Accumulated time steps,0.0,465.0,1464.0,2113.0,3107.0,3555.0,4323.0,4920.0,5919.0,6610.0,7609.0,8608.0,9607.0,10606.0,11605.0,12604.0,13603.0,14602.0,15601.0,16600.0,17599.0,18598.0,19597.0,20596.0
Episode reward,0.0,80.73381105485787,-34.25045499460219,76.84926089037933,66.05706980981901,85.37666516168484,74.72145832121748,81.43570000647912,-30.852789937408605,78.56186082311508,-30.16572226393538,-28.80376432273112,-28.13182160363994,-27.044997376171004,-29.677441209627325,-28.664565402108536,-28.875698834407004,-30.182872402961745,-29.527637387736316,-29.028842680490527,-30.831826105199116,-30.060668977139784,-29.252934538140874,-27.360115426339668
Episode feedback,0.8,0.4535637139231885,0.3877755507136518,0.2561728391108444,0.2114803623247932,0.15436241576205276,0.11342894378953201,0.0771812079241926,0.06613226446279333,0.04782608688720857,0.028056112196336563,0.0150300601051803,0.0150300601051803,0.014028056098168281,0.0030060120210360602,0.00100200400701202,0.0,0.00100200400701202,0.00100200400701202,0.0030060120210360602,0.0,0.0,0.0,0.0
total seconds,0.0,31.10469961166382,99.52971148490906,141.78515243530273,202.43503761291504,228.03863739967346,269.53667187690735,302.20470333099365,355.4085898399353,390.62062072753906,439.97998213768005,488.50397205352783,536.6009845733643,584.7666132450104,632.7366137504578,680.1041965484619,728.0881469249725,776.0866754055023,823.7534003257751,871.8277015686035,919.5351777076721,967.429681301117,1015.1925554275513,1063.1959958076477
total minutes,0.0,0.518411660194397,1.6588285247484842,2.363085873921712,3.373917293548584,3.8006439566612245,4.492277864615122,5.036745055516561,5.923476497332255,6.510343678792318,7.332999702294668,8.141732867558797,8.943349742889405,9.746110220750174,10.545610229174295,11.335069942474366,12.134802448749543,12.934777923425038,13.72922333876292,14.530461692810059,15.325586295127868,16.12382802168528,16.91987592379252,17.719933263460796
cummulative feedback,0.0,210.0,597.0,763.0,973.0,1042.0,1129.0,1175.0,1241.0,1274.0,1302.0,1317.0,1332.0,1346.0,1349.0,1350.0,1350.0,1351.0,1352.0,1355.0,1355.0,1355.0,1355.0,1355.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,463.0,998.0,648.0,993.0,447.0,767.0,596.0,998.0,690.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
