,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Accumulated time steps,0.0,623.0,891.0,1372.0,1974.0,2414.0,3089.0,4051.0,5050.0,5913.0,6912.0,7911.0,8494.0,9493.0,10492.0,11491.0,12245.0,13244.0,14243.0,15242.0,16241.0,17240.0,18239.0,19238.0,20237.0
Episode reward,0.0,74.77141445876728,88.20943170923053,79.42071328984551,75.5723159945245,82.76288305914524,75.58837447622808,67.40871189524341,-30.11892362700631,70.7676813398615,-31.350417220997215,-29.526459857592204,82.47323891380768,-30.03880614649669,-31.704305616414516,-26.494913335824403,76.54858870323814,-30.29542721195007,-30.039418430204623,-29.739035604211736,-32.311937861960445,-29.21237840454486,-30.90040020199944,-29.67113299039421,-29.52501503787765
Episode feedback,0.8,0.5104669879058502,0.3820224704793166,0.3666666659027778,0.2628951742713891,0.2482915711884019,0.18842729942369837,0.13319458883122312,0.09619238467315393,0.055684454691781377,0.04709418832956494,0.035070140245420704,0.02233676972107084,0.0150300601051803,0.0030060120210360602,0.0060120240420721205,0.003984063739728999,0.0030060120210360602,0.00100200400701202,0.0030060120210360602,0.0,0.0,0.0,0.0,0.00100200400701202
total seconds,0.0,51.68312883377075,73.42417645454407,108.27334451675415,148.03676104545593,176.09242415428162,215.81758451461792,273.2654318809509,327.9707078933716,371.5460729598999,421.5461039543152,471.0465278625488,499.66967725753784,547.9493622779846,595.8681318759918,643.8247277736664,680.1145555973053,727.7111611366272,775.3959197998047,823.6461017131805,871.62255859375,919.7365581989288,967.5810265541077,1015.3135190010071,1063.7951574325562
total minutes,0.0,0.8613854805628459,1.2237362742424012,1.8045557419459024,2.467279350757599,2.9348737359046937,3.5969597419102985,4.554423864682516,5.466178464889526,6.192434549331665,7.025768399238586,7.850775464375814,8.327827954292298,9.132489371299744,9.93113553126653,10.730412129561106,11.335242593288422,12.12851935227712,12.923265329996745,13.727435028553009,14.527042643229167,15.328942636648813,16.126350442568462,16.92189198335012,17.729919290542604
cummulative feedback,0.0,317.0,419.0,595.0,753.0,862.0,989.0,1117.0,1213.0,1261.0,1308.0,1343.0,1356.0,1371.0,1374.0,1380.0,1383.0,1386.0,1387.0,1390.0,1390.0,1390.0,1390.0,1390.0,1391.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,621.0,267.0,480.0,601.0,439.0,674.0,961.0,998.0,862.0,998.0,998.0,582.0,998.0,998.0,998.0,753.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
