,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Accumulated time steps,0.0,599.0,1085.0,1381.0,1763.0,2038.0,2423.0,2873.0,3519.0,4518.0,5158.0,5624.0,6325.0,6682.0,7142.0,7595.0,7760.0,8029.0,8468.0,8814.0,9066.0,9444.0,9603.0,9887.0,10166.0,10498.0,10656.0,10822.0,11087.0,11425.0,11702.0,11897.0,12058.0,12430.0,12884.0,13049.0,13324.0,13596.0,13912.0,14284.0,14542.0,14864.0,15124.0,15287.0,15728.0,15896.0,16067.0,16247.0,16418.0,16589.0,16880.0,17055.0,17346.0,17527.0,17922.0,18207.0,18655.0,19011.0,19298.0,19558.0
Episode reward,0.0,71.90683614159977,78.93336116185839,83.9126628219542,81.35601820086328,86.066123789601,80.12785181169733,77.37397373723515,69.18559447067756,-56.254876152532155,66.19016648650839,75.26534490582945,60.918707060485374,81.66333199250133,76.09563465930424,76.28915995912043,90.68867378909013,86.61474231363684,77.03886187262083,78.31509409802783,87.2260657695327,80.15526717073661,91.7698711400342,83.64706606684092,84.15510879724077,81.2345161071714,91.09898222440172,91.58930173291323,86.79492543375011,81.69407553873975,84.30854019960412,89.22743255450543,91.69963976740488,82.06259375974022,73.10531172058293,91.5235652290987,85.44440964478521,86.82725703879235,80.8525550538675,83.580662086317,86.28448036269235,78.17502287029518,84.85752620770934,90.422523102166,74.65699349774347,89.19180019801497,90.37126320718579,90.74123696041296,90.73199415655269,90.50693021834725,85.39855147675863,90.90991013991113,83.82648194993413,90.7275527267082,82.66477736150112,85.6003177013952,82.75184791866964,80.0276113544644,82.12614985990892,84.73594099393625
Episode feedback,0.8,0.4857621432399294,0.37113401985333194,0.1322033893823614,0.17847768982026854,0.1240875907880015,0.151041666273329,0.09131403097702888,0.13643410831560604,0.03406813623840868,0.05007824718297614,0.03225806444675685,0.007142857132653061,0.01404494378077263,0.008714596930905018,0.00663716812690892,0.006097560938429507,0.018656716348295833,0.006849315052855445,0.002898550716236085,0.0,0.01061007954745337,0.0,0.0,0.0035971222892189846,0.0,0.00636942671102276,0.0,0.0,0.002967359041639884,0.003623188392669607,0.0,0.0,0.002695417782492135,0.0022075055138907162,0.0,0.0,0.0,0.0,0.0,0.003891050568517313,0.0,0.0,0.0,0.0,0.005988023916239378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002816901400515771,0.0,0.0
total seconds,0.0,43.398080825805664,74.8254508972168,90.83831834793091,111.93422198295593,126.50064063072205,147.52257657051086,170.75202107429504,205.45781564712524,255.03477597236633,287.9607036113739,311.7601888179779,347.00786304473877,365.6271517276764,388.9260973930359,412.1181044578552,421.03967332839966,435.5726845264435,458.2366290092468,476.3655023574829,489.64221692085266,509.06012415885925,517.8984453678131,532.8165454864502,547.5465261936188,564.9878380298615,573.8587625026703,583.0045318603516,596.9791281223297,614.6614887714386,629.4462151527405,640.1503357887268,648.9592664241791,668.2806677818298,691.5588989257812,700.6457562446594,715.2013142108917,729.5816869735718,746.1980817317963,765.391904592514,779.1816656589508,795.9622802734375,809.2951626777649,817.8636484146118,840.1956222057343,849.1268501281738,858.4681675434113,868.2844109535217,877.6447694301605,886.8406436443329,902.092141866684,911.6352167129517,926.9037089347839,936.51966547966,956.1792359352112,970.2529754638672,991.817798614502,1009.1871299743652,1023.2345025539398,1036.0230576992035
total minutes,0.0,0.7233013470967611,1.2470908482869467,1.5139719724655152,1.8655703663825989,2.108344010512034,2.4587096095085146,2.8458670179049173,3.4242969274520876,4.250579599539439,4.799345060189565,5.196003146966299,5.78346438407898,6.09378586212794,6.482101623217265,6.868635074297587,7.017327888806661,7.2595447421073915,7.637277150154114,7.939425039291382,8.160703615347545,8.484335402647654,8.631640756130219,8.880275758107503,9.125775436560312,9.416463967164358,9.564312708377837,9.716742197672525,9.949652135372162,10.244358146190644,10.490770252545675,10.669172263145446,10.815987773736317,11.138011129697164,11.52598164876302,11.677429270744323,11.920021903514861,12.159694782892863,12.436634695529937,12.756531743208567,12.986361094315846,13.266038004557291,13.48825271129608,13.631060806910197,14.003260370095571,14.152114168802898,14.307802792390188,14.471406849225362,14.627412823836009,14.780677394072216,15.0348690311114,15.193920278549195,15.448395148913066,15.608661091327667,15.936320598920187,16.170882924397787,16.53029664357503,16.819785499572752,17.053908375898995,17.267050961653393
cummulative feedback,0.0,290.0,470.0,509.0,577.0,611.0,669.0,710.0,798.0,832.0,864.0,879.0,884.0,889.0,893.0,896.0,897.0,902.0,905.0,906.0,906.0,910.0,910.0,910.0,911.0,911.0,912.0,912.0,912.0,913.0,914.0,914.0,914.0,915.0,916.0,916.0,916.0,916.0,916.0,916.0,917.0,917.0,917.0,917.0,917.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,919.0,919.0,919.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,597.0,485.0,295.0,381.0,274.0,384.0,449.0,645.0,998.0,639.0,465.0,700.0,356.0,459.0,452.0,164.0,268.0,438.0,345.0,251.0,377.0,158.0,283.0,278.0,331.0,157.0,165.0,264.0,337.0,276.0,194.0,160.0,371.0,453.0,164.0,274.0,271.0,315.0,371.0,257.0,321.0,259.0,162.0,440.0,167.0,170.0,179.0,170.0,170.0,290.0,174.0,290.0,180.0,394.0,284.0,447.0,355.0,286.0,259.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
