,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Accumulated time steps,0.0,532.0,900.0,1287.0,1555.0,2006.0,3005.0,3647.0,4646.0,5645.0,5914.0,6815.0,7349.0,7603.0,7864.0,8024.0,8278.0,8653.0,8924.0,9284.0,9621.0,10060.0,10327.0,11043.0,11413.0,11665.0,12035.0,12204.0,12376.0,12661.0,13208.0,13381.0,14081.0,14439.0,14690.0,15214.0,15575.0,15746.0,15940.0,16358.0,16724.0,16891.0,17256.0,17725.0,17994.0,18290.0,18461.0,18738.0,19109.0,19373.0,19541.0,19823.0
Episode reward,0.0,74.47089959025263,81.9377510030449,80.69517909364498,85.66024853498685,78.09557905778114,-61.107873793031445,67.348759397094,-55.38057255313484,-63.82276229546158,83.41045853601801,47.56329862678624,71.32060775745784,86.43865028516653,87.1398124138084,91.02578237140723,86.21583243336447,79.12816179809123,84.93536333532529,77.15625739813697,80.72298651579544,75.08247486530013,85.43776755845734,60.78844502403641,80.8170291050362,85.55594148785823,76.99698016037702,91.27113334243296,91.01461797569793,83.88124155010675,76.20692127697467,90.9316811976051,57.720107566077345,78.81217553613763,85.08290960506369,69.91264478619212,83.36950457794393,91.07130696288169,88.97758853243529,78.44732078841302,83.43797559431306,91.35349160379508,83.50649485961755,77.7798187209439,86.34838464922397,82.628723847698,91.08024031871314,84.85138906332423,82.98979021055644,87.13364146916327,91.28271188962856,84.17628415622842
Episode feedback,0.8,0.5150943386507654,0.21525885499929467,0.21243523261027142,0.13857677850720307,0.18222222181728395,0.02204408815426444,0.09516380640380061,0.052104208364625045,0.01603206411219232,0.033582089426932506,0.01777777775802469,0.0,0.0,0.007692307662721894,0.018867924409635695,0.011857707463013014,0.002673796784294661,0.018518518449931413,0.0027855153125751664,0.0029761904673327663,0.004566210035236964,0.007518796964215049,0.0027972027932906254,0.002710027092926756,0.0,0.002710027092926756,0.0,0.0,0.0,0.0,0.0,0.0014306151624740842,0.0,0.0,0.001912045885445419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,36.868802547454834,57.9986412525177,80.16192865371704,94.8386800289154,120.05497455596924,170.18180632591248,204.22008323669434,255.41094088554382,305.19360756874084,319.40176916122437,364.2280330657959,391.48327016830444,405.02383184432983,418.6230525970459,427.48558926582336,441.0009036064148,460.4691984653473,474.8707468509674,493.7158122062683,511.2310004234314,533.7070631980896,547.8008143901825,584.2635278701782,603.4639601707458,617.0154597759247,636.2185456752777,645.4122567176819,654.9951965808868,670.0899317264557,697.9889903068542,707.6539196968079,743.0738894939423,761.0377314090729,773.9415187835693,799.9330356121063,818.7185559272766,828.1858432292938,838.7350966930389,859.8977994918823,878.8955461978912,888.0673561096191,906.7060899734497,929.2822306156158,942.6232466697693,957.5262475013733,966.1209201812744,979.7534079551697,997.6499869823456,1010.4797813892365,1019.1729943752289,1033.2260990142822
total minutes,0.0,0.6144800424575806,0.966644020875295,1.3360321442286174,1.58064466714859,2.0009162425994873,2.836363438765208,3.4036680539449056,4.256849014759064,5.086560126145681,5.323362819353739,6.070467217763265,6.524721169471741,6.750397197405497,6.977050876617431,7.124759821097056,7.350015060106913,7.674486641089121,7.914512447516123,8.228596870104472,8.520516673723856,8.89511771996816,9.130013573169709,9.73772546450297,10.057732669512431,10.283590996265412,10.603642427921296,10.756870945294699,10.916586609681447,11.168165528774262,11.63314983844757,11.794231994946797,12.384564824899037,12.683962190151215,12.89902531305949,13.332217260201771,13.64530926545461,13.803097387154898,13.978918278217316,14.331629991531372,14.648259103298187,14.801122601826986,15.111768166224161,15.48803717692693,15.710387444496154,15.958770791689554,16.102015336354572,16.329223465919494,16.62749978303909,16.841329689820608,16.98621657292048,17.22043498357137
cummulative feedback,0.0,273.0,352.0,434.0,471.0,553.0,575.0,636.0,688.0,704.0,713.0,729.0,729.0,729.0,731.0,734.0,737.0,738.0,743.0,744.0,745.0,747.0,749.0,751.0,752.0,752.0,753.0,753.0,753.0,753.0,753.0,753.0,754.0,754.0,754.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0,755.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,530.0,367.0,386.0,267.0,450.0,998.0,641.0,998.0,998.0,268.0,900.0,533.0,253.0,260.0,159.0,253.0,374.0,270.0,359.0,336.0,438.0,266.0,715.0,369.0,251.0,369.0,168.0,171.0,284.0,546.0,172.0,699.0,357.0,250.0,523.0,360.0,170.0,193.0,417.0,365.0,166.0,364.0,468.0,268.0,295.0,170.0,276.0,370.0,263.0,167.0,281.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
