,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Accumulated time steps,0.0,557.0,1277.0,1848.0,2117.0,2474.0,3473.0,3740.0,4291.0,4928.0,5186.0,5530.0,6069.0,6316.0,6863.0,7312.0,7482.0,7640.0,8088.0,8247.0,8500.0,8924.0,9175.0,9738.0,10104.0,10361.0,10527.0,10781.0,11037.0,11291.0,11657.0,11912.0,12174.0,12722.0,13446.0,13694.0,14029.0,14540.0,14707.0,15131.0,15310.0,15557.0,15892.0,16148.0,16423.0,16893.0,17164.0,17423.0,17851.0,18114.0,18363.0,18612.0,18953.0,19211.0,19551.0,19891.0
Episode reward,0.0,72.32435121290922,61.595219670688714,69.06776201028522,86.38421279671796,81.53160850488104,-63.77981305667,85.94294422475372,71.42524969869295,63.79852015606642,86.50585014567638,81.20336894212826,71.60508797225245,86.2080836855304,70.91780787003316,76.0835599949593,90.0516116904336,92.2410940634861,76.96194537819235,90.90947659621357,86.0267948290148,78.65500911796067,87.51299027888302,68.45436231844998,81.76528008047484,86.42149649816893,90.8412052965477,87.31987089899359,87.26888350286112,87.40036239591558,81.29625957753957,87.1257645133621,86.27173801204077,67.6738536778057,62.15798604975865,85.4809846632224,80.17633149984113,68.85175711805412,89.11287486276159,74.63579019688514,87.88655371313267,85.50507114587653,80.09092597649021,84.82379674291838,83.02864809036271,70.66963113056758,83.41386038580873,84.55232215943226,74.83485361408604,84.27488709753285,85.36060677424919,85.40993117771859,79.55145314884807,84.7643736578603,79.7924945093724,79.68156450108673
Episode feedback,0.8,0.4432432424446068,0.1821974962695445,0.098245613862727,0.06343283558420584,0.07865168517232672,0.012024048084144241,0.060150375713720394,0.03272727266776859,0.02515723266484712,0.01167315170555194,0.023323615092350976,0.014869888448197234,0.012195121901645846,0.00732600731258973,0.006696428556481187,0.00591715972830083,0.00636942671102276,0.00894854584127842,0.0126582277679859,0.0,0.004728132376529238,0.007999999968,0.008896797137194311,0.0027397260198911617,0.0,0.01212121204775023,0.0,0.0,0.0,0.0,0.0,0.0038314176098413117,0.0018281535615573062,0.0013831258625406281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004683840738445338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,36.97966265678406,76.81947875022888,106.43970704078674,120.00301909446716,138.14474153518677,186.20606398582458,200.04474639892578,227.78346753120422,260.149218082428,273.41574788093567,291.1104967594147,318.72409200668335,331.8327648639679,359.79740738868713,382.8100347518921,392.1346914768219,400.8636317253113,423.6724464893341,432.58912777900696,446.0158088207245,467.9639506340027,481.2867543697357,510.12708592414856,529.2480418682098,542.9803428649902,552.2328433990479,565.6950030326843,579.159259557724,592.5081617832184,611.1921813488007,624.9038999080658,638.8040316104889,666.6100645065308,703.1455709934235,716.4065024852753,734.0268447399139,760.1857953071594,769.3498404026031,791.233945608139,801.11146235466,814.2549357414246,831.511846780777,844.890337228775,859.0348198413849,882.1212201118469,895.513959646225,908.2715022563934,929.0975494384766,942.1388263702393,954.2805633544922,966.8354630470276,983.2547678947449,995.9500052928925,1012.4416284561157,1028.9982352256775
total minutes,0.0,0.6163277109464009,1.280324645837148,1.7739951173464457,2.0000503182411196,2.3024123589197796,3.103434399763743,3.334079106648763,3.79639112552007,4.3358203013738,4.5569291313489275,4.851841612656911,5.312068200111389,5.530546081066132,5.996623456478119,6.380167245864868,6.535578191280365,6.681060528755188,7.061207441488902,7.209818796316783,7.433596813678742,7.799399177233378,8.021445906162262,8.50211809873581,8.820800697803497,9.049672381083171,9.203880723317464,9.428250050544738,9.652654325962066,9.875136029720306,10.186536355813343,10.415064998467763,10.646733860174814,11.110167741775513,11.71909284989039,11.940108374754589,12.233780745665232,12.669763255119324,12.822497340043386,13.187232426802318,13.351857705911,13.57091559569041,13.858530779679617,14.081505620479584,14.317246997356415,14.70202033519745,14.925232660770416,15.13785837093989,15.484959157307943,15.702313772837321,15.904676055908203,16.113924384117126,16.387579464912413,16.59916675488154,16.87402714093526,17.149970587094625
cummulative feedback,0.0,246.0,377.0,433.0,450.0,478.0,490.0,506.0,524.0,540.0,543.0,551.0,559.0,562.0,566.0,569.0,570.0,571.0,575.0,577.0,577.0,579.0,581.0,586.0,587.0,587.0,589.0,589.0,589.0,589.0,589.0,589.0,590.0,591.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,555.0,719.0,570.0,268.0,356.0,998.0,266.0,550.0,636.0,257.0,343.0,538.0,246.0,546.0,448.0,169.0,157.0,447.0,158.0,252.0,423.0,250.0,562.0,365.0,256.0,165.0,253.0,255.0,253.0,365.0,254.0,261.0,547.0,723.0,247.0,334.0,510.0,166.0,423.0,178.0,246.0,334.0,255.0,274.0,469.0,270.0,258.0,427.0,262.0,248.0,248.0,340.0,257.0,339.0,339.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
