,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4459.0,5442.0,6441.0,7440.0,8439.0,9438.0,10437.0,11029.0,11491.0,11852.0,12211.0,12580.0,12942.0,13823.0,14703.0,15077.0,15432.0,15804.0,16336.0,16854.0,17290.0,17638.0,18326.0,18947.0,19465.0
Episode reward,0.0,-70.54796493620671,-59.22046662593937,-65.4716216991335,-67.08231834535295,77.73971437011039,53.3542772212943,-68.01843929346597,-58.01949329461205,-66.59928550398645,-71.09195534724215,-59.232887348476126,83.2746569808161,81.76548529585301,88.07638694361408,87.83932174037552,86.35158539124407,87.28301105960206,66.95316057959056,57.77266158689381,80.41236289280982,78.86801610913118,75.5936607673467,65.21588848530496,66.7340732828558,71.69069159040036,77.65345831652296,55.96530168363,59.427355594394065,66.74314097369448
Episode feedback,0.8,0.00901803606310818,0.2454909817179449,0.00400801602804808,0.00801603205609616,0.0694143165522466,0.06109979627179247,0.00801603205609616,0.02204408815426444,0.00400801602804808,0.00400801602804808,0.00901803606310818,0.0016920473744635408,0.0043383947845154125,0.0,0.0,0.0,0.0,0.001136363635072314,0.0,0.0,0.00282485874908232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,48.4813506603241,106.59498953819275,156.72195053100586,203.88646745681763,227.3541431427002,277.1336419582367,324.3397464752197,371.79281973838806,419.9776086807251,468.49732184410095,517.857223033905,547.584068775177,570.9548354148865,589.6061730384827,607.9316518306732,626.7314538955688,645.1665284633636,688.4413464069366,731.2896568775177,750.1627223491669,767.4979102611542,786.0333137512207,812.3642165660858,837.7397675514221,859.3568255901337,877.0276708602905,910.9674725532532,941.9448292255402,968.3630669116974
total minutes,0.0,0.8080225110054016,1.776583158969879,2.6120325088500977,3.3981077909469604,3.7892357190450032,4.618894032637278,5.4056624412536625,6.196546995639801,6.9996268113454185,7.808288697401682,8.630953717231751,9.12640114625295,9.515913923581442,9.826769550641378,10.132194197177887,10.445524231592815,10.752775474389393,11.474022440115611,12.188160947958629,12.502712039152781,12.791631837685904,13.100555229187012,13.539403609434764,13.962329459190368,14.32261375983556,14.617127847671508,15.182791209220886,15.699080487092337,16.13938444852829
cummulative feedback,0.0,9.0,254.0,258.0,266.0,298.0,358.0,366.0,388.0,392.0,396.0,405.0,406.0,408.0,408.0,408.0,408.0,408.0,409.0,409.0,409.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,461.0,982.0,998.0,998.0,998.0,998.0,998.0,591.0,461.0,360.0,358.0,368.0,361.0,880.0,879.0,373.0,354.0,371.0,531.0,517.0,435.0,347.0,687.0,620.0,517.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
