,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Accumulated time steps,0.0,368.0,937.0,1202.0,1586.0,1756.0,2226.0,3225.0,4122.0,4996.0,5995.0,6637.0,6798.0,7326.0,7943.0,8406.0,8932.0,9215.0,9477.0,9864.0,10209.0,11122.0,11558.0,11736.0,12094.0,12438.0,12690.0,12955.0,13309.0,13651.0,13904.0,14340.0,14682.0,14936.0,15553.0,15991.0,16369.0,16712.0,16964.0,17237.0,17579.0,18023.0,18549.0,18893.0,19235.0,19666.0
Episode reward,0.0,82.26617864344324,68.45526258210535,86.54849351042782,78.83151044993322,90.93880377709976,75.95738977521937,-59.301064426231925,52.59222509582122,48.43449066854412,-54.289658394735106,63.42242732189025,90.4014104777519,71.04388863190624,61.48417365955897,73.67550917112767,70.2881361539009,82.33026430253963,86.36745250231556,83.066413444266,81.82812367720516,50.20786227041337,75.17450912101049,88.5958884150903,79.37685673254228,80.1422384338502,85.81282757710979,84.63885954512018,78.94643656213869,80.55245035980299,85.72894366741122,74.51811927763382,80.63139508837858,85.27012406376573,64.32344908905608,75.01383357358552,77.44071792843035,80.30944012358341,85.80740912910039,83.20787473413246,80.45336777974572,74.50836960430627,69.81549823614327,80.1473915181657,80.65109593813976,75.36814549396976
Episode feedback,0.8,0.41256830488369317,0.19014084473566753,0.11363636320592287,0.05744125311373041,0.08875739592451246,0.151385927182546,0.08316633258199767,0.06584821421222298,0.0446735394677279,0.03406813623840868,0.028081123201121494,0.024999999843750002,0.013282732422613411,0.004870129862223815,0.010822510799085475,0.005714285703401361,0.007092198556410643,0.0076628352196826234,0.005181347136835888,0.0029069767357355327,0.0032894736806036474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,23.514328479766846,55.6369104385376,69.99005150794983,89.9113392829895,99.21426224708557,125.1845326423645,177.49037742614746,224.12145137786865,268.6334512233734,317.44330954551697,348.25486993789673,356.88043999671936,382.2112967967987,412.0759930610657,434.5459895133972,460.22093200683594,474.26346135139465,487.79011154174805,506.68265676498413,524.7265696525574,569.7154674530029,591.2320380210876,600.8782260417938,618.8906888961792,636.1099710464478,648.8640456199646,662.3985114097595,680.532473564148,697.6400601863861,710.47593998909,731.8916096687317,749.1542477607727,762.4125695228577,792.26336145401,813.5163991451263,832.4160571098328,850.0325219631195,862.9501190185547,876.637512922287,894.1456587314606,916.8941884040833,943.1961848735809,960.6703479290009,978.6115691661835,1001.0569162368774
total minutes,0.0,0.39190547466278075,0.9272818406422932,1.1665008584658305,1.4985223213831584,1.653571037451426,2.0864088773727416,2.9581729571024575,3.7353575229644775,4.4772241870562235,5.290721825758616,5.8042478322982785,5.948007333278656,6.370188279946645,6.867933217684428,7.24243315855662,7.670348866780599,7.904391022523244,8.129835192362467,8.444710946083068,8.745442827542623,9.495257790883382,9.85386730035146,10.014637100696564,10.31484481493632,10.601832850774128,10.814400760332743,11.039975190162659,11.342207892735798,11.627334336439768,11.841265666484833,12.198193494478861,12.485904129346212,12.706876158714294,13.204389357566834,13.558606652418772,13.873600951830547,14.167208699385325,14.382501983642578,14.61062521537145,14.902427645524343,15.281569806734721,15.719936414559681,16.011172465483348,16.31019281943639,16.68428193728129
cummulative feedback,0.0,151.0,259.0,289.0,311.0,326.0,397.0,480.0,539.0,578.0,612.0,630.0,634.0,641.0,644.0,649.0,652.0,654.0,656.0,658.0,659.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,366.0,568.0,264.0,383.0,169.0,469.0,998.0,896.0,873.0,998.0,641.0,160.0,527.0,616.0,462.0,525.0,282.0,261.0,386.0,344.0,912.0,435.0,177.0,357.0,343.0,251.0,264.0,353.0,341.0,252.0,435.0,341.0,253.0,616.0,437.0,377.0,342.0,251.0,272.0,341.0,443.0,525.0,343.0,341.0,430.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
