,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Accumulated time steps,0.0,1000.0,1168.0,1810.0,2809.0,3263.0,3633.0,4007.0,4598.0,5245.0,6244.0,7027.0,7722.0,8057.0,8635.0,8990.0,9799.0,10760.0,11116.0,11540.0,12003.0,12365.0,12734.0,13733.0,14381.0,14656.0,14931.0,15322.0,15609.0,15883.0,16463.0,16839.0,17114.0,17517.0,17893.0,18183.0,18459.0,18734.0,19012.0,19415.0,19697.0
Episode reward,0.0,-59.44812947341151,90.98181805885481,66.7377275801407,-56.23945344254718,77.18346588862673,81.2656761303304,82.74923319219586,64.55856033855062,68.7579134081414,-66.80364610600509,53.53761987322372,68.22359361129259,84.1357870170322,69.50048263427718,82.98553252038059,60.0501099154526,50.23668463802823,79.91181589436178,76.40796988318745,74.76153708971992,78.70859539759826,79.37153202980855,-44.24288129138763,63.869259737885024,88.19522216516337,87.63762054213966,82.22825407641858,85.18043641876024,88.0066091065694,79.45013649503781,84.84325428460369,87.82483962005377,80.30279311522571,85.32806275039417,84.55977913092013,87.49066936725688,87.75718490726145,86.99972492902678,80.29275377535122,86.36489370570777
Episode feedback,0.8,0.301603206110618,0.09580838265983005,0.17316692640691586,0.05911823641370918,0.07726269298617507,0.056910568951461876,0.09115281476902731,0.05593220329503017,0.05417956647959819,0.0100200400701202,0.033248081798915495,0.020172910633756612,0.008982035901251389,0.010398613500175713,0.01129943499632928,0.0049504950433781,0.0031249999967447916,0.0,0.0,0.006493506479451285,0.005540166189639429,0.005434782593927222,0.00100200400701202,0.0015455950517069628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,60.47891449928284,69.88903880119324,105.84974527359009,157.26771092414856,181.15940880775452,199.89732480049133,219.48390007019043,249.40204405784607,282.5073847770691,331.07176518440247,370.5533883571625,404.1154532432556,420.41519498825073,447.69943141937256,465.0635914802551,504.0549695491791,551.0327537059784,569.3239767551422,590.5840549468994,614.126766204834,632.9883728027344,651.65740442276,699.7088460922241,731.4519922733307,746.0577499866486,760.5521142482758,780.0437381267548,794.3232917785645,808.1636898517609,835.7450957298279,854.5918881893158,868.6862971782684,889.3189928531647,908.2239406108856,923.3619058132172,937.5322756767273,951.6614015102386,966.027450799942,986.4804339408875,1001.0141160488129
total minutes,0.0,1.0079819083213806,1.1648173133532207,1.7641624212265015,2.621128515402476,3.019323480129242,3.331622080008189,3.6580650011698403,4.156700734297434,4.7084564129511515,5.517862753073374,6.175889805952708,6.73525755405426,7.006919916470846,7.461657190322876,7.751059858004252,8.400916159152985,9.183879228432973,9.488732945919036,9.843067582448324,10.2354461034139,10.549806213378906,10.860956740379333,11.661814101537068,12.190866537888844,12.43429583311081,12.675868570804596,13.000728968779246,13.23872152964274,13.469394830862681,13.929084928830465,14.243198136488596,14.47810495297114,14.821983214219411,15.137065676848094,15.389365096886953,15.625537927945455,15.861023358503978,16.100457513332366,16.441340565681458,16.683568600813548
cummulative feedback,0.0,301.0,317.0,428.0,487.0,522.0,543.0,577.0,610.0,645.0,655.0,681.0,695.0,698.0,704.0,708.0,712.0,715.0,715.0,715.0,718.0,720.0,722.0,723.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,167.0,641.0,998.0,453.0,369.0,373.0,590.0,646.0,998.0,782.0,694.0,334.0,577.0,354.0,808.0,960.0,355.0,423.0,462.0,361.0,368.0,998.0,647.0,274.0,274.0,390.0,286.0,273.0,579.0,375.0,274.0,402.0,375.0,289.0,275.0,274.0,277.0,402.0,281.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
