,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Accumulated time steps,0.0,1000.0,1594.0,1857.0,2403.0,2887.0,3886.0,4885.0,5252.0,6241.0,7209.0,7655.0,7932.0,8382.0,9107.0,9359.0,9802.0,10050.0,10574.0,10932.0,11293.0,11586.0,11844.0,12373.0,12648.0,13281.0,13664.0,14198.0,14642.0,15004.0,15270.0,15769.0,16137.0,16329.0,16899.0,17167.0,17673.0,18156.0,18440.0,18809.0,19215.0,19484.0,19758.0
Episode reward,0.0,-74.89302964461993,68.10769025421884,86.6715869153928,70.79523031334011,73.58702918144336,-66.84634213837775,-64.74992007460072,76.90007906645138,44.65968721411159,46.489819308985126,73.17455667716753,82.6255823372371,74.32619931041397,57.34023789786413,84.5410722442728,74.42252833371188,85.10687292800463,69.97786197983497,83.02371516383351,79.22949523130688,83.16724635036287,84.99657575230054,67.76626085005307,83.43994623237288,63.04357575083877,81.81378828025474,68.37558798284965,72.7036749976085,78.54402389966478,86.21024178086883,75.89055661200763,83.96002034961823,89.53772113786016,76.0077841569009,87.71643420592085,77.49957650857827,77.68212410239013,84.95186823690354,84.54050017270394,78.77809681491198,87.95307656493965,87.73905615601913
Episode feedback,0.8,0.01703406811920434,0.3389544682311055,0.0687022898141134,0.10825688053530848,0.08488612818864155,0.01102204407713222,0.012024048084144241,0.027322404296933323,0.02125506070723172,0.016546018597160272,0.015730337043302612,0.003623188392669607,0.004454342974489214,0.006906077338527518,0.0,0.009049773735181508,0.0,0.003824091770890838,0.002801120440332996,0.005555555540123457,0.003424657522518296,0.0,0.0,0.0,0.001582278478509053,0.0,0.0018761726043599013,0.0,0.0,0.0037735848914204344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,49.037909269332886,86.13766479492188,100.11600160598755,129.28841018676758,154.87281942367554,204.77949213981628,252.95404195785522,271.9510006904602,318.49994468688965,364.51987051963806,386.1315886974335,400.2495596408844,422.23931550979614,456.41628789901733,469.4802815914154,491.3161211013794,504.02701711654663,529.0812036991119,546.6576607227325,564.04753947258,578.4513375759125,591.5747625827789,617.4902939796448,631.2770829200745,662.3172264099121,681.6475744247437,708.3751645088196,730.8407249450684,749.4022562503815,762.844190120697,786.6210286617279,804.6127824783325,814.5333223342896,843.1700167655945,856.9700944423676,882.2944843769073,906.3384101390839,921.0850882530212,939.80419921875,960.4783914089203,974.5147984027863,988.8116688728333
total minutes,0.0,0.8172984878222148,1.4356277465820313,1.6686000267664591,2.1548068364461264,2.581213657061259,3.412991535663605,4.215900699297587,4.5325166781743365,5.308332411448161,6.075331175327301,6.435526478290558,6.67082599401474,7.037321925163269,7.606938131650289,7.824671359856923,8.188602018356324,8.400450285275777,8.818020061651866,9.110961012045543,9.400792324543,9.640855626265209,9.85957937637965,10.291504899660746,10.521284715334575,11.038620440165202,11.36079290707906,11.80625274181366,12.180678749084473,12.490037604173024,12.71406983534495,13.110350477695466,13.410213041305543,13.57555537223816,14.052833612759908,14.282834907372793,14.704908072948456,15.105640168984731,15.351418137550354,15.6634033203125,16.00797319014867,16.241913306713105,16.48019448121389
cummulative feedback,0.0,17.0,218.0,236.0,295.0,336.0,347.0,359.0,369.0,390.0,406.0,413.0,414.0,416.0,421.0,421.0,425.0,425.0,427.0,428.0,430.0,431.0,431.0,431.0,431.0,432.0,432.0,433.0,433.0,433.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,593.0,262.0,545.0,483.0,998.0,998.0,366.0,988.0,967.0,445.0,276.0,449.0,724.0,251.0,442.0,247.0,523.0,357.0,360.0,292.0,257.0,528.0,274.0,632.0,382.0,533.0,443.0,361.0,265.0,498.0,367.0,191.0,569.0,267.0,505.0,482.0,283.0,368.0,405.0,268.0,273.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
