,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Accumulated time steps,0.0,628.0,1025.0,1282.0,1441.0,1811.0,2810.0,3809.0,4185.0,4552.0,5117.0,5651.0,5908.0,6546.0,6886.0,7340.0,7600.0,8112.0,8364.0,8543.0,8790.0,9135.0,9394.0,9671.0,9954.0,10637.0,10918.0,11823.0,12110.0,12379.0,12705.0,12962.0,13313.0,13754.0,14104.0,14455.0,14716.0,15157.0,15600.0,15856.0,16114.0,16398.0,16680.0,17051.0,17315.0,17572.0,17873.0,18241.0,18415.0,18583.0,18854.0,19231.0,19487.0,19746.0
Episode reward,0.0,75.13884070753474,79.48983593758089,87.99672522883304,91.60663051432893,81.18017778294902,-61.06851114258495,-56.51858304408623,81.70155133394958,80.51662426741234,69.14424034143482,72.21478308515948,86.5887800325125,65.59102711352836,82.67405403422471,74.88108019192012,86.21666183087937,69.3517661324558,84.56652569830716,87.96069483448387,85.64081557429184,81.21299846308048,87.95052381216571,85.06984892970789,82.76294037171311,60.80234869576532,83.82097788079689,53.05590101550881,82.72059521152826,84.62857382563101,76.57540607919813,83.18982460440714,80.25573359436896,75.07697603654906,80.3653485902907,80.1548607759797,85.09089366594148,75.07730258854174,74.8870871939852,85.72554070080518,85.48124566007894,83.5828101184885,87.55273655096694,82.01571532233493,84.79998518102748,85.59598448259634,80.58539113554232,78.43451380610392,89.41856055372402,90.03252742791948,84.06144660501361,77.50459390497701,85.70436218068915,85.36079623420072
Episode feedback,0.8,0.4856230024191326,0.18939393891567188,0.2499999990234375,0.08860759437590131,0.12195121918170401,0.0150300601051803,0.04308617230151686,0.050666666531555556,0.05191256816417331,0.03368794320268095,0.01500938083487921,0.015624999938964844,0.015698587102513994,0.005899704997346003,0.013245033083344298,0.011583011538289532,0.003913894317193945,0.0,0.0,0.0,0.0029069767357355327,0.0,0.010869565178008822,0.0035460992782053217,0.004398826973022248,0.0035714285586734697,0.0011061946890418201,0.00349650348427796,0.0074626865393183335,0.0,0.003906249984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035335688921075306,0.0,0.002702702695398101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.18168020248413,65.19264483451843,80.69456887245178,89.59936857223511,109.85202646255493,159.98329877853394,211.09533953666687,230.57907557487488,249.42224979400635,277.2359712123871,303.7091910839081,316.53426241874695,348.1289143562317,365.4628930091858,387.5871114730835,400.6718678474426,425.3551540374756,438.38777112960815,448.02466678619385,461.0339186191559,478.8085401058197,492.5458867549896,507.19212102890015,522.0370275974274,554.7364904880524,569.0486452579498,612.0618119239807,626.5975565910339,640.3631401062012,656.6036267280579,669.4131979942322,686.8727405071259,708.3045573234558,725.5257513523102,742.843554019928,755.8186302185059,777.2694375514984,798.8540489673615,811.7379176616669,824.7639815807343,839.1032648086548,853.2574124336243,871.6219491958618,884.7254376411438,897.7142632007599,912.6327006816864,931.0126059055328,940.204918384552,949.1236934661865,962.7938230037689,981.387020111084,994.3313875198364,1007.5324487686157
total minutes,0.0,0.7030280033747355,1.0865440805753073,1.3449094812075297,1.4933228095372517,1.8308671077092489,2.6663883129755654,3.518255658944448,3.8429845929145814,4.1570374965667725,4.620599520206452,5.061819851398468,5.275571040312449,5.802148572603861,6.091048216819763,6.459785191218058,6.677864464124044,7.089252567291259,7.306462852160136,7.467077779769897,7.683898643652598,7.980142335096995,8.20909811258316,8.453202017148335,8.70061712662379,9.245608174800873,9.484144087632497,10.201030198733012,10.443292609850566,10.67271900177002,10.943393778800964,11.156886633237203,11.447879008452098,11.80507595539093,12.092095855871836,12.380725900332132,12.596977170308431,12.954490625858307,13.314234149456023,13.528965294361115,13.746066359678904,13.98505441347758,14.220956873893737,14.527032486597697,14.74542396068573,14.96190438667933,15.21054501136144,15.516876765092213,15.670081973075867,15.818728224436443,16.046563716729484,16.356450335184732,16.572189791997275,16.79220747947693
cummulative feedback,0.0,304.0,379.0,443.0,457.0,502.0,517.0,560.0,579.0,598.0,617.0,625.0,629.0,639.0,641.0,647.0,650.0,652.0,652.0,652.0,652.0,653.0,653.0,656.0,657.0,660.0,661.0,662.0,663.0,665.0,665.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,667.0,667.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,626.0,396.0,256.0,158.0,369.0,998.0,998.0,375.0,366.0,564.0,533.0,256.0,637.0,339.0,453.0,259.0,511.0,251.0,178.0,246.0,344.0,258.0,276.0,282.0,682.0,280.0,904.0,286.0,268.0,325.0,256.0,350.0,440.0,349.0,350.0,260.0,440.0,442.0,255.0,257.0,283.0,281.0,370.0,263.0,256.0,300.0,367.0,173.0,167.0,270.0,376.0,255.0,258.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
