,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Accumulated time steps,0.0,645.0,1081.0,1508.0,2330.0,2897.0,3212.0,3539.0,4059.0,4639.0,5067.0,5323.0,5930.0,6211.0,6482.0,6734.0,7137.0,7387.0,7811.0,8069.0,8329.0,8600.0,8765.0,9219.0,9466.0,9798.0,9957.0,10212.0,10374.0,10802.0,10970.0,11241.0,11403.0,11741.0,12008.0,12177.0,12341.0,12505.0,12671.0,13043.0,13302.0,13465.0,13925.0,14206.0,14469.0,14756.0,15037.0,15322.0,15499.0,15787.0,16179.0,16356.0,16909.0,17203.0,17374.0,17564.0,17756.0,18009.0,18367.0,18528.0
Episode reward,0.0,83.36886505613987,78.33794865083644,82.70787147831015,90.68322412923696,80.41309354231545,87.32719244545912,85.19443643703796,82.68428467017695,68.10363475730213,79.48182107450447,87.57110404792807,65.6478084348538,85.70808803747056,87.94654311715412,86.90596988918217,80.41238429961204,86.91112507392384,73.64850755658381,86.42157784499437,86.4005830301439,85.32105096153185,91.40953571074313,79.18843641688989,86.08514604073542,81.28461204242141,92.08508279763575,88.64127787221246,91.90445458912225,75.79288738848062,91.60411532252182,85.88487164809375,91.79427754190772,81.00756277485675,87.77819784246702,91.50457777357968,91.19811060718709,91.47754772396804,91.57595298939705,83.5854533045003,84.9679814176433,90.42168372109418,72.44184505033358,82.28032977174938,84.66399589617627,85.97335600867171,87.16165773278098,85.62149395331379,90.8486693013245,85.48676452209384,82.12473541627088,90.90471543804483,77.05304425850005,83.3962102532157,90.23791831282682,90.10766189471224,89.94206026215357,85.65014586619549,78.87360404565543,90.59943423653331
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,27.560081720352173,46.90980410575867,66.15366172790527,101.53218078613281,126.47245335578918,141.0061695575714,156.05754947662354,179.11077499389648,205.23862862586975,224.58377838134766,236.4440586566925,263.1355845928192,276.22789335250854,288.6002850532532,300.2580831050873,317.94127917289734,329.48168778419495,348.33647537231445,360.3788950443268,372.1763734817505,384.44949078559875,392.48981380462646,412.60280895233154,423.98327589035034,439.077574968338,446.9369068145752,458.8733732700348,466.6804254055023,485.72239661216736,493.8717694282532,506.0827968120575,513.7682273387909,529.4163181781769,541.8557863235474,549.9009776115417,557.9775552749634,565.9797384738922,574.0245094299316,590.9275863170624,602.6775748729706,610.4963321685791,631.0367813110352,643.981555223465,656.2257463932037,669.5781741142273,682.5827062129974,695.5979905128479,704.1514990329742,717.4223189353943,735.430341720581,744.1403977870941,768.900372505188,782.5042090415955,790.8107061386108,799.8023376464844,808.8539509773254,820.6196577548981,836.7532773017883,844.6488847732544
total minutes,0.0,0.4593346953392029,0.7818300684293111,1.1025610287984213,1.6922030131022134,2.1078742225964864,2.3501028259595236,2.6009591579437257,2.985179583231608,3.4206438104311627,3.743062973022461,3.940734310944875,4.385593076546987,4.603798222541809,4.810004750887553,5.004301385084788,5.299021319548289,5.491361463069916,5.805607922871908,6.006314917405446,6.202939558029175,6.407491513093313,6.541496896743775,6.876713482538859,7.066387931505839,7.317959582805633,7.448948446909586,7.64788955450058,7.778007090091705,8.095373276869456,8.231196157137553,8.434713280200958,8.562803788979847,8.823605302969614,9.030929772059123,9.165016293525696,9.29962592124939,9.432995641231537,9.567075157165528,9.848793105284374,10.044626247882842,10.174938869476318,10.517279688517252,10.733025920391082,10.937095773220062,11.159636235237121,11.376378436883291,11.593299841880798,11.735858317216238,11.957038648923238,12.257172362009685,12.402339963118235,12.815006208419799,13.041736817359924,13.180178435643514,13.33003896077474,13.480899182955424,13.676994295914968,13.945887955029805,14.077481412887574
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,643.0,435.0,426.0,821.0,566.0,314.0,326.0,519.0,579.0,427.0,255.0,606.0,280.0,270.0,251.0,402.0,249.0,423.0,257.0,259.0,270.0,164.0,453.0,246.0,331.0,158.0,254.0,161.0,427.0,167.0,270.0,161.0,337.0,266.0,168.0,163.0,163.0,165.0,371.0,258.0,162.0,459.0,280.0,262.0,286.0,280.0,284.0,176.0,287.0,391.0,176.0,552.0,293.0,170.0,189.0,191.0,252.0,357.0,160.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
