,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Accumulated time steps,0.0,1000.0,1999.0,2334.0,2664.0,2996.0,3250.0,3573.0,3902.0,4155.0,4671.0,5011.0,5272.0,5544.0,6248.0,6497.0,7057.0,7405.0,7744.0,8081.0,8357.0,8701.0,8959.0,9251.0,9694.0,9953.0,10208.0,10558.0,10813.0,11277.0,11534.0,11794.0,12129.0,12300.0,12736.0,13004.0,13427.0,13676.0,13950.0,14205.0,14632.0,15143.0,15401.0,15736.0,15903.0,16065.0,16511.0,16684.0,17115.0,17405.0,17654.0,18116.0,18377.0,18626.0,18907.0,19249.0
Episode reward,0.0,-18.76148856626458,-10.806031199844131,82.2177528664949,79.03932433201747,90.58921877049417,84.31644270449198,81.6572342935303,82.6869780329771,86.85422394252464,67.81777624805054,79.1173553947045,84.75751067897475,86.66194158530081,73.5919154035812,86.07137186988055,77.4977996520775,80.65524405394225,81.64855155978051,82.23692434618812,83.94644528020233,82.16480687909177,86.10702972520318,84.60138755636045,77.35732501348065,86.49452275911887,87.35752726376231,82.89127598650775,87.33818999278122,75.84004911933059,86.82476515896369,86.41580014350023,80.16014337041062,90.86460966802498,73.84356801050423,83.70246406467948,74.5682672986174,85.39601149744378,82.09772777401412,84.0857983721288,73.73743497166477,68.96599512538097,84.64773027123967,80.14103142381023,89.10991613527662,89.65273379818916,72.95897626596242,88.49296914701684,74.35320512101885,81.58242671297357,85.47536493150464,71.58702030508007,84.47304771637815,85.47553349375902,82.47726310994223,79.35841748829685
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.71118688583374,86.52483105659485,101.87107276916504,116.56613349914551,131.36952376365662,143.07350897789001,157.53706455230713,172.69081497192383,184.54529643058777,207.61739325523376,223.24816727638245,235.34620308876038,247.79504227638245,278.74737644195557,290.5004439353943,315.6639893054962,331.63235664367676,347.0280747413635,362.6725244522095,375.77140402793884,391.8129322528839,403.7953431606293,417.4267592430115,436.8871715068817,448.49327659606934,460.198766708374,475.68812370300293,487.78657031059265,508.3755021095276,520.350789308548,532.4077413082123,547.2996339797974,555.7317695617676,575.382491350174,587.8755776882172,606.8948307037354,619.0805382728577,632.2443659305573,644.2925548553467,663.3109819889069,686.0913310050964,698.3638281822205,713.7004146575928,721.9346418380737,729.7911007404327,749.9695613384247,758.1363346576691,777.7898669242859,791.2836492061615,802.9446046352386,823.6336545944214,835.8006939888,847.4562244415283,860.5126345157623,875.9712159633636
total minutes,0.0,0.7118531147638957,1.442080517609914,1.6978512128194174,1.942768891652425,2.18949206272761,2.3845584829648336,2.625617742538452,2.878180249532064,3.075754940509796,3.4602898875872294,3.7208027879397076,3.9224367181460065,4.129917371273041,4.645789607365926,4.841674065589904,5.2610664884249365,5.527205944061279,5.783801245689392,6.044542074203491,6.262856733798981,6.530215537548065,6.729922386010488,6.957112654050191,7.281452858448029,7.474887943267822,7.669979445139567,7.928135395050049,8.129776171843211,8.472925035158793,8.672513155142466,8.873462355136871,9.121660566329956,9.262196159362793,9.589708189169565,9.79792629480362,10.114913845062256,10.318008971214294,10.53740609884262,10.738209247589111,11.055183033148447,11.434855516751607,11.639397136370341,11.89500691095988,12.032244030634562,12.163185012340545,12.499492688973744,12.635605577627818,12.963164448738098,13.188060820102692,13.382410077253978,13.72722757657369,13.930011566480001,14.124270407358805,14.341877241929373,14.59952026605606
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,334.0,329.0,331.0,253.0,322.0,328.0,252.0,515.0,339.0,260.0,271.0,703.0,248.0,559.0,347.0,338.0,336.0,275.0,343.0,257.0,291.0,442.0,258.0,254.0,349.0,254.0,463.0,256.0,259.0,334.0,170.0,435.0,267.0,422.0,248.0,273.0,254.0,426.0,510.0,257.0,334.0,166.0,161.0,445.0,172.0,430.0,289.0,248.0,461.0,260.0,248.0,280.0,341.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
