,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3717.0,4716.0,5514.0,6307.0,7306.0,7939.0,8489.0,8955.0,9674.0,10415.0,11406.0,11771.0,12247.0,12794.0,13452.0,14294.0,14866.0,15346.0,15931.0,16930.0,17589.0,18154.0,18717.0
Episode reward,0.0,-73.32862762136703,-20.855000233239394,-54.214886889786534,51.00608867246434,-38.21963118673793,43.824189176821655,44.52813467661406,-68.18200981233373,71.00647096132313,63.625414846606574,74.88361788179009,53.02433559422569,61.095940064380855,35.98979829101607,76.79982052056548,68.6636369121417,65.00604413351093,66.55263823315944,57.15073285197778,70.27679317396792,75.08697915685048,69.34865428882911,-50.011062082647264,66.47206985458038,71.02469977101826,71.25806547874889
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,41.00244975090027,82.84235167503357,125.65286135673523,156.13066029548645,198.56523060798645,232.53488636016846,266.4702613353729,308.47027921676636,335.7508637905121,359.0551927089691,378.9701488018036,409.20615553855896,439.92829871177673,481.41555166244507,497.38199186325073,517.7922811508179,541.825582742691,570.3699655532837,607.1822853088379,631.6633951663971,652.1273121833801,677.1491281986237,719.3056297302246,747.0032680034637,771.1698820590973,795.4383602142334
total minutes,0.0,0.6833741625150045,1.3807058612505594,2.0942143559455872,2.602177671591441,3.3094205101331076,3.8755814393361407,4.441171022256215,5.141171320279439,5.595847729841868,5.984253211816152,6.316169146696726,6.820102592309316,7.332138311862946,8.023592527707418,8.289699864387511,8.62987135251363,9.030426379044851,9.506166092554729,10.119704755147298,10.527723252773285,10.868788536389669,11.285818803310395,11.98842716217041,12.450054466724396,12.852831367651621,13.257306003570557
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,718.0,998.0,797.0,792.0,998.0,632.0,549.0,465.0,718.0,740.0,990.0,364.0,475.0,546.0,657.0,841.0,571.0,479.0,584.0,998.0,658.0,564.0,562.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
