,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Accumulated time steps,0.0,1000.0,1781.0,2633.0,3051.0,4050.0,4565.0,5004.0,5538.0,5935.0,6191.0,6743.0,7215.0,7473.0,7777.0,8235.0,8503.0,8960.0,9259.0,9792.0,10403.0,10693.0,11037.0,11559.0,11945.0,12289.0,12547.0,13070.0,13414.0,13705.0,14062.0,14317.0,14750.0,15102.0,15376.0,15726.0,15990.0,16433.0,16781.0,17241.0,17624.0,17878.0
Episode reward,0.0,-63.736641149244846,50.83815165446389,41.32211240083618,79.41188211681738,-60.23645250238355,68.83820297866815,68.48339658431546,71.05213965215295,81.02940510198977,86.31448556015003,71.0025898438249,74.45845594670581,82.78847934911747,83.64379093004666,76.57824908271905,86.07265924963016,70.20664457524633,87.83043148393014,65.07431043688737,59.30043404053366,80.89550158289103,77.87956375507989,66.14399483124481,74.80490954159555,78.25502578082927,83.98761708919727,66.13099974807852,78.17645863737138,80.96846474568927,76.168918579966,83.59869266681606,72.09816395047878,77.89340615309725,82.60843334718683,78.03421160038246,83.51203073919031,71.78804810644858,78.13649705836471,70.32901102452055,73.4799703999217,83.81380805489721
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,46.05499267578125,82.95630979537964,123.1980710029602,143.22750306129456,190.10513162612915,214.9958839416504,236.1631624698639,261.69477105140686,280.9552733898163,293.8821949958801,320.3100543022156,342.82541680336,355.61175084114075,370.7077124118805,392.39648723602295,405.65305519104004,427.7703363895416,442.4584517478943,468.13262248039246,497.2574338912964,511.5575180053711,528.377560377121,553.3969216346741,572.1570856571198,588.8789968490601,601.8937849998474,626.9040722846985,643.7500803470612,658.1087968349457,675.5315933227539,688.2143063545227,709.0656018257141,726.3196504116058,739.8581352233887,756.8093373775482,769.9304218292236,791.3696584701538,808.2082562446594,830.2168655395508,848.7511718273163,861.4947905540466
total minutes,0.0,0.7675832112630209,1.3826051632563272,2.05330118338267,2.387125051021576,3.168418860435486,3.5832647323608398,3.936052707831065,4.361579517523448,4.6825878898302715,4.898036583264669,5.338500905036926,5.7137569467226665,5.926862514019012,6.178461873531342,6.539941453933716,6.760884253184001,7.12950560649236,7.374307529131571,7.802210374673208,8.287623898188274,8.525958633422851,8.806292672952017,9.223282027244569,9.535951427618663,9.814649947484334,10.03156308333079,10.448401204744975,10.729168005784352,10.968479947249095,11.258859888712566,11.470238439242046,11.817760030428568,12.105327506860098,12.330968920389811,12.61348895629247,12.832173697153728,13.189494307835897,13.470137604077657,13.836947758992514,14.145852863788605,14.35824650923411
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,780.0,851.0,417.0,998.0,514.0,438.0,533.0,396.0,255.0,551.0,471.0,257.0,303.0,457.0,267.0,456.0,298.0,532.0,610.0,289.0,343.0,521.0,385.0,343.0,257.0,522.0,343.0,290.0,356.0,254.0,432.0,351.0,273.0,349.0,263.0,442.0,347.0,459.0,382.0,253.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
