,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Accumulated time steps,0.0,792.0,1214.0,1582.0,2507.0,2921.0,3545.0,3790.0,4285.0,4543.0,4790.0,5073.0,5547.0,5972.0,6261.0,6520.0,6794.0,6966.0,7214.0,7578.0,7925.0,8131.0,8497.0,8979.0,9441.0,9723.0,10089.0,10472.0,10934.0,11230.0,11692.0,11960.0,12332.0,12605.0,12893.0,13174.0,13610.0,14041.0,14390.0,14821.0,15081.0,15334.0,15678.0,16026.0,16197.0,16717.0,17064.0,17317.0,17698.0
Episode reward,0.0,75.82738308642337,88.30357761938394,90.64498856525529,31.46618967796337,79.13029802377638,84.9398739242346,87.5087021559381,88.651018654381,83.25453016028207,85.36678964051812,84.85514751835493,77.54014008494391,70.60501609459831,84.22632781698634,83.2588366081371,84.14989947444191,89.91095789303228,84.49053336248419,81.32552633969287,77.90407098119454,87.54794319870035,81.88254175800787,75.03640849123423,77.67109041922382,83.96685716449623,82.32641178573071,79.54384172569115,77.882308430766,82.16924114884252,77.87031458585957,86.68881253286884,81.45424937003838,86.4247920524891,83.64434405108776,81.99224786493798,72.1348819027701,73.08904375592776,78.62212977351312,73.08923240082126,83.47681430757427,84.40257306234236,79.01034724532403,78.71400020617052,88.76546979492838,67.06123147058437,78.7931087639068,84.78182347735441,75.49121745402044
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,36.474663972854614,56.75916242599487,74.58739185333252,118.23526382446289,138.28427505493164,167.90522360801697,180.20073437690735,203.9658374786377,216.8397707939148,229.14794969558716,243.1249384880066,265.7491180896759,286.2388701438904,300.35379910469055,313.22175765037537,326.63418316841125,335.41427540779114,347.86088609695435,365.6521213054657,382.57012033462524,393.03524112701416,410.8099191188812,434.14726996421814,456.55046010017395,470.5247218608856,488.50541734695435,507.1654050350189,529.528487443924,544.1698665618896,566.2503554821014,579.404541015625,597.3172171115875,610.9266545772552,625.0432748794556,639.1149563789368,660.2457609176636,681.1818091869354,698.2166454792023,719.1331677436829,732.2337398529053,744.7978999614716,761.6761038303375,778.7296614646912,787.6361348628998,812.3629322052002,829.2572972774506,841.7773268222809,860.3567981719971
total minutes,0.0,0.6079110662142436,0.9459860404332479,1.243123197555542,1.9705877304077148,2.304737917582194,2.7984203934669494,3.0033455729484557,3.3994306246439616,3.61399617989858,3.8191324949264525,4.052082308133444,4.429151968161265,4.7706478357315065,5.005896651744843,5.2203626275062565,5.443903052806855,5.590237923463186,5.797681434949239,6.094202021757762,6.376168672243754,6.550587352116903,6.8468319853146875,7.235787832736969,7.6091743350028995,7.842078697681427,8.141756955782572,8.45275675058365,8.825474790732066,9.069497776031493,9.437505924701691,9.656742350260417,9.955286951859792,10.18211090962092,10.417387914657592,10.651915939648946,11.004096015294392,11.35303015311559,11.636944091320037,11.985552795728047,12.203895664215088,12.413298332691193,12.694601730505626,12.978827691078186,13.127268914381663,13.539382203420002,13.820954954624176,14.029622113704681,14.339279969533285
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,790.0,421.0,367.0,924.0,413.0,623.0,244.0,494.0,257.0,246.0,282.0,473.0,424.0,288.0,258.0,273.0,171.0,247.0,363.0,346.0,205.0,365.0,481.0,461.0,281.0,365.0,382.0,461.0,295.0,461.0,267.0,371.0,272.0,287.0,280.0,435.0,430.0,348.0,430.0,259.0,252.0,343.0,347.0,170.0,519.0,346.0,252.0,380.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
