,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Accumulated time steps,0.0,519.0,873.0,1431.0,2016.0,2425.0,2788.0,3245.0,4211.0,4971.0,5649.0,6080.0,6850.0,7112.0,7389.0,7914.0,8452.0,8705.0,8964.0,9222.0,9483.0,9738.0,9994.0,10280.0,10624.0,10964.0,11230.0,11477.0,11724.0,11994.0,12337.0,12596.0,13054.0,13400.0,13569.0,13855.0,14123.0,14305.0,14841.0,15552.0,15918.0,16537.0,16827.0,17001.0,17367.0,17843.0,18319.0,18689.0,18969.0,19247.0
Episode reward,0.0,86.68008230045379,90.76337056125973,86.39669631925695,68.23255685895676,78.1787436803441,93.67708580984922,93.66914633700135,53.004277773739,60.81942971114188,67.96694159894965,75.249992565534,65.69303606910483,85.05410355571006,83.94750335878865,72.95541124522772,71.93175611834283,86.84484036113442,86.3841990301789,86.50865115370318,84.09132487830385,87.43377436409064,87.3441734183346,83.65439424496464,80.00270440791995,79.73163162320277,84.21174424041241,86.19067456644724,86.80028149851685,88.32957765384299,81.86986394974195,85.56296933810842,74.77283622207484,81.19216184785968,89.97040579550344,84.66644202923078,87.9703937882502,90.74847704907627,76.21263189328728,74.75922020585406,85.52411464101611,76.42713755198658,87.022332519204,91.40243597615975,85.67494753038115,80.3667947325771,80.36271630116121,84.4618088931734,87.92190241471026,85.87048435063778
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,23.79343843460083,40.97834348678589,67.73368000984192,95.43419885635376,114.75379085540771,132.49451351165771,154.26653456687927,199.4604663848877,235.19168066978455,267.31685090065,288.0412163734436,324.2157475948334,337.3076448440552,350.8688430786133,375.9135308265686,401.6422584056854,414.22484374046326,427.08611369132996,439.90659403800964,452.6872866153717,465.3946394920349,478.17693305015564,492.3178369998932,508.8477990627289,525.5027565956116,538.7493970394135,551.1296744346619,563.3977251052856,576.8356335163116,593.6981661319733,606.469970703125,628.5792937278748,645.2417833805084,654.077380657196,668.127676486969,681.5269870758057,690.8442800045013,715.5166110992432,746.6364359855652,762.988126039505,790.4629139900208,803.8646237850189,812.5349009037018,829.0292956829071,850.2990803718567,871.3542802333832,888.5107610225677,901.873975276947,914.6849842071533
total minutes,0.0,0.39655730724334715,0.6829723914464315,1.1288946668306987,1.5905699809392293,1.912563180923462,2.208241891860962,2.5711089094479878,3.3243411064147947,3.919861344496409,4.4552808483441675,4.8006869395573935,5.403595793247223,5.621794080734253,5.8478140513102215,6.2652255137761435,6.694037640094757,6.9037473956743876,7.118101894855499,7.331776567300161,7.544788110256195,7.756577324867249,7.969615550835927,8.205297283331554,8.480796651045482,8.758379276593526,8.979156617323557,9.185494573911031,9.389962085088094,9.61392722527186,9.894969435532888,10.107832845052084,10.476321562131245,10.754029723008474,10.901289677619934,11.135461274782816,11.358783117930095,11.514071333408356,11.925276851654052,12.44394059975942,12.716468767325084,13.17438189983368,13.397743729750315,13.542248348395029,13.817154928048451,14.171651339530944,14.522571337223052,14.808512683709463,15.03123292128245,15.244749736785888
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,517.0,353.0,557.0,584.0,408.0,362.0,456.0,965.0,759.0,677.0,430.0,769.0,261.0,276.0,524.0,537.0,252.0,258.0,257.0,260.0,254.0,255.0,285.0,343.0,339.0,265.0,246.0,246.0,269.0,342.0,258.0,457.0,345.0,168.0,285.0,267.0,181.0,535.0,710.0,365.0,618.0,289.0,173.0,365.0,475.0,475.0,369.0,279.0,277.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
