,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Accumulated time steps,0.0,1000.0,1948.0,2373.0,2717.0,2963.0,3397.0,3742.0,4328.0,5235.0,6163.0,6679.0,7303.0,7917.0,8168.0,8619.0,8876.0,9211.0,9488.0,9843.0,10105.0,10538.0,10985.0,11275.0,11654.0,12009.0,12352.0,12987.0,13246.0,13595.0,14031.0,14463.0,14899.0,15153.0,15703.0,16228.0,16675.0,17019.0,17272.0,17550.0,17818.0,18085.0,18368.0,18648.0,18900.0,19182.0
Episode reward,0.0,-68.98227221725267,52.692204638212935,79.41968259577342,90.3710962960071,83.23175017478444,85.76244130685802,75.86066009290825,62.789499579589226,50.88160919191038,60.72843627395329,64.41639277184447,75.58349354549233,67.61686608560693,83.7943197740341,77.26236988163159,84.79704932756557,81.23845441300062,87.51068662947563,79.69023350500517,87.95516399491244,75.36758816663817,74.22872064267737,82.16308893382694,77.3429408809655,79.6596735329754,80.32684749017346,62.68600665559852,85.22154384129603,80.1924997375345,75.17315430627882,75.35954109874066,74.50693882908936,85.27120662568407,67.63591689205043,69.19076601971383,74.23533217062885,80.16293761294078,85.42755749476628,83.35110571683549,84.34304955613459,84.44165212506985,82.85559164670755,83.15264338872704,85.78141351752305,82.30392099374338
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.190876722335815,3104.7599880695343,3124.17578125,3139.5634899139404,3150.810544013977,3170.6862020492554,3186.589562177658,3212.4208641052246,3251.3675680160522,3293.998099088669,3318.02801156044,3346.0040290355682,3374.033362865448,3386.0712451934814,3407.0263640880585,3419.2795984745026,3435.156633377075,3448.1232357025146,3464.245347738266,3476.817331790924,3496.302751302719,3516.3321692943573,3529.703140974045,3546.998633623123,3563.2036197185516,3578.9236035346985,3606.868188381195,3618.954229593277,3634.664964914322,3654.317446708679,3673.8287255764008,3694.0661294460297,3706.3716604709625,3732.024042367935,3755.929820537567,3775.985824108124,3790.937874317169,3802.4631247520447,3816.07524394989,3828.8751623630524,3841.497299671173,3855.4574975967407,3868.6957700252533,3880.6414880752563,3894.3122198581696
total minutes,0.0,0.7031812787055969,51.7459998011589,52.06959635416667,52.32605816523234,52.513509066899616,52.84477003415426,53.1098260362943,53.540347735087074,54.1894594669342,54.89996831814448,55.300466859340666,55.76673381725947,56.2338893810908,56.43452075322469,56.783772734800976,56.987993307908376,57.25261055628459,57.46872059504191,57.73742246230443,57.946955529848736,58.27171252171198,58.605536154905955,58.828385682900745,59.11664389371872,59.386726995309196,59.64872672557831,60.11446980635325,60.31590382655462,60.5777494152387,60.90529077847798,61.230478759606676,61.5677688241005,61.77286100784938,62.20040070613225,62.598830342292786,62.93309706846873,63.182297905286156,63.374385412534075,63.601254065831505,63.8145860393842,64.02495499451955,64.25762495994567,64.47826283375421,64.6773581345876,64.90520366430283
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,947.0,424.0,343.0,245.0,433.0,344.0,585.0,906.0,927.0,515.0,623.0,613.0,250.0,450.0,256.0,334.0,276.0,354.0,261.0,432.0,446.0,289.0,378.0,354.0,342.0,634.0,258.0,348.0,435.0,431.0,435.0,253.0,549.0,524.0,446.0,343.0,252.0,277.0,267.0,266.0,282.0,279.0,251.0,281.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
