,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Accumulated time steps,0.0,722.0,1721.0,2720.0,3478.0,3939.0,4179.0,4584.0,5335.0,5657.0,6158.0,6736.0,7076.0,7505.0,8205.0,9204.0,9551.0,10149.0,10505.0,10952.0,11514.0,11857.0,12348.0,12692.0,13318.0,13704.0,14182.0,14565.0,15060.0,15336.0,15623.0,16005.0,16295.0,16671.0,16959.0,17233.0,17628.0,17909.0,18187.0,18563.0,18947.0
Episode reward,0.0,72.48533925983017,-76.98068229829775,-24.58715092188921,58.03703293099762,87.83722124037806,91.19359246185293,83.63832624937871,46.25690973853107,84.06399229865684,64.33110131439531,77.8786390674981,77.64883622395436,80.51632089806881,70.29981105433544,-37.09687156381237,85.01309639072315,66.71709327664965,79.9104491188568,73.75488036672218,79.02650085529332,76.48589166352045,78.82621410865247,81.43159775712327,78.0386115773263,84.84533526477901,81.50375959024902,85.07776485450813,78.41271645518691,87.3801002150648,85.0879714542373,83.65585610799691,85.1003041343441,84.95662511775727,85.48041484117117,88.019174668259,81.23865712704276,88.05967924527921,88.23191061488808,85.34107431346312,85.01002109300947
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,32.97482109069824,79.78079438209534,126.36329197883606,161.88426613807678,183.69189524650574,195.41063714027405,214.7355992794037,249.66555404663086,265.1022162437439,288.56673645973206,315.68564915657043,332.1901021003723,352.8848910331726,386.3289234638214,432.78803277015686,449.65787506103516,477.93711256980896,495.1959652900696,516.484192609787,543.1164956092834,559.6905648708344,583.2108595371246,599.9238719940186,629.3701493740082,648.0260846614838,670.7291030883789,689.146103143692,712.6285932064056,726.2125198841095,740.114871263504,758.4932537078857,772.6835904121399,790.7187745571136,804.6222233772278,818.159373998642,837.0149660110474,850.6029627323151,864.2134666442871,882.1627621650696,900.3609809875488
total minutes,0.0,0.5495803515116374,1.3296799063682556,2.1060548663139342,2.6980711023012796,3.0615315874417623,3.256843952337901,3.578926654656728,4.1610925674438475,4.418370270729065,4.809445607662201,5.261427485942841,5.536501701672872,5.8814148505528765,6.43881539106369,7.213133879502615,7.4942979176839195,7.965618542830149,8.253266088167827,8.608069876829783,9.051941593488058,9.328176081180573,9.72018099228541,9.998731199900309,10.489502489566803,10.800434744358062,11.178818384806315,11.4857683857282,11.877143220106761,12.103541998068492,12.335247854391733,12.641554228464763,12.878059840202331,13.17864624261856,13.410370389620462,13.635989566644033,13.950249433517456,14.176716045538585,14.403557777404785,14.70271270275116,15.00601634979248
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,720.0,998.0,998.0,757.0,460.0,239.0,404.0,750.0,321.0,500.0,577.0,339.0,428.0,699.0,998.0,346.0,597.0,355.0,446.0,561.0,342.0,490.0,343.0,625.0,385.0,477.0,382.0,494.0,275.0,286.0,381.0,289.0,375.0,287.0,273.0,394.0,280.0,277.0,375.0,383.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
