,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Accumulated time steps,0.0,1000.0,1785.0,2784.0,3321.0,4320.0,4667.0,5030.0,5396.0,5644.0,6084.0,6333.0,6955.0,7231.0,7577.0,8037.0,8637.0,8988.0,9328.0,9780.0,9964.0,10517.0,11037.0,11648.0,11899.0,12182.0,12556.0,12903.0,13521.0,14127.0,14320.0,14694.0,15061.0,15366.0,15847.0,16318.0,16605.0,16988.0,17271.0,17560.0,17743.0,18500.0,19178.0
Episode reward,0.0,-71.57832853029561,69.66395509984001,-70.90660125330483,58.83089446757417,-16.206743825099558,75.00154802565048,73.78008304376155,73.62627266382636,86.22076407704822,79.36918232539881,84.52059025860687,72.42082520471222,86.25857032784339,79.26894639362972,71.71126869317834,63.3068824071629,78.9729082967877,79.7218701479724,81.21768373839416,90.02289862645242,65.32146471635008,69.54791537020978,64.02196617936804,85.51624867673237,84.98327980059366,84.17834198473129,79.84977002254219,63.26226915199111,63.842616254565506,89.4431784178835,82.9787700804641,84.22315026597937,82.29058966571446,77.99531034419425,79.7127750575172,84.83108927068318,81.49624195402333,86.9707792050506,84.02100331766968,90.37311884662644,70.5480936072041,71.212786039348
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.23342752456665,81.91286325454712,127.47186183929443,152.8690538406372,199.40795230865479,216.0429744720459,233.53394889831543,251.19389462471008,263.6756479740143,284.4581928253174,296.55861234664917,325.504953622818,339.05159282684326,355.7509243488312,377.56347918510437,405.8605332374573,422.98002529144287,439.42744493484497,460.88794231414795,470.2789993286133,496.1377110481262,520.6758892536163,549.6382927894592,562.1775362491608,576.0383098125458,594.12251496315,610.9065816402435,639.8651964664459,668.5640230178833,678.3329999446869,696.2782151699066,714.0142500400543,728.9223277568817,751.9914035797119,774.3618013858795,788.4707427024841,806.8664305210114,820.6547074317932,834.7691979408264,844.0698866844177,879.5947561264038,911.5979084968567
total minutes,0.0,0.7538904587427775,1.3652143875757854,2.1245310306549072,2.54781756401062,3.323465871810913,3.600716241200765,3.8922324816385907,4.1865649104118345,4.394594132900238,4.740969880421956,4.942643539110819,5.4250825603803,5.6508598804473875,5.929182072480519,6.292724653085073,6.764342220624288,7.049667088190715,7.3237907489140825,7.681465705235799,7.837983322143555,8.268961850802103,8.677931487560272,9.160638213157654,9.369625604152679,9.600638496875764,9.9020419160525,10.181776360670726,10.664419941107433,11.142733716964722,11.305549999078115,11.604636919498443,11.900237500667572,12.148705462614695,12.533190059661866,12.906030023097992,13.141179045041403,13.447773842016856,13.677578457196553,13.91281996568044,14.067831444740296,14.659912602106731,15.193298474947612
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,784.0,998.0,536.0,998.0,346.0,362.0,365.0,247.0,439.0,248.0,621.0,275.0,345.0,459.0,599.0,350.0,339.0,451.0,183.0,552.0,519.0,610.0,250.0,282.0,373.0,346.0,617.0,605.0,192.0,373.0,366.0,304.0,480.0,470.0,286.0,382.0,282.0,288.0,182.0,756.0,677.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
