,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Accumulated time steps,0.0,434.0,782.0,1037.0,1475.0,2094.0,2443.0,2966.0,3965.0,4706.0,5576.0,6575.0,7574.0,8573.0,9572.0,10571.0,11570.0,12445.0,13444.0,14443.0,15442.0,16441.0,17309.0,18308.0,19307.0,20306.0
Episode reward,0.0,82.03894251194293,85.51765924744836,89.45289655688936,82.63107226328798,73.97190901861157,86.72245615395977,81.99090838345649,-37.83623181575639,70.31052469108069,65.68523479568668,-38.659109003864124,-37.110931500169585,-37.71079927964783,-37.27341847611099,-36.11304611610828,-39.82242524220297,66.90101589633737,-36.4434037842883,-38.296724181949386,-39.89227446482233,-37.89239687410605,72.70789015951777,-37.695254858411744,-37.69911011965937,-36.73684813473722
Episode feedback,0.8,0.4722222211291152,0.44380403330315843,0.3700787387004774,0.3043478253905084,0.2524271840575612,0.21264367754987448,0.18965517205046903,0.11122244477833422,0.09999999986486487,0.05523590327360656,0.037074148259444745,0.028056112196336563,0.01803607212621636,0.014028056098168281,0.007014028049084141,0.00801603205609616,0.002288329516832575,0.00400801602804808,0.00100200400701202,0.0,0.00100200400701202,0.0,0.0,0.0,0.0
total seconds,0.0,29.27959394454956,53.54855990409851,70.99759864807129,98.87713384628296,136.699871301651,158.06552076339722,189.1139829158783,242.43281054496765,281.55855560302734,325.5795247554779,375.31297183036804,423.91194677352905,472.45244574546814,521.2910294532776,570.199756860733,618.6630916595459,660.8410623073578,708.9751603603363,756.3245418071747,803.9508235454559,851.9513120651245,893.2137377262115,940.85533618927,988.9660310745239,1037.0381569862366
total minutes,0.0,0.4879932324091593,0.8924759984016418,1.183293310801188,1.6479522307713828,2.27833118836085,2.6344253460566205,3.1518997152646384,4.040546842416128,4.692642593383789,5.426325412591298,6.255216197172801,7.0651991128921505,7.874207429091135,8.688183824221293,9.503329281012217,10.311051527659098,11.01401770512263,11.816252672672272,12.605409030119578,13.399180392424265,14.199188534418742,14.886895628770192,15.680922269821167,16.482767184575398,17.283969283103943
cummulative feedback,0.0,204.0,358.0,452.0,585.0,741.0,815.0,914.0,1025.0,1099.0,1147.0,1184.0,1212.0,1230.0,1244.0,1251.0,1259.0,1261.0,1265.0,1266.0,1266.0,1267.0,1267.0,1267.0,1267.0,1267.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,432.0,347.0,254.0,437.0,618.0,348.0,522.0,998.0,740.0,869.0,998.0,998.0,998.0,998.0,998.0,998.0,874.0,998.0,998.0,998.0,998.0,867.0,998.0,998.0,998.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
