,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Accumulated time steps,0.0,449.0,1152.0,1409.0,1673.0,2286.0,3122.0,3815.0,4677.0,5247.0,5493.0,6492.0,6823.0,7822.0,8821.0,9820.0,10552.0,11221.0,12220.0,13219.0,14218.0,14859.0,15858.0,16857.0,17856.0,18855.0,19624.0,20623.0
Episode reward,0.0,77.31222559277798,67.44938414478966,87.02739524353083,87.51127092886928,73.20976821117574,60.07846464570425,73.17428945015838,65.60053173957863,77.84803016939264,88.89673062703882,-38.72658106546935,86.74553133556088,-37.438310694654284,-37.705615617125005,-34.5366922335707,72.01170203825117,72.29703684121453,-38.56092228061337,-36.32865367789627,-37.98828068147518,74.99330537334045,-40.38433549687444,-40.70258969595372,-36.94866450159964,-37.613503531555715,73.05659652849631,-39.55444882345066
Episode feedback,0.8,0.3847874711749721,0.32905982859108285,0.2929687488555908,0.19391634907256142,0.2450980388151993,0.1341317363663093,0.14017341020206156,0.08013937272922256,0.04217926178878864,0.044897959000416494,0.05911823641370918,0.027272727190082644,0.024048096168288482,0.01703406811920434,0.014028056098168281,0.013679890542161573,0.007485029928914626,0.007014028049084141,0.0030060120210360602,0.0030060120210360602,0.0015624999975585939,0.00100200400701202,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,30.849940538406372,78.43713593482971,96.43648791313171,113.30143928527832,153.9614417552948,202.6937291622162,241.62151217460632,286.9371280670166,315.7549419403076,328.94747042655945,379.7829785346985,396.69258213043213,445.4981224536896,494.050101518631,542.5546967983246,578.5955014228821,611.1443903446198,659.3223352432251,707.443868637085,755.3684194087982,786.3839707374573,834.2786691188812,881.9242208003998,929.4733426570892,977.2568869590759,1014.404723405838,1062.2272975444794
total minutes,0.0,0.5141656756401062,1.3072855989138286,1.6072747985521951,1.8883573214213054,2.5660240292549132,3.37822881937027,4.027025202910106,4.78228546778361,5.262582365671793,5.482457840442658,6.3297163089116415,6.611543035507202,7.424968707561493,8.23416835864385,9.042578279972076,9.643258357048035,10.185739839076996,10.988705587387084,11.790731143951415,12.589473656813304,13.106399512290954,13.904644485314687,14.698737013339997,15.491222377618154,16.287614782651264,16.9067453900973,17.70378829240799
cummulative feedback,0.0,172.0,403.0,478.0,529.0,679.0,791.0,888.0,957.0,981.0,992.0,1051.0,1060.0,1084.0,1101.0,1115.0,1125.0,1130.0,1137.0,1140.0,1143.0,1144.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,447.0,702.0,256.0,263.0,612.0,835.0,692.0,861.0,569.0,245.0,998.0,330.0,998.0,998.0,998.0,731.0,668.0,998.0,998.0,998.0,640.0,998.0,998.0,998.0,998.0,768.0,998.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
