,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Accumulated time steps,0.0,548.0,1547.0,1998.0,2244.0,2760.0,3005.0,3434.0,4433.0,5107.0,6106.0,6762.0,7303.0,8302.0,9025.0,10024.0,11023.0,11822.0,12725.0,13724.0,14723.0,15722.0,16700.0,17699.0,18698.0,19697.0,20696.0
Episode reward,0.0,75.63267730984208,-45.16176554452934,79.47414190402888,89.15122098451758,80.31749032572918,89.38368116412208,81.9470269031241,-39.56323510786542,73.23936514982495,-41.84211298131565,76.39148284741952,77.2815874204306,-39.678141296553044,72.66470293926022,-36.43051639573145,-40.22505666824706,69.3723064371438,65.95266661725239,-36.020441766804005,-35.69155840284733,-38.1119999779973,61.10905677416845,-35.46123426743976,-38.32371767284314,-41.19075891070966,-37.40825622424765
Episode feedback,0.8,0.5109890100531337,0.3056112221386661,0.25111111055308644,0.19999999918367348,0.18640776662833444,0.16393442555764579,0.17056074726504497,0.10020040070120201,0.07132243674394884,0.035070140245420704,0.03664122131810501,0.044444444362139915,0.01703406811920434,0.012465373943953776,0.012024048084144241,0.0060120240420721205,0.0025062656610197174,0.004434589795527063,0.00200400801402404,0.00100200400701202,0.0,0.0,0.00200400801402404,0.0,0.0,0.0
total seconds,0.0,42.09949207305908,112.53494477272034,144.06459259986877,160.09473490715027,192.29477429389954,207.58523106575012,233.19738578796387,286.31678199768066,323.23234462738037,376.9388840198517,409.96450567245483,437.35828828811646,485.8789772987366,521.1163039207458,569.2360739707947,617.2853653430939,655.6122243404388,698.9371695518494,746.7095420360565,794.5745379924774,842.4167039394379,889.3830213546753,937.195686340332,985.1861248016357,1032.749115228653,1080.620082616806
total minutes,0.0,0.7016582012176513,1.8755824128786722,2.401076543331146,2.668245581785838,3.204912904898326,3.459753851095835,3.8866230964660646,4.771946366628011,5.387205743789673,6.282314733664195,6.832741761207581,7.289304804801941,8.097982954978942,8.685271732012431,9.487267899513245,10.288089422384898,10.92687040567398,11.648952825864155,12.445159033934276,13.24290896654129,14.040278398990631,14.823050355911255,15.6199281056722,16.41976874669393,17.212485253810883,18.0103347102801
cummulative feedback,0.0,279.0,584.0,697.0,746.0,842.0,882.0,955.0,1055.0,1103.0,1138.0,1162.0,1186.0,1203.0,1212.0,1224.0,1230.0,1232.0,1236.0,1238.0,1239.0,1239.0,1239.0,1241.0,1241.0,1241.0,1241.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,546.0,998.0,450.0,245.0,515.0,244.0,428.0,998.0,673.0,998.0,655.0,540.0,998.0,722.0,998.0,998.0,798.0,902.0,998.0,998.0,998.0,977.0,998.0,998.0,998.0,998.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
