,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Accumulated time steps,0.0,506.0,661.0,1100.0,1352.0,2105.0,2635.0,3143.0,3386.0,4050.0,5049.0,6048.0,7017.0,7333.0,8209.0,8910.0,9909.0,10908.0,11495.0,12494.0,13493.0,14492.0,15491.0,16490.0,17489.0,18488.0,19352.0,19837.0,20791.0
Episode reward,0.0,72.08036093773268,91.02560014614096,77.79589492949329,87.88628535180871,65.66369893085246,74.95812906560779,80.17524455875818,87.9492625632775,69.41968237573468,-45.27384593508257,-43.30852587424487,57.87583661729081,84.9062889932807,62.75163824661778,67.90609239929609,-40.47762372091557,-40.250567229383115,73.00968638286739,-41.40325289527065,-46.82867017793914,-37.20168669437797,-40.09780625091257,-43.418407004830826,-42.55611237076865,-43.37145214890774,65.00812444333204,79.7003666238416,58.941914507317435
Episode feedback,0.8,0.3749999992559524,0.28571428385899816,0.2853881272023102,0.26294820612371234,0.2619680847580212,0.14555765567947512,0.15187376695882887,0.1487603299638003,0.11463046739874741,0.09318637265211786,0.0551102203856611,0.04545454540758828,0.028571428480725625,0.015999999981714287,0.025714285677551022,0.0100200400701202,0.00801603205609616,0.0,0.00200400801402404,0.00200400801402404,0.00200400801402404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,34.87840175628662,45.86221766471863,76.22073602676392,94.05528116226196,146.35464763641357,178.5342562198639,208.6406753063202,224.08414340019226,261.4245526790619,315.5651423931122,366.92090344429016,416.5358214378357,433.0181052684784,476.923134803772,512.4912278652191,561.7779116630554,611.4918427467346,640.5987236499786,689.5391807556152,738.596257686615,787.3585116863251,836.9227705001831,890.6073031425476,942.0002548694611,992.5677163600922,1035.6834034919739,1060.1507046222687,1107.6634154319763
total minutes,0.0,0.5813066959381104,0.7643702944119771,1.2703456004460654,1.5675880193710328,2.4392441272735597,2.9755709369977317,3.47734458843867,3.7347357233365375,4.357075877984365,5.259419039885203,6.115348390738169,6.942263690630595,7.216968421141306,7.9487189133962,8.54152046442032,9.362965194384257,10.191530712445577,10.67664539416631,11.492319679260254,12.30993762811025,13.122641861438751,13.94871284166972,14.843455052375793,15.700004247824351,16.542795272668204,17.261390058199563,17.669178410371146,18.461056923866273
cummulative feedback,0.0,189.0,233.0,358.0,424.0,621.0,698.0,775.0,811.0,887.0,980.0,1035.0,1079.0,1088.0,1102.0,1120.0,1130.0,1138.0,1138.0,1140.0,1142.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,504.0,154.0,438.0,251.0,752.0,529.0,507.0,242.0,663.0,998.0,998.0,968.0,315.0,875.0,700.0,998.0,998.0,586.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,863.0,484.0,953.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
