,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Accumulated time steps,0.0,419.0,681.0,1061.0,1466.0,1950.0,2414.0,2682.0,2953.0,3222.0,3379.0,3645.0,4380.0,4532.0,4971.0,5337.0,5596.0,5755.0,6116.0,6477.0,6755.0,7012.0,7263.0,7610.0,7770.0,8038.0,8199.0,8460.0,8616.0,8956.0,9198.0,9533.0,9702.0,9872.0,10131.0,10483.0,10726.0,11058.0,11301.0,11560.0,11901.0,12448.0,12718.0,12997.0,13256.0,13593.0,14053.0,14481.0,14923.0,15074.0,15500.0,15784.0,15944.0,16229.0,16382.0,16730.0,16973.0,17167.0,17319.0,17612.0,18069.0,18312.0,18471.0,18718.0,18961.0,19113.0,19356.0,19599.0,19933.0
Episode reward,0.0,79.53562019306258,86.40022166439712,80.77519468929165,78.19346465450235,76.55077639697215,76.23001955324361,85.70898098067335,86.70773146014078,85.91897577415902,91.30170385267232,85.55925180969064,58.6927159458137,91.17948993430599,75.71774035273599,80.64539277557563,86.70096240105156,91.00976729048689,80.5328190018546,82.1480154365222,84.04773551934846,86.41040027571846,87.01738846320976,80.34272825816657,90.49738852468806,84.35407204851751,91.02436682722757,85.5852934800838,90.98370402338516,78.9935889435909,84.95095461536008,80.00448524202551,90.9313912664112,90.84383082942567,86.27764682421687,77.63359891220186,86.3413466305077,80.96059694436806,86.32232811494143,84.93616686349762,80.52459500132062,68.04765379262113,83.58913182128248,82.5257797147922,84.66956820965832,80.5537558152956,71.98683115698161,74.29463290471998,72.89759260424059,92.53046769793421,75.71722242430448,82.1535044636714,90.23263458792458,82.05096496925614,91.0319441496857,79.9407459969747,86.3791999354949,86.81518592426488,91.14405280719632,81.25006752036529,72.6486601054465,86.39762055749416,90.34354982564084,86.07853948873594,86.37418349216108,91.15930035765093,86.31780965950831,86.31100381061985,80.80659370990244
Episode feedback,0.8,0.5131894472105769,0.13793103395428724,0.23746701784309493,0.18069306885967062,0.18219461660001116,0.12526997813116636,0.07865168509868282,0.08888888855967078,0.03731343269659167,0.03846153821499014,0.1094339618511926,0.028610354184454557,0.03311258256216833,0.02739726021142178,0.027397260198911616,0.019379844886124632,0.03164556941996475,0.019444444390432098,0.01666666662037037,0.014440433160864862,0.007812499969482422,0.0,0.005780346804103044,0.0,0.007490636676065031,0.0,0.007692307662721894,0.0064516128616024975,0.0,0.0,0.0029940119670837967,0.0,0.0,0.007751937954449853,0.008547008522658096,0.0,0.0,0.0,0.0,0.002941176461937716,0.0018315018281474325,0.0,0.0,0.0,0.0,0.0,0.0,0.0022675736910032344,0.0066666666222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,36.09594988822937,51.17289710044861,74.76118731498718,98.50505566596985,127.5019600391388,152.72003364562988,166.72918725013733,181.03673481941223,194.85918879508972,203.27727627754211,217.61256742477417,254.47559452056885,262.54827666282654,284.8146984577179,303.4866383075714,316.92764139175415,325.63518810272217,343.9660074710846,362.58327174186707,377.1177034378052,390.57153487205505,403.44338512420654,421.0245404243469,429.38558864593506,443.0032477378845,451.66499161720276,465.38115429878235,473.9070122241974,491.31159472465515,503.92624616622925,520.809693813324,529.7050921916962,538.963326215744,552.5023519992828,570.6941938400269,583.3077654838562,600.3393795490265,613.1444611549377,626.6003365516663,644.2614133358002,671.1346368789673,685.3206193447113,699.8924124240875,713.0364665985107,730.4687933921814,753.7941436767578,775.3048777580261,797.5454833507538,805.9828054904938,827.3078284263611,841.877393245697,850.9296152591705,866.1019642353058,874.3275442123413,891.6198422908783,903.9057471752167,913.8262305259705,921.7782871723175,936.0335757732391,957.8310241699219,970.0626020431519,978.2478935718536,990.720484495163,1003.16148686409,1011.1587438583374,1023.126279592514,1034.932427406311,1051.1776463985443
total minutes,0.0,0.6015991648038228,0.8528816183408101,1.2460197885831197,1.6417509277661642,2.12503266731898,2.5453338940938313,2.7788197875022886,3.0172789136568707,3.247653146584829,3.387954604625702,3.626876123746236,4.241259908676147,4.375804611047109,4.746911640961965,5.058110638459524,5.2821273565292355,5.42725313504537,5.732766791184743,6.043054529031118,6.285295057296753,6.509525581200918,6.724056418736776,7.017075673739115,7.156426477432251,7.383387462298075,7.527749860286713,7.756352571646373,7.8984502037366235,8.188526578744252,8.398770769437155,8.6801615635554,8.828418203194936,8.982722103595734,9.20837253332138,9.51156989733378,9.721796091397604,10.005656325817109,10.219074352582295,10.44333894252777,10.737690222263335,11.185577281316121,11.422010322411856,11.664873540401459,11.88394110997518,12.17447988986969,12.563235727945964,12.921747962633768,13.292424722512562,13.433046758174896,13.788463807106018,14.031289887428283,14.182160254319509,14.435032737255096,14.572125736872355,14.860330704847971,15.065095786253611,15.230437175432842,15.362971452871959,15.600559596220652,15.963850402832032,16.16771003405253,16.304131559530894,16.512008074919382,16.719358114401498,16.85264573097229,17.052104659875233,17.248873790105183,17.51962743997574
cummulative feedback,0.0,214.0,250.0,340.0,413.0,501.0,559.0,580.0,604.0,614.0,620.0,649.0,670.0,675.0,687.0,697.0,702.0,707.0,714.0,720.0,724.0,726.0,726.0,728.0,728.0,730.0,730.0,732.0,733.0,733.0,733.0,734.0,734.0,734.0,736.0,739.0,739.0,739.0,739.0,739.0,740.0,741.0,741.0,741.0,741.0,741.0,741.0,741.0,742.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0,743.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,417.0,261.0,379.0,404.0,483.0,463.0,267.0,270.0,268.0,156.0,265.0,734.0,151.0,438.0,365.0,258.0,158.0,360.0,360.0,277.0,256.0,250.0,346.0,159.0,267.0,160.0,260.0,155.0,339.0,241.0,334.0,168.0,169.0,258.0,351.0,242.0,331.0,242.0,258.0,340.0,546.0,269.0,278.0,258.0,336.0,459.0,427.0,441.0,150.0,425.0,283.0,159.0,284.0,152.0,347.0,242.0,193.0,151.0,292.0,456.0,242.0,158.0,246.0,242.0,151.0,242.0,242.0,333.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
