,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Accumulated time steps,0.0,1000.0,1830.0,2114.0,2376.0,2729.0,3728.0,4727.0,5343.0,5948.0,6646.0,7183.0,7647.0,7896.0,8161.0,8426.0,8684.0,9143.0,9307.0,9668.0,9867.0,10041.0,10645.0,10991.0,11695.0,11959.0,12477.0,12813.0,12977.0,13146.0,13310.0,13520.0,13894.0,14478.0,14852.0,15218.0,15484.0,15750.0,16039.0,16304.0,16672.0,17048.0,17312.0,17785.0,18079.0,18348.0,18594.0,18930.0,19180.0,19431.0,19694.0
Episode reward,0.0,-63.94365464058131,56.93746334450888,84.32988459632276,85.48266796835367,82.07984716679006,-60.32282140138631,-61.32561751247941,66.1137380073587,67.75948905140635,61.3962344991388,70.8315136623581,74.30097220355987,86.06670820568178,85.65685706622084,86.23256112059303,83.80943544897075,76.9845519440253,91.5903261236859,80.08834087087814,88.32475915455815,90.72537041441566,66.90044214214774,80.03346344837456,54.1090534651271,86.71966614256664,70.32966168361716,78.8493008429276,89.81335557704986,91.12326601260887,91.35283437875296,87.34558977842102,80.88015972637692,70.85989955492363,80.82092948967266,82.36674442937763,86.6377405525123,87.38881166207157,83.08088661637166,87.42977826352171,82.07782563464636,82.35563345389707,87.38436008549942,77.03020128586864,82.5476929470449,86.11477378118354,85.2038429127233,79.63706210051012,84.14816117033291,84.03656912978897,82.7082081625199
Episode feedback,0.8,0.0100200400701202,0.24004825061514085,0.14840989346851627,0.06896551697714362,0.13352272689340133,0.01603206411219232,0.027054108189324542,0.04715447146804151,0.036423840999298275,0.02869440454993629,0.014925373106482513,0.019438444882422367,0.016129032193028095,0.0,0.011363636320592287,0.003891050568517313,0.008733624435079423,0.0,0.005555555540123457,0.0,0.0,0.003316749579905888,0.00579710143247217,0.0028449502093243952,0.0,0.0019342359730478995,0.0,0.006134969287515526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037313432696591668,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,46.210983753204346,94.72327947616577,110.59248042106628,124.10072135925293,143.32386350631714,192.32365798950195,242.65555548667908,274.281263589859,305.3633975982666,340.72543835639954,368.50063395500183,392.3224449157715,405.64913868904114,419.5835120677948,433.6469337940216,447.2331819534302,470.853634595871,480.0868990421295,498.9376494884491,509.5949728488922,519.2012600898743,549.9584867954254,568.1060156822205,603.4246964454651,617.3775541782379,643.7125859260559,661.2185270786285,670.2803597450256,679.6371381282806,688.6717250347137,699.8874523639679,719.270911693573,748.0789957046509,767.2097840309143,785.5948596000671,799.4893221855164,813.5675721168518,828.734578371048,842.613224029541,861.4651045799255,880.2010169029236,893.1069707870483,915.886118888855,930.1550660133362,943.5382695198059,955.7882316112518,971.9578771591187,984.298177242279,996.5920808315277,1009.6097285747528
total minutes,0.0,0.7701830625534057,1.578721324602763,1.8432080070177714,2.0683453559875487,2.3887310584386188,3.2053942998250324,4.044259258111318,4.571354393164317,5.08938995997111,5.6787573059399925,6.141677232583364,6.538707415262858,6.760818978150685,6.9930585344632465,7.227448896567027,7.453886365890503,7.847560576597849,8.001448317368824,8.315627491474151,8.493249547481536,8.653354334831239,9.165974779923756,9.468433594703674,10.057078274091085,10.289625902970633,10.728543098767599,11.02030878464381,11.17133932908376,11.327285635471345,11.477862083911896,11.664790872732798,11.987848528226216,12.467983261744182,12.786829733848572,13.093247660001119,13.324822036425273,13.559459535280864,13.8122429728508,14.043553733825684,14.35775174299876,14.67001694838206,14.88511617978414,15.264768648147584,15.502584433555603,15.725637825330098,15.92980386018753,16.19929795265198,16.40496962070465,16.609868013858794,16.826828809579215
cummulative feedback,0.0,10.0,209.0,251.0,269.0,316.0,332.0,359.0,388.0,410.0,430.0,438.0,447.0,451.0,451.0,454.0,455.0,459.0,459.0,461.0,461.0,461.0,463.0,465.0,467.0,467.0,468.0,468.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,470.0,470.0,470.0,470.0,470.0,470.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,829.0,283.0,261.0,352.0,998.0,998.0,615.0,604.0,697.0,536.0,463.0,248.0,264.0,264.0,257.0,458.0,163.0,360.0,198.0,173.0,603.0,345.0,703.0,263.0,517.0,335.0,163.0,168.0,163.0,209.0,373.0,583.0,373.0,365.0,265.0,265.0,288.0,264.0,367.0,375.0,263.0,472.0,293.0,268.0,245.0,335.0,249.0,250.0,262.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
