,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Accumulated time steps,0.0,588.0,1122.0,1476.0,1942.0,2212.0,2496.0,2664.0,2957.0,3215.0,3472.0,3827.0,4117.0,4275.0,4843.0,4998.0,5248.0,5506.0,5763.0,6014.0,6270.0,6979.0,7505.0,8026.0,8295.0,8466.0,8843.0,9004.0,9450.0,9879.0,10397.0,10756.0,11017.0,11278.0,11654.0,12014.0,12287.0,13065.0,13321.0,13479.0,13823.0,13980.0,14318.0,14484.0,14828.0,15167.0,15326.0,15481.0,15842.0,16194.0,16533.0,16889.0,17146.0,17302.0,17551.0,17841.0,18411.0,18566.0,18826.0,19074.0,19327.0,19576.0,19850.0
Episode reward,0.0,72.55023444842507,69.33336787598763,81.59748186739469,75.67952507058422,86.01847522586661,84.6778072557025,90.88281089856551,82.79426880314733,86.9416513615981,86.59561974805969,80.34818218172789,83.13371102519434,91.58965910790297,67.24022205826557,90.83285460819314,87.14648434526866,85.62800800497816,86.58297005333709,86.80077265684521,85.54697941631827,57.10329308293239,72.9158379352957,70.14087108635715,85.47432817229283,89.97363470611242,81.6985696909337,91.04855308562672,77.14231807167734,74.04881303808403,68.30799134465845,78.05350354299132,87.08551027706773,87.0600264079699,79.76648865032234,82.15024231030098,85.1517360380685,48.830820059033385,84.20897397696982,90.05249113693996,78.57102925962312,90.20227574556782,78.8054233012904,89.11317594296906,77.78552076746469,78.65799828924779,89.93676325822437,90.46773151657874,76.94813976091997,77.82957057156318,78.83487035609738,77.43933104374199,84.1073884657858,90.34098745604496,84.82348350270877,80.76738463525368,61.848566507596416,90.471565533736,83.80210628767321,84.75174559933775,83.94708048030644,84.82838029030412,82.37008457815796
Episode feedback,0.8,0.40784982865554636,0.11257035626159408,0.07932011308974472,0.07956989230200023,0.06691449789251117,0.09540636008690333,0.07784431091111191,0.05136986283777444,0.03891050568517313,0.04687499981689453,0.02259886999265856,0.013840830401934843,0.03821656026613656,0.02292768955391942,0.0389610387080452,0.01204819272269802,0.015564202274069253,0.015624999938964844,0.015999999936,0.00784313722414456,0.011299435012288934,0.0019047619011337868,0.013461538435650887,0.0,0.005882352906574395,0.00265957446101177,0.0,0.0022471910061860876,0.0,0.0,0.002793296081582972,0.0,0.0,0.0,0.0,0.0,0.0012870012853449147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.277721643447876,70.88609027862549,88.78962445259094,112.11879801750183,126.26179242134094,140.9461624622345,149.98952269554138,165.19039225578308,178.5146026611328,191.97384667396545,209.8785696029663,224.546315908432,233.46240425109863,262.05441522598267,270.73945021629333,284.1185953617096,297.5901939868927,311.24178075790405,324.5618405342102,338.19849920272827,373.9482297897339,400.46080923080444,426.95782446861267,441.1189262866974,450.4859473705292,469.78748869895935,478.61608600616455,501.3120198249817,523.3820083141327,549.7985670566559,568.1297252178192,581.97194647789,595.887895822525,615.454393863678,633.7876436710358,647.5398755073547,685.1416153907776,698.6848256587982,707.4865469932556,725.4757876396179,734.1927652359009,751.505357503891,760.6096577644348,778.6177544593811,796.1309723854065,805.0092749595642,813.5498609542847,831.3884980678558,848.9283566474915,865.9185070991516,883.8577716350555,896.9945495128632,905.4381976127625,918.7632837295532,933.5626151561737,961.8860449790955,970.4086136817932,983.2006423473358,995.3632872104645,1007.6565248966217,1020.1982853412628,1034.0959181785583
total minutes,0.0,0.7046286940574646,1.1814348379770914,1.479827074209849,1.8686466336250305,2.1043632070223492,2.349102707703908,2.499825378259023,2.7531732042630512,2.9752433776855467,3.1995641112327577,3.4979761600494386,3.742438598473867,3.891040070851644,4.367573587099711,4.5123241702715555,4.73530992269516,4.959836566448212,5.187363012631734,5.409364008903504,5.636641653378804,6.232470496495565,6.674346820513407,7.115963741143545,7.35198210477829,7.508099122842153,7.829791478315989,7.976934766769409,8.355200330416361,8.72303347190221,9.163309450944265,9.468828753630321,9.699532441298167,9.931464930375418,10.257573231061299,10.563127394517263,10.792331258455912,11.419026923179626,11.644747094313304,11.791442449887594,12.091263127326965,12.236546087265015,12.525089291731517,12.676827629407247,12.976962574323018,13.268849539756776,13.41682124932607,13.559164349238078,13.856474967797597,14.148805944124858,14.431975118319194,14.73096286058426,14.949909158547719,15.090636626879375,15.312721395492554,15.559376919269562,16.031434082984923,16.173476894696552,16.386677372455598,16.58938812017441,16.794275414943694,17.003304755687715,17.234931969642638
cummulative feedback,0.0,239.0,299.0,327.0,364.0,382.0,409.0,422.0,437.0,447.0,459.0,467.0,471.0,477.0,490.0,496.0,499.0,503.0,507.0,511.0,513.0,521.0,522.0,529.0,529.0,530.0,531.0,531.0,532.0,532.0,532.0,533.0,533.0,533.0,533.0,533.0,533.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,586.0,533.0,353.0,465.0,269.0,283.0,167.0,292.0,257.0,256.0,354.0,289.0,157.0,567.0,154.0,249.0,257.0,256.0,250.0,255.0,708.0,525.0,520.0,268.0,170.0,376.0,160.0,445.0,428.0,517.0,358.0,260.0,260.0,375.0,359.0,272.0,777.0,255.0,157.0,343.0,156.0,337.0,165.0,343.0,338.0,158.0,154.0,360.0,351.0,338.0,355.0,256.0,155.0,248.0,289.0,569.0,154.0,259.0,247.0,252.0,248.0,273.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
