,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Accumulated time steps,0.0,386.0,658.0,938.0,1230.0,1591.0,1868.0,2324.0,2690.0,3689.0,3951.0,4698.0,4964.0,5216.0,5465.0,5942.0,6199.0,6477.0,6639.0,6891.0,7045.0,7306.0,7571.0,7729.0,7889.0,8252.0,8410.0,8661.0,8906.0,9148.0,9301.0,9755.0,10084.0,10602.0,10940.0,11389.0,11769.0,11926.0,12298.0,12641.0,12974.0,13254.0,13510.0,13780.0,14130.0,14287.0,14443.0,14716.0,14898.0,15055.0,15211.0,15370.0,15643.0,15909.0,16179.0,16435.0,16780.0,16936.0,17285.0,17452.0,17617.0,17777.0,18065.0,18418.0,18579.0,18735.0,18991.0,19155.0,19316.0,19498.0,19863.0
Episode reward,0.0,80.13758361278371,86.6199742388545,85.3955270738146,84.19089505642044,81.04777095873736,86.16389464950164,77.63260736592002,81.10808191958337,-65.43548229951247,86.00399377385877,56.91030783756199,86.6210171229617,86.23926023904292,86.99584220808693,71.43769616970167,86.2939835231924,84.10195313840758,91.35938460475647,85.61379111941498,90.90526816597088,85.20913982789426,84.30384121449248,90.26158048905364,89.69818227208496,79.69336294399814,88.53075764279374,83.65335083667135,86.6515482181658,83.71634128968974,91.21914865020995,74.14556938322175,83.78537363960454,76.80673785490475,77.19726230184398,67.99991961290525,77.0199978368351,91.1609967422418,78.39992290238246,81.32972809504047,77.6988401876776,80.93916228566957,83.4013631081471,83.95269182921811,80.75939290666105,90.98657326714495,91.14007132747405,83.40618707728063,88.84118692642707,91.2043147687553,91.1489143963998,91.08745430492102,83.41279550267987,84.56670100188735,83.77530372012647,85.79697460793615,81.47574140612727,91.15370592557801,80.87525964501012,90.33492613317112,90.53172885778503,91.00479060431991,81.8452559264451,80.39370620829443,90.91426756477253,91.19869444158878,86.09299052348175,90.62882427680422,90.91283071898644,88.84113672238438,78.77872071257826
Episode feedback,0.8,0.41145833226182726,0.19188191811113683,0.15770609262470936,0.1890034357766205,0.10833333303240741,0.13768115892144508,0.12087912061345248,0.13972602701444925,0.01603206411219232,0.07279693458698493,0.03217158172631155,0.045283018697045214,0.02390438237488294,0.024193548289542146,0.010504201658604618,0.019531249923706057,0.021660649741297295,0.018633540256934533,0.007968127458294312,0.0,0.015384615325443787,0.007575757547061524,0.01273885342204552,0.012578616273090464,0.008287292794786485,0.0,0.003999999984,0.004098360638941145,0.0,0.006578947325138505,0.0022075055138907162,0.006097560957019631,0.007736943892191598,0.0,0.0022321428521603955,0.0,0.0,0.0,0.0029239765996374955,0.0,0.0,0.00392156861207228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,24.54542589187622,39.85306453704834,55.11431169509888,71.7401123046875,90.97259187698364,105.8552794456482,130.09356379508972,149.89394783973694,197.84046459197998,211.3774983882904,248.40676832199097,262.20589900016785,275.3567764759064,288.4470684528351,313.03664350509644,326.6969065666199,341.10761976242065,350.1854782104492,363.5460271835327,372.04149198532104,385.9328100681305,399.6858797073364,408.50416564941406,417.3250541687012,436.16107654571533,444.9823536872864,458.22212767601013,471.2126417160034,484.12432074546814,492.5585947036743,515.894642829895,533.1459040641785,559.4992771148682,577.1161479949951,600.1907444000244,619.8046045303345,628.4880547523499,647.7005376815796,665.2669577598572,682.1478533744812,696.4235577583313,709.9157683849335,723.9979681968689,742.1313543319702,750.4628982543945,758.9541954994202,773.1545279026031,782.9671323299408,791.7784633636475,800.4797265529633,809.329197883606,824.044540643692,838.0446150302887,852.05118060112,865.6324937343597,883.4697139263153,891.770833492279,909.3254959583282,918.2823724746704,927.1488785743713,935.8968086242676,951.0439565181732,967.696076631546,976.1662003993988,984.485345363617,997.3589007854462,1006.0666744709015,1014.4481544494629,1023.9786245822906,1041.9232754707336
total minutes,0.0,0.40909043153127034,0.664217742284139,0.9185718615849813,1.1956685384114583,1.516209864616394,1.7642546574274698,2.1682260632514954,2.4982324639956155,3.297341076533,3.522958306471507,4.140112805366516,4.3700983166694645,4.589279607931773,4.807451140880585,5.217277391751607,5.444948442776998,5.685126996040344,5.83642463684082,6.059100453058878,6.200691533088684,6.432213501135508,6.661431328455607,6.808402760823568,6.955417569478353,7.269351275761922,7.416372561454773,7.637035461266835,7.853544028600057,8.068738679091135,8.209309911727905,8.598244047164917,8.885765067736308,9.32498795191447,9.618602466583251,10.00317907333374,10.330076742172242,10.474800912539164,10.79500896135966,11.087782629330952,11.369130889574686,11.607059295972189,11.831929473082225,12.066632803281149,12.368855905532836,12.507714970906575,12.649236591657003,12.88590879837672,13.049452205499014,13.196307722727457,13.34132877588272,13.488819964726765,13.734075677394866,13.96741025050481,14.200853010018667,14.427208228905995,14.724495232105255,14.862847224871318,15.155424932638804,15.304706207911174,15.452481309572855,15.598280143737792,15.85073260863622,16.1282679438591,16.269436673323312,16.408089089393616,16.622648346424103,16.76777790784836,16.90746924082438,17.066310409704844,17.365387924512227
cummulative feedback,0.0,158.0,210.0,254.0,309.0,348.0,386.0,441.0,492.0,508.0,527.0,551.0,563.0,569.0,575.0,580.0,585.0,591.0,594.0,596.0,596.0,600.0,602.0,604.0,606.0,609.0,609.0,610.0,611.0,611.0,612.0,613.0,615.0,619.0,619.0,620.0,620.0,620.0,620.0,621.0,621.0,621.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0,622.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,384.0,271.0,279.0,291.0,360.0,276.0,455.0,365.0,998.0,261.0,746.0,265.0,251.0,248.0,476.0,256.0,277.0,161.0,251.0,153.0,260.0,264.0,157.0,159.0,362.0,157.0,250.0,244.0,241.0,152.0,453.0,328.0,517.0,337.0,448.0,379.0,156.0,371.0,342.0,332.0,279.0,255.0,269.0,349.0,156.0,155.0,272.0,181.0,156.0,155.0,158.0,272.0,265.0,269.0,255.0,344.0,155.0,348.0,166.0,164.0,159.0,287.0,352.0,160.0,155.0,255.0,163.0,160.0,181.0,364.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
