,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Accumulated time steps,0.0,488.0,951.0,1212.0,1471.0,1837.0,2195.0,2654.0,2944.0,3404.0,3759.0,4380.0,4831.0,5173.0,5461.0,6027.0,6383.0,6637.0,6897.0,7411.0,7940.0,8296.0,8845.0,9208.0,9582.0,9834.0,10097.0,10450.0,10794.0,11138.0,11292.0,11567.0,11816.0,12060.0,12309.0,12896.0,13226.0,13476.0,13718.0,14050.0,14380.0,14659.0,14916.0,15167.0,15527.0,15949.0,16298.0,16800.0,17080.0,17420.0,18042.0,18548.0,18728.0,19059.0,19303.0,19557.0,19897.0
Episode reward,0.0,75.33881944875333,76.0030486269292,86.80306830836587,86.99881313103594,81.896573894788,81.17825939612759,73.49022743410319,83.17483347701132,74.88140511956902,80.7051051995002,62.89604102563871,73.45741071086533,80.90085849878245,83.63571806437463,66.30254351681803,78.60705355738746,87.06841399211129,84.56295107797072,71.6910356859421,69.48128970333029,79.84012378574013,69.51427882740785,79.90367317085277,83.31057230627893,86.26933365201477,85.29987400684877,80.23984443955113,83.36985011937583,80.91779285673712,91.29730014638366,83.52653573848093,83.19349345769233,84.52503393793242,84.25682305570741,61.32273584957644,78.65050302846092,84.18887302497212,84.26187734451119,77.98534281833071,79.27773399365222,84.24593848009286,86.35351496287323,85.48663065887212,74.86431214254772,71.55733657661733,77.59417711961484,66.82370658017251,81.56266025423334,78.29951771306055,58.64715846877487,65.85351874888816,86.88773833181251,78.10760828750838,84.53656463485423,83.91558074105555,78.28758955058171
Episode feedback,0.8,0.4300411513785162,0.16450216414609922,0.10384615344674557,0.13565891420287243,0.10136986273597298,0.0700280110083249,0.06331877715432581,0.07266435961015792,0.041394335421798836,0.03389830498898784,0.014516129008844953,0.022222222172839506,0.023460410488385892,0.017421602726754,0.023008849516798498,0.014084507002578853,0.015810276617350686,0.019305019230482553,0.00584795320497475,0.00757575756140955,0.005633802801031542,0.0036496350298364324,0.011049723726381978,0.002680965140265509,0.0,0.0,0.0028409090828383264,0.002915451886543872,0.0,0.0,0.0036496350231765146,0.0,0.0,0.0,0.003412969277452271,0.0,0.0,0.0,0.0,0.003039513668572907,0.0,0.0,0.003999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,31.709999322891235,57.365400314331055,71.34469676017761,85.70748257637024,105.35991263389587,123.97196292877197,147.5322093963623,162.6457052230835,186.10448002815247,203.94939017295837,233.83331990242004,255.59245109558105,272.34558272361755,286.95526790618896,314.9023394584656,332.7997102737427,345.83167552948,359.4003472328186,385.4810802936554,412.08092188835144,430.3484444618225,457.77693343162537,476.36198830604553,494.98639392852783,507.8991210460663,521.2176449298859,539.270379781723,556.8129925727844,574.7967171669006,583.1936984062195,597.0985975265503,609.508889913559,622.1370420455933,634.5972647666931,663.2447926998138,679.6133518218994,692.8378095626831,705.5103681087494,722.6796476840973,739.6251480579376,754.2179429531097,767.5368006229401,780.6772201061249,799.2124440670013,820.5839192867279,838.3050768375397,864.0423457622528,878.9524214267731,896.0928158760071,926.9892489910126,952.6119141578674,962.31276679039,979.64599776268,992.4261364936829,1005.9944694042206,1023.7233583927155
total minutes,0.0,0.5284999887148539,0.9560900052388509,1.1890782793362935,1.428458042939504,1.7559985438982646,2.0661993821461997,2.4588701566060385,2.7107617537180584,3.1017413338025412,3.3991565028826396,3.8972219983736673,4.259874184926351,4.539093045393626,4.782587798436483,5.24837232430776,5.546661837895711,5.763861258824666,5.990005787213644,6.424684671560923,6.868015364805857,7.172474074363708,7.629615557193756,7.939366471767426,8.24977323214213,8.46498535076777,8.686960748831432,8.987839663028717,9.28021654287974,9.579945286115011,9.719894973436991,9.951643292109171,10.158481498559317,10.368950700759887,10.576621079444886,11.054079878330231,11.326889197031656,11.547296826044718,11.758506135145824,12.044660794734956,12.327085800965627,12.570299049218496,12.792280010382335,13.011287001768748,13.320207401116688,13.676398654778799,13.97175128062566,14.400705762704213,14.649207023779551,14.934880264600118,15.449820816516876,15.876865235964457,16.038546113173165,16.327433296044667,16.540435608228048,16.766574490070344,17.062055973211923
cummulative feedback,0.0,209.0,285.0,312.0,347.0,384.0,409.0,438.0,459.0,478.0,490.0,499.0,509.0,517.0,522.0,535.0,540.0,544.0,549.0,552.0,556.0,558.0,560.0,564.0,565.0,565.0,565.0,566.0,567.0,567.0,567.0,568.0,568.0,568.0,568.0,570.0,570.0,570.0,570.0,570.0,571.0,571.0,571.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0,572.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,486.0,462.0,260.0,258.0,365.0,357.0,458.0,289.0,459.0,354.0,620.0,450.0,341.0,287.0,565.0,355.0,253.0,259.0,513.0,528.0,355.0,548.0,362.0,373.0,251.0,262.0,352.0,343.0,343.0,153.0,274.0,248.0,243.0,248.0,586.0,329.0,249.0,241.0,331.0,329.0,278.0,256.0,250.0,359.0,421.0,348.0,501.0,279.0,339.0,621.0,505.0,179.0,330.0,243.0,253.0,339.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
