,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Accumulated time steps,0.0,1000.0,1785.0,2302.0,3043.0,3593.0,3913.0,4867.0,5197.0,5454.0,5695.0,5986.0,6353.0,6688.0,6857.0,7339.0,7887.0,8402.0,8563.0,8993.0,9238.0,9408.0,9697.0,10046.0,10318.0,10804.0,11078.0,11863.0,12245.0,12500.0,12748.0,12999.0,13159.0,13501.0,13928.0,14376.0,14627.0,15083.0,15510.0,15937.0,16189.0,16366.0,16755.0,17003.0,17258.0,17506.0,17935.0,18203.0,18455.0,18998.0,19172.0,19688.0
Episode reward,0.0,-66.00735449151028,66.28246536243509,76.89520077986421,73.11030107781671,72.32200907346434,79.42021791708089,51.52042805443752,81.49127551413687,90.1206927747833,87.80925778889443,82.69658303169129,81.83004284860667,78.87022516495558,91.1702949243469,76.14633502432673,64.42390182426877,67.8643056380069,89.53282208543719,72.43884211805138,85.38322438086074,91.37167810295902,81.55652646419401,78.88359109704156,87.56895350009407,78.6680779818133,88.24771584559349,69.45991093425297,83.09191092674226,85.15632517885551,85.46463711319791,85.48595478236794,90.12497012299437,79.43165570976086,74.58955476587039,72.03677488150186,84.9921129636788,71.21968661970303,74.84993324910513,74.66872464086921,85.40923115552366,88.32601657278948,75.73526116977112,85.67408067785598,85.15636887132146,85.62582398138092,74.7586324243189,83.93043896853386,85.41590884747697,67.17760156858367,88.63200893487166,69.24581269864015
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.38825964927673,76.8717749118805,99.50142002105713,131.88583254814148,156.18032002449036,170.90086030960083,212.3300952911377,227.26747727394104,239.37615656852722,250.76206707954407,264.01103711128235,280.713415145874,296.0811412334442,304.23843717575073,325.5204293727875,350.608482837677,374.3878490924835,382.46266889572144,401.6455285549164,413.06696248054504,421.3906309604645,435.04896306991577,451.1792485713959,463.93726348876953,486.3295006752014,499.02322578430176,533.7948868274689,551.2971434593201,563.0322771072388,574.5568039417267,586.302755355835,594.0861599445343,609.836925983429,629.171035528183,649.1669135093689,661.0361077785492,681.5394909381866,700.7203943729401,719.6979184150696,731.9759092330933,740.5705509185791,758.3119175434113,769.8311161994934,781.9206466674805,793.4583110809326,812.6642212867737,825.2262835502625,837.2271926403046,861.6810984611511,870.0320563316345,893.1211833953857
total minutes,0.0,0.7064709941546122,1.2811962485313415,1.6583570003509522,2.198097209135691,2.603005333741506,2.8483476718266805,3.5388349215189616,3.7877912878990174,3.9896026094754538,4.1793677846590676,4.4001839518547055,4.6785569190979,4.9346856872240705,5.070640619595846,5.425340489546458,5.8434747139612835,6.2397974848747255,6.374377814928691,6.6940921425819395,6.884449374675751,7.023177182674408,7.250816051165263,7.519654142856598,7.732287724812825,8.105491677920023,8.317053763071696,8.89658144712448,9.188285724322002,9.383871285120646,9.57594673236211,9.771712589263917,9.901435999075572,10.163948766390483,10.486183925469716,10.819448558489482,11.017268462975819,11.358991515636443,11.678673239549001,11.994965306917827,12.199598487218221,12.342842515309652,12.638531959056854,12.83051860332489,13.03201077779134,13.22430518468221,13.544403688112896,13.753771392504374,13.953786544005077,14.361351641019185,14.500534272193908,14.885353056589762
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,784.0,516.0,740.0,549.0,319.0,953.0,329.0,256.0,240.0,290.0,366.0,334.0,168.0,481.0,547.0,514.0,160.0,429.0,244.0,169.0,288.0,348.0,271.0,485.0,273.0,784.0,381.0,254.0,247.0,250.0,159.0,341.0,426.0,447.0,250.0,455.0,426.0,426.0,251.0,176.0,388.0,247.0,254.0,247.0,428.0,267.0,251.0,542.0,173.0,515.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
