,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Accumulated time steps,0.0,768.0,1180.0,1514.0,1841.0,2077.0,2582.0,2938.0,3376.0,3535.0,3996.0,4437.0,5033.0,5367.0,5735.0,5989.0,6338.0,6707.0,6969.0,7133.0,7382.0,7814.0,8240.0,8402.0,8840.0,9102.0,9355.0,9603.0,9769.0,10113.0,10296.0,10457.0,10905.0,11248.0,11501.0,11848.0,12122.0,12488.0,12745.0,13101.0,13360.0,13523.0,13775.0,14141.0,14415.0,14686.0,14959.0,15240.0,15799.0,15972.0,16359.0,16635.0,17279.0,17561.0,17945.0,18378.0,18805.0,18978.0,19145.0,19530.0,19691.0
Episode reward,0.0,38.30945326956235,87.62255153230969,74.73873398382074,91.78689197500898,90.36918613121532,68.59510111989569,78.9457296236132,76.3992378879769,89.65313189612681,76.07037615554896,74.15654087589209,60.132919715322046,78.55681462561418,80.2919949782985,87.25967828838195,83.53720788419288,79.62192487807422,84.52164241055408,91.32479354691796,85.08570305843365,73.25350774979788,74.93461333420402,90.03874912383856,75.77277474842295,88.81414116565591,84.34636323514641,84.70992973553214,90.7305018965772,82.49889134995668,91.02015534956026,91.40602720582253,77.4468026801751,83.31711163419624,87.23733208608083,82.8958523551971,84.60401009827633,80.79738337609177,86.69991154140575,81.99184426527471,86.82481307402529,91.22478611727375,87.50673182845627,80.66548304021218,84.8027105751649,89.14921846650621,88.57138713733899,85.85322954178937,77.75157297913762,91.88263053679972,86.80587904000701,87.01380027794652,78.66027153158488,89.28694454948096,84.9891613832029,83.81309180790217,86.07441793427877,91.9042897112903,90.90433978162423,78.1262473589867,91.3362423107371
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,31.602938652038574,49.6284294128418,64.39170861244202,78.95948266983032,89.54656028747559,111.40830993652344,127.12577366828918,146.3784577846527,154.09323930740356,174.03860139846802,193.26886510849,219.40565705299377,234.27974700927734,250.653573513031,262.1333203315735,277.74263882637024,294.1998300552368,306.0635497570038,313.8844063282013,325.1617624759674,343.8619921207428,362.73001766204834,370.5957124233246,389.9287095069885,401.92374444007874,413.38180232048035,424.94343543052673,432.9719977378845,448.563809633255,457.2116377353668,464.9095149040222,484.45505023002625,499.73788142204285,511.3054177761078,526.7191088199615,540.012467622757,557.9707510471344,570.796605348587,588.1441390514374,601.1241359710693,609.6398618221283,622.2792799472809,640.2005929946899,653.8193645477295,667.3831031322479,680.9002571105957,694.6617107391357,721.1448125839233,730.1721580028534,749.0486259460449,762.6959404945374,793.2378988265991,807.2570762634277,826.0267705917358,846.9634201526642,867.6880407333374,876.6404030323029,885.246794462204,904.0617210865021,912.5105686187744
total minutes,0.0,0.5267156442006429,0.8271404902140299,1.0731951435407003,1.3159913778305055,1.4924426714579264,1.8568051656087239,2.1187628944714865,2.439640963077545,2.5682206551233926,2.9006433566411336,3.2211477518081666,3.6567609508832297,3.9046624501546225,4.1775595585505165,4.368888672192892,4.629043980439504,4.903330500920614,5.10105916261673,5.231406772136689,5.41936270793279,5.73103320201238,6.045500294367472,6.17659520705541,6.4988118251164755,6.698729074001312,6.889696705341339,7.082390590508779,7.2161999622980755,7.476063493887583,7.6201939622561135,7.748491915067037,8.074250837167105,8.32896469036738,8.52175696293513,8.778651813666025,9.000207793712615,9.29951251745224,9.513276755809784,9.802402317523956,10.018735599517822,10.160664363702137,10.37132133245468,10.670009883244832,10.896989409128825,11.1230517188708,11.348337618509929,11.577695178985596,12.019080209732056,12.169535966714223,12.484143765767415,12.71159900824229,13.220631647109986,13.454284604390462,13.767112843195598,14.116057002544403,14.461467345555624,14.610673383871715,14.754113241036732,15.067695351441701,15.208509476979573
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,766.0,411.0,333.0,326.0,235.0,504.0,355.0,437.0,158.0,460.0,440.0,595.0,333.0,367.0,253.0,348.0,368.0,261.0,163.0,248.0,431.0,425.0,161.0,437.0,261.0,252.0,247.0,165.0,343.0,182.0,160.0,447.0,342.0,252.0,346.0,273.0,365.0,256.0,355.0,258.0,162.0,251.0,365.0,273.0,270.0,272.0,280.0,558.0,172.0,386.0,275.0,643.0,281.0,383.0,432.0,426.0,172.0,166.0,384.0,160.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
