,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Accumulated time steps,0.0,407.0,1084.0,1416.0,1738.0,2126.0,2531.0,2781.0,3049.0,3289.0,3516.0,3881.0,4149.0,4408.0,4565.0,4900.0,5055.0,5304.0,5460.0,5732.0,5891.0,6135.0,6469.0,6716.0,6982.0,7407.0,7673.0,7839.0,8083.0,8327.0,8599.0,8763.0,9039.0,9301.0,9578.0,9852.0,10130.0,10400.0,10581.0,10826.0,10993.0,11325.0,11590.0,12031.0,12279.0,12521.0,12763.0,13007.0,13351.0,13776.0,14028.0,14182.0,14335.0,14713.0,14970.0,15121.0,15386.0,15631.0,15876.0,16208.0,16630.0,16883.0
Episode reward,0.0,80.2252679745228,68.61241164272133,94.12947285304327,80.31859127858083,88.41106976695917,71.51777277649225,79.57204696305712,86.20120516880641,88.24075706259563,91.33821327945547,79.48181424953867,85.74613416524934,86.0032185348615,91.58111134403647,79.09408254716975,89.88951933609764,83.93976175368628,91.77650351675358,84.53700216967496,91.1425783773182,85.33176283175875,79.85210915890183,84.99313102396744,82.84278476558495,74.22518413029513,82.84234470114582,89.2521365799294,85.67268717544665,85.72726413826274,85.59175451030085,91.53411044275347,84.89992582965161,83.57614948353594,87.49562346347948,87.73692921456409,85.65842735538487,85.93093842253754,90.54496409090787,85.76841406915275,89.40372695626793,81.07204580509654,84.22314671962098,74.10955631462879,85.37246764377022,86.27863021216366,86.23711706494358,86.22207394923014,79.34776073499071,75.54736935632366,85.48347997086222,90.81428757444986,90.92760077099275,76.59591603788706,84.37078821931958,91.20505076279477,84.22400917618455,85.78136433700769,85.7815108305003,80.86203496555294,75.74251843668634,84.80913458772142
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,18.503000736236572,50.66425967216492,67.01912379264832,82.94601964950562,101.74605989456177,121.18210196495056,133.744544506073,147.13054752349854,159.18526601791382,170.48452138900757,188.26535773277283,201.75428867340088,214.7155408859253,222.90635585784912,239.2349557876587,247.1770031452179,259.5395941734314,267.71717953681946,281.1412615776062,289.3998546600342,301.64645171165466,318.08188486099243,330.5283155441284,343.89380145072937,364.57071352005005,377.85091280937195,386.5082497596741,398.8008179664612,411.088210105896,424.4272005558014,432.7674243450165,446.3454246520996,459.44907093048096,473.20669889450073,486.77945590019226,500.34680557250977,513.7740814685822,523.1404340267181,535.2789721488953,543.906676530838,560.2814788818359,573.5488543510437,594.8519308567047,607.2069318294525,619.4879784584045,631.5407381057739,643.756888628006,660.662059545517,681.1983270645142,693.8113780021667,701.9491925239563,709.8952708244324,728.2337794303894,741.009608745575,748.9723968505859,762.0941774845123,774.1245486736298,786.456033706665,802.7457203865051,823.3434519767761,835.9909608364105
total minutes,0.0,0.30838334560394287,0.8444043278694153,1.1169853965441385,1.3824336608250936,1.6957676649093627,2.0197016994158425,2.2290757417678835,2.4521757920583087,2.65308776696523,2.841408689816793,3.1377559622128803,3.3625714778900146,3.5785923480987547,3.715105930964152,3.987249263127645,4.119616719086965,4.325659902890523,4.461952992280325,4.685687692960103,4.8233309110005695,5.027440861860911,5.301364747683207,5.508805259068807,5.731563357512156,6.076178558667501,6.2975152134895325,6.441804162661234,6.6466802994410195,6.8514701684316,7.073786675930023,7.212790405750274,7.439090410868327,7.657484515508016,7.886778314908345,8.112990931669872,8.339113426208495,8.562901357809702,8.719007233778635,8.921316202481588,9.065111275513967,9.338024648030599,9.559147572517395,9.914198847611745,10.120115530490875,10.324799640973408,10.525678968429565,10.729281477133433,11.011034325758617,11.353305451075236,11.563522966702779,11.699153208732605,11.831587847073873,12.137229657173156,12.350160145759583,12.4828732808431,12.701569624741872,12.902075811227162,13.107600561777751,13.379095339775086,13.722390866279602,13.933182680606842
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,405.0,676.0,331.0,321.0,387.0,404.0,249.0,267.0,239.0,226.0,364.0,267.0,258.0,156.0,334.0,154.0,248.0,155.0,271.0,158.0,243.0,333.0,246.0,265.0,424.0,265.0,165.0,243.0,243.0,271.0,163.0,275.0,261.0,276.0,273.0,277.0,269.0,180.0,244.0,166.0,331.0,264.0,440.0,247.0,241.0,241.0,243.0,343.0,424.0,251.0,153.0,152.0,377.0,256.0,150.0,264.0,244.0,244.0,331.0,421.0,252.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
