,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Accumulated time steps,0.0,859.0,1772.0,2079.0,2775.0,3180.0,3418.0,3671.0,3992.0,4327.0,4565.0,4825.0,5077.0,5410.0,5577.0,6045.0,6290.0,6442.0,6693.0,6948.0,7123.0,7466.0,7775.0,7930.0,8432.0,8867.0,9124.0,9438.0,9686.0,9844.0,10086.0,10347.0,10652.0,11078.0,11351.0,11517.0,11681.0,11854.0,12025.0,12388.0,12552.0,12715.0,13081.0,13417.0,13569.0,13735.0,13984.0,14354.0,14506.0,14658.0,14818.0,15064.0,15219.0,15465.0,15732.0,15976.0,16222.0,16595.0,16873.0,17183.0,17346.0,17626.0,17790.0,18075.0,18244.0,18624.0,18897.0,19060.0,19223.0,19401.0
Episode reward,0.0,61.86894984920549,72.65518227307965,88.20000656385717,91.50758582947321,87.72436220930852,85.99438162903908,85.12453802773351,84.56987829998252,90.12826545413887,91.07660851063919,84.9620341376195,86.83943653804279,77.8403359617332,91.07912260672292,75.5836630420561,85.30988746665317,90.88425348171813,84.6465156158376,81.14527816344452,89.11984548135068,80.79455152663397,80.05005046966338,91.04479108878121,65.91044906428095,72.17722071741375,82.42324343501136,90.25187966192993,83.57908908611657,89.62797059253592,85.21569372440126,87.74408219849487,78.20972983185472,73.11209677478487,82.46837470981012,90.98928621893195,90.33728361595973,90.55952915891841,90.71350902537792,81.94927447903255,90.43176835957154,90.79518705989231,82.03419927265216,79.44107772501253,90.66719122724243,88.97076365365041,84.93849098353853,76.31531357824939,90.65200496612205,90.65699264137434,89.63280730169123,84.67515015983987,90.23943412237061,85.19968063765467,83.20317852937546,85.32222572321412,84.65782931670779,81.14887077905033,84.32012898066363,80.89620625589781,91.31375957599346,84.07520096385096,91.35627942058004,86.0729571406897,91.19207020395116,80.89981984657024,85.00327594175297,91.04202856717342,90.89410211440837,90.51766971523925
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,39.62710905075073,82.42912197113037,97.39827251434326,130.3073217868805,149.98164987564087,161.9589807987213,174.47809267044067,190.26114535331726,206.62242770195007,218.58658075332642,231.64936757087708,244.2688341140747,260.715017080307,269.3763122558594,291.984005689621,304.39959740638733,312.44295144081116,325.1162967681885,337.83056354522705,346.89844250679016,363.6652789115906,378.938125371933,387.0386347770691,411.14506244659424,432.320764541626,445.2358512878418,460.5973024368286,473.0666573047638,481.3409206867218,493.4665491580963,506.60362100601196,521.6642234325409,542.3131849765778,555.9961183071136,564.7199623584747,573.3074424266815,582.2694325447083,591.0290853977203,608.81946849823,617.3009512424469,625.6198034286499,643.21235704422,659.7730913162231,667.6973621845245,676.2888214588165,688.5141739845276,706.193201303482,714.1398589611053,722.1649279594421,730.6079452037811,742.9758057594299,751.0844178199768,762.7222175598145,775.951497554779,788.1899733543396,800.4061012268066,818.3178844451904,832.1265256404877,847.3165926933289,855.9025959968567,869.9333231449127,878.4046959877014,892.418949842453,901.1143846511841,919.750584602356,933.2593414783478,941.8035788536072,950.0531976222992,959.3040287494659
total minutes,0.0,0.6604518175125123,1.3738186995188395,1.623304541905721,2.1717886964480084,2.4996941645940143,2.699316346645355,2.907968211174011,3.1710190892219545,3.4437071283658347,3.643109679222107,3.860822792847951,4.071147235234578,4.345250284671783,4.489605204264323,4.866400094827016,5.0733266234397885,5.20738252401352,5.418604946136474,5.630509392420451,5.781640708446503,6.061087981859843,6.31563542286555,6.4506439129511515,6.852417707443237,7.205346075693766,7.42059752146403,7.676621707280477,7.8844442884127295,8.02234867811203,8.224442485968272,8.443393683433532,8.694403723875682,9.038553082942963,9.266601971785228,9.411999372641246,9.555124040444692,9.704490542411804,9.850484756628672,10.146991141637166,10.288349187374115,10.426996723810833,10.720205950737,10.996218188603718,11.128289369742076,11.271480357646942,11.47523623307546,11.769886688391368,11.90233098268509,12.036082132657368,12.176799086729686,12.382930095990499,12.518073630332946,12.712036959330241,12.932524959246317,13.13649955590566,13.340101687113444,13.63863140741984,13.868775427341461,14.12194321155548,14.265043266614278,14.49888871908188,14.64007826646169,14.873649164040883,15.018573077519735,15.329176410039265,15.554322357972463,15.696726314226787,15.834219960371653,15.988400479157766
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,857.0,912.0,306.0,695.0,404.0,237.0,252.0,320.0,334.0,237.0,259.0,251.0,332.0,166.0,467.0,244.0,151.0,250.0,254.0,174.0,342.0,308.0,154.0,501.0,434.0,256.0,313.0,247.0,157.0,241.0,260.0,304.0,425.0,272.0,165.0,163.0,172.0,170.0,362.0,163.0,162.0,365.0,335.0,151.0,165.0,248.0,369.0,151.0,151.0,159.0,245.0,154.0,245.0,266.0,243.0,245.0,372.0,277.0,309.0,162.0,279.0,163.0,284.0,168.0,379.0,272.0,162.0,162.0,177.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
