,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Accumulated time steps,0.0,507.0,924.0,1863.0,2186.0,2838.0,3498.0,3729.0,3965.0,4224.0,4377.0,4563.0,4807.0,5245.0,5577.0,5995.0,6247.0,6515.0,6671.0,7022.0,7191.0,7368.0,7541.0,7908.0,8163.0,8702.0,9041.0,9215.0,9464.0,9729.0,9891.0,10132.0,10379.0,10709.0,11041.0,11284.0,11526.0,11856.0,12101.0,12435.0,12679.0,12928.0,13175.0,13596.0,13842.0,14006.0,14338.0,14670.0,15025.0,15267.0,15437.0,15693.0,16109.0,16525.0,16854.0,17363.0,17801.0
Episode reward,0.0,72.01858237438188,84.33407528578935,35.369227319387974,87.1446444146266,77.21849475658323,59.96428614105957,86.459399557174,90.3204398202703,85.46320493435604,91.98928569507098,87.1701814265286,87.43719969079723,78.48982384141664,79.79219426312468,72.0055707104277,86.8482403104092,85.36251926413479,90.36167597142745,84.21833754092971,91.25314265715734,90.57229837372219,90.92583637953322,85.53628638766494,86.12826541455972,70.54218060520083,82.13662638028208,91.43395494501988,86.3131677335567,84.38792626160094,90.4358625740458,84.55410695582268,84.37890983795586,78.70432482609111,78.7081499969631,84.53867236968748,84.36660782076007,78.42176526457774,84.51292178930609,77.69912322364314,87.77506538111588,87.18130319488775,87.52231987726368,71.67834451005649,83.58352852656353,88.50934088114155,78.70049593229933,77.94433921098874,75.36650589307172,84.28031613234367,87.89217776341097,82.44422017136507,72.73696515529475,72.46471169913312,78.69850871452621,65.48550558335837,71.55349322137104
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,21.35005021095276,39.70112609863281,79.69313764572144,94.46059584617615,122.48215460777283,150.91726541519165,161.43129563331604,172.4610095024109,184.44585871696472,191.71361899375916,200.4311716556549,211.5934636592865,230.70950436592102,245.61465978622437,264.0820996761322,275.55556654930115,287.8207206726074,295.41545152664185,311.31251072883606,319.2309603691101,327.53047037124634,335.6266622543335,351.74483013153076,363.1362245082855,386.7141089439392,401.77381658554077,410.11084151268005,421.64510893821716,433.55661153793335,441.28328132629395,452.2042307853699,463.61525225639343,478.3513386249542,493.21675276756287,504.2793884277344,515.2387800216675,530.0975680351257,541.1114451885223,556.9612896442413,569.0581283569336,581.2128040790558,593.4984288215637,613.1730959415436,625.4036948680878,633.8957817554474,649.8927154541016,665.8628261089325,683.1478204727173,695.3193078041077,704.0602130889893,716.6704976558685,736.3776335716248,756.4245960712433,772.5076882839203,796.5770778656006,817.2672276496887
total minutes,0.0,0.355834170182546,0.6616854349772135,1.3282189607620238,1.5743432641029358,2.0413692434628805,2.515287756919861,2.6905215938886005,2.874350158373515,3.0740976452827455,3.195226983229319,3.3405195275942483,3.526557727654775,3.8451584060986836,4.09357766310374,4.401368327935537,4.592592775821686,4.797012011210124,4.923590858777364,5.188541845480601,5.320516006151835,5.458841172854106,5.593777704238891,5.862413835525513,6.052270408471426,6.445235149065653,6.69623027642568,6.8351806918780005,7.027418482303619,7.225943525632222,7.354721355438232,7.536737179756164,7.726920870939891,7.972522310415903,8.220279212792715,8.404656473795573,8.587313000361124,8.834959467252096,9.018524086475372,9.282688160737356,9.484302139282226,9.686880067984264,9.891640480359396,10.219551599025726,10.42339491446813,10.564929695924123,10.83154525756836,11.097713768482208,11.38579700787862,11.588655130068462,11.734336884816488,11.944508294264475,12.27296055952708,12.607076601187389,12.875128138065339,13.276284631093343,13.621120460828145
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,505.0,416.0,938.0,322.0,651.0,659.0,230.0,235.0,258.0,152.0,185.0,243.0,437.0,331.0,417.0,251.0,267.0,155.0,350.0,168.0,176.0,172.0,366.0,254.0,538.0,338.0,173.0,248.0,264.0,161.0,240.0,246.0,329.0,331.0,242.0,241.0,329.0,244.0,333.0,243.0,248.0,246.0,420.0,245.0,163.0,331.0,331.0,354.0,241.0,169.0,255.0,415.0,415.0,328.0,508.0,437.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
