,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Accumulated time steps,0.0,460.0,898.0,1433.0,1786.0,2240.0,2678.0,3269.0,4226.0,5054.0,6053.0,6569.0,7568.0,8564.0,8948.0,9324.0,10092.0,10954.0,11760.0,12619.0,13618.0,14016.0,14596.0,14970.0,15969.0,16748.0,17122.0,17885.0,18250.0,18872.0,19350.0,19893.0,20361.0
Episode reward,0.0,78.00582087958911,79.77601096629954,73.33800577474224,83.03576646965222,77.6511824212552,79.23931786697011,70.17142861211072,62.1560495886595,61.028269467295964,-41.35872836364218,80.23832540415819,-41.46111623436045,65.85487287668107,84.04322325287644,90.42187690969088,74.38043544255228,67.06740842470066,68.52104305942868,70.18910638170375,-30.700296190437324,89.98480076871297,79.75059270542066,87.09077359849154,-31.9480198270821,74.70031733010987,88.27678734960634,72.94819739679183,92.36116054700221,80.90275319882625,83.23109625862682,87.75996094980795,83.65186517606034
Episode feedback,0.8,0.35807860183825635,0.37986269935958195,0.237827714910435,0.2045454539643595,0.1876379686807109,0.14645308890971834,0.1677966098850905,0.09414225931575078,0.06650544127387492,0.0400801602804808,0.04466019408803846,0.03106212421737262,0.020100502492361304,0.013054830253120547,0.010666666638222222,0.007822685778588415,0.005807200922407432,0.0037267080699047105,0.002331002328285545,0.00100200400701202,0.0025188916813126154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,33.56244158744812,69.10848641395569,106.05000758171082,130.62977623939514,163.20047116279602,188.71226334571838,223.98006057739258,274.7895529270172,317.39548349380493,366.9161469936371,392.950945854187,441.7438108921051,489.95661520957947,509.2016987800598,527.9792995452881,565.2542979717255,606.751859664917,645.8472476005554,687.3293371200562,735.1350312232971,754.8860409259796,782.9575283527374,801.2832560539246,848.8125712871552,886.0243141651154,904.598268032074,941.2222356796265,959.4754338264465,989.6176190376282,1012.7729158401489,1039.2139008045197,1062.1770417690277
total minutes,0.0,0.5593740264574687,1.1518081068992614,1.7675001263618468,2.1771629373232524,2.720007852713267,3.1452043890953063,3.7330010096232096,4.579825882116953,5.289924724896749,6.115269116560618,6.549182430903117,7.362396848201752,8.165943586826325,8.486694979667664,8.799654992421468,9.420904966195424,10.112530994415284,10.76412079334259,11.455488952000936,12.252250520388285,12.581434015432993,13.049292139212291,13.354720934232075,14.146876188119252,14.767071902751923,15.076637800534566,15.687037261327108,15.991257230440775,16.49362698396047,16.879548597335816,17.320231680075327,17.702950696150463
cummulative feedback,0.0,164.0,330.0,457.0,529.0,614.0,678.0,777.0,867.0,922.0,962.0,985.0,1016.0,1036.0,1041.0,1045.0,1051.0,1056.0,1059.0,1061.0,1062.0,1063.0,1063.0,1063.0,1063.0,1063.0,1063.0,1063.0,1063.0,1063.0,1063.0,1063.0,1063.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,458.0,437.0,534.0,352.0,453.0,437.0,590.0,956.0,827.0,998.0,515.0,998.0,995.0,383.0,375.0,767.0,861.0,805.0,858.0,998.0,397.0,579.0,373.0,998.0,778.0,373.0,762.0,364.0,621.0,477.0,542.0,467.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
