,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Accumulated time steps,0.0,364.0,905.0,1074.0,1446.0,1978.0,2236.0,2691.0,3036.0,3956.0,4773.0,5110.0,6109.0,7108.0,7848.0,8479.0,9478.0,10055.0,10509.0,11174.0,11585.0,12230.0,12850.0,13224.0,13815.0,14137.0,14616.0,15021.0,15650.0,16649.0,17097.0,17467.0,17934.0,18794.0,19470.0,20011.0
Episode reward,0.0,84.17679761211528,75.06436849749413,91.26077992968523,81.90672307906007,74.95685210418918,87.75580851549992,79.54549645066896,86.4569835650833,59.96421430887115,68.23657376850271,88.44803206881492,-38.10075884591046,-35.105540410877886,71.34629503203259,83.75478792990519,-30.22813766197349,84.7523558344409,83.74671370077643,79.38517765600136,87.01635948958219,83.36039737757035,86.14633730635003,91.67657200853333,84.79407910846099,90.33636956317213,88.7668990258751,87.55985845018063,79.55416424316616,-29.998091489547775,85.44096594292647,90.4806778354893,87.18658563713794,71.63263803741495,78.53765699966924,87.60884805036467
Episode feedback,0.8,0.4806629820976161,0.30555555498971193,0.11904761833900228,0.2506738537717686,0.20715630846109923,0.1789883261517964,0.16960352385549884,0.1773255808798675,0.09466811741603035,0.08333333323120914,0.07440476168331916,0.04709418832956494,0.037074148259444745,0.02435723947989548,0.01904761901738473,0.013026052091156261,0.008680555540485147,0.006622516541672149,0.004518072282352301,0.004878048768590125,0.0031055900572894563,0.0016155088826890001,0.002680965140265509,0.0016949152513645504,0.0,0.004184100409656694,0.00495049503725125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,28.066579818725586,67.44800996780396,78.93080115318298,106.00249600410461,140.17210412025452,156.28642892837524,185.16871976852417,212.12474370002747,272.62084913253784,323.57172679901123,345.3847441673279,406.4730520248413,463.92714738845825,505.2629015445709,542.1319675445557,606.0691902637482,646.8580906391144,679.1964302062988,726.1798584461212,757.0342762470245,803.8455717563629,847.8287851810455,875.479837179184,908.5236215591431,924.902533531189,951.70871758461,972.2737784385681,1003.6259410381317,1060.5751535892487,1085.102504491806,1103.5413620471954,1126.665162563324,1168.4706363677979,1201.717398405075,1229.068638086319
total minutes,0.0,0.4677763303120931,1.1241334994633994,1.3155133525530498,1.7667082667350769,2.3362017353375752,2.6047738154729205,3.0861453294754027,3.5354123950004577,4.543680818875631,5.392862113316854,5.756412402788798,6.774550867080689,7.732119123140971,8.421048359076183,9.035532792409262,10.10115317106247,10.780968177318574,11.319940503438314,12.102997640768686,12.617237937450408,13.397426195939381,14.130479753017426,14.591330619653066,15.142060359319052,15.415042225519816,15.8618119597435,16.204562973976135,16.727099017302194,17.67625255982081,18.0850417415301,18.392356034119924,18.777752709388732,19.474510606129964,20.02862330675125,20.48447730143865
cummulative feedback,0.0,174.0,339.0,359.0,452.0,562.0,608.0,685.0,746.0,833.0,901.0,926.0,973.0,1010.0,1028.0,1040.0,1053.0,1058.0,1061.0,1064.0,1066.0,1068.0,1069.0,1070.0,1071.0,1071.0,1073.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,362.0,540.0,168.0,371.0,531.0,257.0,454.0,344.0,919.0,816.0,336.0,998.0,998.0,739.0,630.0,998.0,576.0,453.0,664.0,410.0,644.0,619.0,373.0,590.0,321.0,478.0,404.0,628.0,998.0,447.0,369.0,466.0,859.0,675.0,540.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
