,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Accumulated time steps,0.0,557.0,815.0,1261.0,1715.0,2436.0,2900.0,3174.0,3422.0,4411.0,5244.0,5949.0,6938.0,7356.0,8221.0,9220.0,10219.0,11218.0,12119.0,12591.0,13298.0,14297.0,14768.0,15630.0,16629.0,17157.0,18156.0,18612.0,19002.0,20001.0,20468.0
Episode reward,0.0,74.07638585183533,87.75586662432411,78.3422881116927,77.31688447182994,66.28341152302637,80.36405235422959,87.59208371704155,88.4990137962614,65.16234077159297,68.88989915107439,77.54601950282733,68.90329201996269,86.53091824114362,75.58708180131515,-30.687976954111928,-29.66778236954424,-31.565254600301156,74.99120759192009,83.46240876917678,78.71448726240851,-28.203229438936674,88.35535374451098,80.30039091544396,-23.181159989011803,86.50471931973208,-28.97185316906978,91.63094739487617,92.38794296416965,-26.822596904226163,84.56097814453459
Episode feedback,0.8,0.40900900827205583,0.3035019443443504,0.24494381967428355,0.22075055138907163,0.16249999977430557,0.14470842301358872,0.11355311313716808,0.14170040428461375,0.10222672054430494,0.07572115375514285,0.06676136354153216,0.04453441291039027,0.031175059877278033,0.02083333330922068,0.01703406811920434,0.00901803606310818,0.007014028049084141,0.001111111109876543,0.0,0.004249291778683723,0.00100200400701202,0.0,0.0011614401844814864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,43.423964977264404,62.72299265861511,93.09610390663147,122.35673117637634,164.98523020744324,192.33489561080933,208.2217013835907,223.1329140663147,277.2331943511963,321.41869831085205,359.10154485702515,410.08201932907104,431.6094572544098,474.76882243156433,524.7936656475067,574.5118231773376,625.5558948516846,673.0765416622162,698.1348924636841,734.2852771282196,784.4499917030334,808.1184151172638,850.9940900802612,899.7769606113434,926.1361165046692,975.2186901569366,998.0336196422577,1017.8380360603333,1067.8123972415924,1091.998987197876
total minutes,0.0,0.7237327496210734,1.0453832109769186,1.551601731777191,2.0392788529396055,2.749753836790721,3.2055815935134886,3.4703616897265115,3.7188819011052447,4.620553239186605,5.356978305180868,5.985025747617086,6.834700322151184,7.193490954240163,7.912813707192739,8.746561094125111,9.575197052955627,10.425931580861409,11.217942361036936,11.635581541061402,12.238087952136993,13.074166528383891,13.468640251954396,14.18323483467102,14.996282676855722,15.435601941744487,16.253644835948943,16.633893660704295,16.96396726767222,17.796873287359873,18.1999831199646
cummulative feedback,0.0,227.0,305.0,414.0,514.0,631.0,698.0,729.0,764.0,865.0,928.0,975.0,1019.0,1032.0,1050.0,1067.0,1076.0,1083.0,1084.0,1084.0,1087.0,1088.0,1088.0,1089.0,1089.0,1089.0,1089.0,1089.0,1089.0,1089.0,1089.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,555.0,257.0,445.0,453.0,720.0,463.0,273.0,247.0,988.0,832.0,704.0,988.0,417.0,864.0,998.0,998.0,998.0,900.0,471.0,706.0,998.0,470.0,861.0,998.0,527.0,998.0,455.0,389.0,998.0,466.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
