,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Accumulated time steps,0.0,553.0,817.0,1081.0,1524.0,2523.0,3254.0,3600.0,3854.0,4210.0,4461.0,5315.0,5751.0,6447.0,7021.0,7612.0,8611.0,9610.0,9998.0,10810.0,11809.0,12808.0,13807.0,14468.0,15467.0,16466.0,17465.0,18431.0,19430.0,20429.0
Episode reward,0.0,72.45739507956833,87.54230289194766,87.59603863775804,79.0645469918042,-51.22522444993236,64.04244377380206,85.6947245628539,88.76129341754165,83.61910952538919,88.35700607903433,66.03380653626596,84.51812871476868,74.76556122672899,77.39598760069313,79.06114379488693,-34.62205942225572,-39.35045854875457,86.36741927132314,74.86142971772139,-30.56231748917053,-30.04653493563344,-38.79786575325366,76.0416835904459,-30.311608628159693,-27.870937922156813,-31.54687977373583,67.1616623660141,-32.05555628629369,-33.0718167470105
Episode feedback,0.8,0.3375680574635788,0.33460075918402754,0.28897338293166014,0.2149321262105608,0.13727454896064675,0.11643835600487897,0.15072463724427643,0.12252964378446782,0.10704225321959929,0.047999999808,0.0773739741179672,0.0689655170828379,0.043165467563790694,0.0453752180708984,0.033898305027291006,0.0200400801402404,0.0100200400701202,0.005167958642976851,0.002466091242335276,0.007014028049084141,0.00400801602804808,0.0030060120210360602,0.0,0.00200400801402404,0.0,0.0,0.0,0.00100200400701202,0.0
total seconds,0.0,42.61241960525513,64.74104380607605,86.66670751571655,118.57374787330627,179.93949007987976,223.86478352546692,245.31017208099365,260.5102620124817,280.9377021789551,294.8413860797882,340.85221242904663,364.61128878593445,401.00705456733704,431.15642166137695,461.4170026779175,511.22233724594116,560.3702044487,579.8951423168182,619.7106776237488,668.5372462272644,717.081071138382,765.8794672489166,798.0821630954742,846.6719920635223,895.3679668903351,944.2018899917603,991.7056040763855,1040.6543080806732,1092.971610546112
total minutes,0.0,0.7102069934209188,1.0790173967679342,1.4444451252619426,1.9762291312217712,2.9989915013313295,3.7310797254244488,4.088502868016561,4.341837700208028,4.682295036315918,4.9140231013298035,5.680870207150777,6.076854813098907,6.683450909455617,7.185940361022949,7.690283377965291,8.520372287432354,9.339503407478333,9.664919038613638,10.328511293729147,11.142287437121073,11.9513511856397,12.764657787481944,13.301369384924572,14.111199867725372,14.92279944817225,15.736698166529338,16.528426734606423,17.34423846801122,18.216193509101867
cummulative feedback,0.0,186.0,274.0,350.0,445.0,582.0,667.0,719.0,750.0,788.0,800.0,866.0,896.0,926.0,952.0,972.0,992.0,1002.0,1004.0,1006.0,1013.0,1017.0,1020.0,1020.0,1022.0,1022.0,1022.0,1022.0,1023.0,1023.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,551.0,263.0,263.0,442.0,998.0,730.0,345.0,253.0,355.0,250.0,853.0,435.0,695.0,573.0,590.0,998.0,998.0,387.0,811.0,998.0,998.0,998.0,660.0,998.0,998.0,998.0,965.0,998.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
