,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Accumulated time steps,0.0,528.0,885.0,1860.0,2113.0,2368.0,2705.0,2870.0,3119.0,3628.0,4219.0,4550.0,4962.0,5228.0,5677.0,5897.0,6313.0,6545.0,7357.0,7853.0,8274.0,8816.0,9303.0,10060.0,10528.0,10996.0,11614.0,12085.0,13084.0,13881.0,14880.0,15664.0,16647.0,17574.0,18573.0,19143.0,20018.0
Episode reward,0.0,73.56328649343274,83.43761945288028,47.128554211744046,86.28315129603992,88.45966454708206,84.0663791124454,91.11022028808353,87.43115751035316,76.45965785010308,75.67864069663028,86.59988710734474,83.5193099784428,86.61722878948832,81.11734041244395,91.65307863474786,86.15692109256894,89.98376762969262,66.03651765017979,78.62240752169703,83.84853927231487,83.13613175873658,81.97147182136187,77.85482474453714,87.1838758273935,86.59616309557492,85.09256046110359,86.20480648616805,-25.20066866454134,71.38486946629891,-33.19578742848478,75.0208425051142,71.42837165048152,75.35850724788548,-28.369614632058013,80.52325335804258,76.48393625789018
Episode feedback,0.8,0.4030418243288178,0.33146067322623407,0.19301848029464222,0.17460317391030486,0.16535433005766012,0.14583333289930556,0.11585365783016062,0.1008064512064256,0.11023622025544051,0.10169491508187302,0.07878787854912764,0.0827250606259731,0.05283018847988608,0.05580357130400988,0.06392694034736557,0.036144578226157645,0.05194805172316861,0.025893958044520396,0.022222222177328846,0.011904761876417234,0.011090572992438867,0.020576131644905078,0.013227513210016516,0.0021413276185410545,0.006423982855623163,0.009724473241937644,0.0,0.00400801602804808,0.001256281405456933,0.0,0.0,0.0020366598757264156,0.0,0.0,0.0,0.0
total seconds,0.0,36.3070809841156,62.0171639919281,123.73184752464294,141.25115418434143,158.22462511062622,179.64391803741455,190.1226840019226,205.0335500240326,235.83677101135254,269.04046392440796,287.6253881454468,312.42007398605347,327.9931457042694,353.25214886665344,366.38368821144104,390.16271471977234,403.89904713630676,447.1798644065857,473.51622772216797,495.3243296146393,522.8681085109711,547.9758052825928,586.0882198810577,609.5690054893494,633.2989618778229,663.9688899517059,687.6363768577576,736.8420007228851,775.9993510246277,824.8359174728394,863.3680620193481,911.2088329792023,956.4643089771271,1004.6572885513306,1032.7647275924683,1075.4940085411072
total minutes,0.0,0.6051180164019266,1.0336193998654684,2.0621974587440492,2.354185903072357,2.6370770851771037,2.994065300623576,3.1687114000320435,3.4172258337338763,3.930612850189209,4.484007732073466,4.79375646909078,5.2070012331008915,5.46655242840449,5.887535814444224,6.106394803524017,6.502711911996205,6.731650785605113,7.452997740109762,7.891937128702799,8.255405493577321,8.714468475182851,9.132930088043214,9.76813699801763,10.15948342482249,10.554982697963714,11.066148165861765,11.460606280962626,12.280700012048085,12.933322517077128,13.747265291213989,14.389467700322468,15.186813882986705,15.94107181628545,16.744288142522176,17.212745459874473,17.924900142351785
cummulative feedback,0.0,212.0,330.0,518.0,562.0,604.0,653.0,672.0,697.0,753.0,813.0,839.0,873.0,887.0,912.0,926.0,941.0,953.0,974.0,985.0,990.0,996.0,1006.0,1016.0,1017.0,1020.0,1026.0,1026.0,1030.0,1031.0,1031.0,1031.0,1033.0,1033.0,1033.0,1033.0,1033.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,526.0,356.0,974.0,252.0,254.0,336.0,164.0,248.0,508.0,590.0,330.0,411.0,265.0,448.0,219.0,415.0,231.0,811.0,495.0,420.0,541.0,486.0,756.0,467.0,467.0,617.0,470.0,998.0,796.0,998.0,783.0,982.0,926.0,998.0,569.0,874.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
