,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Accumulated time steps,0.0,538.0,986.0,1730.0,2198.0,2761.0,3583.0,3943.0,4211.0,4468.0,4939.0,5314.0,5475.0,5927.0,6186.0,6455.0,6993.0,7267.0,7443.0,7617.0,7772.0,8049.0,8217.0,8390.0,8838.0,9013.0,9171.0,9435.0,9990.0,10350.0,10601.0,10762.0,11030.0,11193.0,11535.0,11696.0,11943.0,12115.0,12766.0,13021.0,13180.0,13465.0,13624.0,13784.0,13947.0,14200.0,14369.0,14529.0,14882.0,15248.0,15420.0,15792.0,15951.0,16115.0,16275.0,16529.0,16876.0,17228.0,17389.0,17548.0,17711.0,17970.0,18224.0,18580.0,18871.0,19135.0,19482.0,19847.0
Episode reward,0.0,73.17401493622583,76.5658023242238,60.26390203465846,76.90397232939,71.70875653589185,59.327688082229365,81.79997568314113,86.56743907026426,86.3182298477233,72.82568450684562,79.85807292331796,89.10066770250525,74.08762478285897,85.61690496205556,82.37703133259788,67.05485310380888,84.86575951690843,87.86108314332981,89.02295686855771,90.13108644885325,83.56043983099914,89.62564430365674,90.9311224949617,72.63848904157732,88.99320569939573,90.70149179275465,82.91034032444225,69.41412992605422,75.417092734229,84.43138320269426,88.95731896436281,81.5596726202359,90.4672417667218,78.22234088841064,89.91821098668949,84.73394022103209,87.98451893418319,57.14451814558582,84.06962319680936,90.17263065167647,82.71232535334799,90.0373011840636,89.6077629054185,88.77753326609124,84.30908472136548,90.12818323924617,89.60519808259916,76.96585224847435,75.50466946196582,88.90462187320183,74.97147322152726,90.12936446938687,89.75423934932076,90.07671674169903,84.12558977105404,77.69532051891382,77.00287954041319,90.02714272977809,89.87249741992449,89.01767715149805,83.32125613009933,84.1546707675296,76.56020641163174,79.88422871342995,82.73798046138165,77.65507075336312,75.61932929536844
Episode feedback,0.8,0.36940298438544217,0.22371364603196053,0.11440107656204432,0.11349036378267588,0.1316725976304758,0.1059683311742164,0.04178272968862749,0.022471910028195093,0.011718749954223633,0.014893616989588049,0.013368983921473305,0.0,0.017738359162442662,0.015503875908899706,0.014925373078636667,0.011173184336735224,0.018315018247930335,0.028571428408163266,0.011560693574793678,0.012987012902681734,0.021739130356017645,0.017964071748718134,0.0,0.0067114093809588155,0.005747126403752147,0.00636942671102276,0.0038022813543639494,0.009025270741831641,0.005571030625150333,0.0,0.012499999921875001,0.0037453183380325157,0.006172839468068892,0.0,0.0,0.008130081267763897,0.005847953182175712,0.0015384615360946746,0.0,0.0,0.007042253496330093,0.0,0.0,0.012345678936137784,0.0,0.011904761833900228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,33.76036214828491,59.507519245147705,98.36614751815796,122.81231021881104,153.18393230438232,196.83511209487915,215.44829177856445,229.74324202537537,242.91841077804565,266.54365849494934,286.1960790157318,294.9629292488098,318.0703287124634,331.7838535308838,345.85697317123413,373.14910364151,387.5733232498169,397.2542841434479,406.76918292045593,415.3458950519562,430.03246903419495,439.4665410518646,448.98091316223145,472.0821530818939,481.6648533344269,490.3707082271576,504.3669593334198,532.6067199707031,551.5160193443298,564.9610073566437,573.7184860706329,587.8145575523376,596.8561947345734,614.75794506073,623.6164748668671,636.7884986400604,646.3745620250702,679.6552810668945,692.8871510028839,701.5879898071289,716.582850933075,725.4699702262878,734.3188719749451,743.2681519985199,756.5499467849731,765.8581049442291,774.6860816478729,792.9677083492279,811.7054274082184,821.0607163906097,839.8401191234589,848.4388644695282,857.1328835487366,865.4924042224884,878.0277917385101,894.9723553657532,912.3542165756226,920.6599113941193,929.0286104679108,937.3912959098816,950.1721296310425,962.7342412471771,979.774703502655,993.9280869960785,1007.1472113132477,1023.8549137115479,1041.4035592079163
total minutes,0.0,0.5626727024714152,0.9917919874191284,1.6394357919692992,2.0468718369801837,2.553065538406372,3.280585201581319,3.590804862976074,3.829054033756256,4.048640179634094,4.442394308249155,4.769934650262197,4.916048820813497,5.301172145207723,5.529730892181396,5.764282886187235,6.2191517273585,6.459555387496948,6.620904735724131,6.779486382007599,6.92243158419927,7.167207817236583,7.324442350864411,7.483015219370524,7.868035884698232,8.02774755557378,8.172845137119293,8.40611598889033,8.876778666178385,9.191933655738831,9.416016789277394,9.561974767843882,9.796909292538961,9.947603245576223,10.245965751012166,10.393607914447784,10.613141644001008,10.772909367084504,11.327588017781576,11.548119183381399,11.69313316345215,11.94304751555125,12.09116617043813,12.238647866249085,12.387802533308665,12.609165779749553,12.764301749070485,12.911434694131215,13.216128472487132,13.528423790136973,13.68434527317683,13.997335318724314,14.140647741158803,14.28554805914561,14.42487340370814,14.63379652897517,14.916205922762552,15.20590360959371,15.344331856568655,15.48381017446518,15.623188265164693,15.836202160517376,16.04557068745295,16.329578391710918,16.56546811660131,16.785786855220795,17.06424856185913,17.356725986798605
cummulative feedback,0.0,198.0,298.0,383.0,436.0,510.0,597.0,612.0,618.0,621.0,628.0,633.0,633.0,641.0,645.0,649.0,655.0,660.0,665.0,667.0,669.0,675.0,678.0,678.0,681.0,682.0,683.0,684.0,689.0,691.0,691.0,693.0,694.0,695.0,695.0,695.0,697.0,698.0,699.0,699.0,699.0,701.0,701.0,701.0,703.0,703.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,536.0,447.0,743.0,467.0,562.0,821.0,359.0,267.0,256.0,470.0,374.0,160.0,451.0,258.0,268.0,537.0,273.0,175.0,173.0,154.0,276.0,167.0,172.0,447.0,174.0,157.0,263.0,554.0,359.0,250.0,160.0,267.0,162.0,341.0,160.0,246.0,171.0,650.0,254.0,158.0,284.0,158.0,159.0,162.0,252.0,168.0,159.0,352.0,365.0,171.0,371.0,158.0,163.0,159.0,253.0,346.0,351.0,160.0,158.0,162.0,258.0,253.0,355.0,290.0,263.0,346.0,364.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
