,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Accumulated time steps,0.0,499.0,1059.0,1437.0,1740.0,2484.0,2750.0,3010.0,3402.0,3765.0,4237.0,5236.0,5390.0,5641.0,5895.0,6173.0,6370.0,6869.0,7152.0,7312.0,7470.0,7806.0,8067.0,8329.0,8592.0,8841.0,9103.0,9567.0,9727.0,9881.0,10157.0,10495.0,10786.0,11123.0,11369.0,11824.0,12170.0,12549.0,12710.0,12960.0,13384.0,13820.0,14166.0,14326.0,14594.0,14834.0,15198.0,15564.0,15944.0,16111.0,16271.0,16437.0,16597.0,16855.0,17114.0,17279.0,17542.0,17811.0,17971.0,18240.0,18506.0,18666.0,19019.0,19390.0,19648.0,20001.0
Episode reward,0.0,75.33714570819738,72.96059640298375,80.75122504172565,82.12069786508147,60.81057058723809,86.49792357909293,86.79037440507908,78.64025587510606,81.43642360458512,73.1660929832781,-61.16391678590557,91.53436888654245,85.94078609801831,86.64650760092039,84.08925409993317,87.82210080072771,70.22916984444637,82.79288336865562,90.56704971910175,90.30762527259205,80.06380433347707,84.53401686767519,84.53820011090639,81.99172449648353,86.47736394321015,87.02470380663199,72.88830110507175,90.9956463919896,91.50567526688425,83.15230736114668,82.85758038104126,82.33302965182077,78.01661825200631,84.74251587442029,74.17991012195758,87.5152272180618,79.0352004535124,90.31322678048033,86.24246573934968,71.74822032854428,70.82232162748592,76.43359919818477,90.69264522679876,84.31989458740625,83.34792549780526,79.75835411830272,78.77048978546372,77.19418639941024,90.49131239825206,90.71514587027855,90.57390805754487,90.79693180911994,85.93657221301994,85.54884049589975,90.65870880461571,85.59739975801502,83.88387032404131,90.50336854822817,83.87205514373403,85.3104791633124,90.64178120944754,80.61119491493814,78.3888813715905,85.86621841028519,80.76595968253328
Episode feedback,0.8,0.3480885304867434,0.2289803215939529,0.1750663125329806,0.06622516534362528,0.11440107656204432,0.06037735826272695,0.1119691115367988,0.05626598451082868,0.08287292794786484,0.048832271658530206,0.01703406811920434,0.013071895339399377,0.007999999968,0.015810276617350686,0.014440433160864862,0.03571428553206997,0.01204819274689118,0.0035460992782053217,0.0,0.0,0.0029850746179550013,0.003846153831360947,0.0038314176098413117,0.0038167938785618554,0.0,0.0076628352196826234,0.0,0.012578616273090464,0.0,0.003636363623140496,0.002967359041639884,0.0,0.0029761904673327663,0.004081632636401499,0.0022026431669545303,0.0,0.002645502638503961,0.0,0.00401606424089934,0.0,0.0,0.002898550716236085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,31.872974395751953,64.12558436393738,85.46896862983704,101.19653105735779,140.51260638237,154.40636348724365,168.58941340446472,188.29888892173767,207.31377601623535,231.72991132736206,281.5495240688324,290.0730404853821,303.1324474811554,316.5068485736847,331.1562294960022,341.8452687263489,367.75221276283264,382.63179898262024,391.6005325317383,400.47122597694397,417.9757490158081,431.70878052711487,445.66489839553833,459.526793718338,472.9260401725769,486.81709694862366,510.4929440021515,519.3585503101349,528.1133120059967,542.4737968444824,560.1111285686493,575.5480346679688,593.0730814933777,606.159158706665,629.4415197372437,646.96759724617,666.3326003551483,675.1783480644226,687.9245045185089,708.8942973613739,730.9690930843353,748.6816749572754,757.4105558395386,771.4880023002625,783.8639018535614,802.3868148326874,820.4544665813446,839.1029360294342,848.0638062953949,856.8415417671204,865.5232419967651,874.1160616874695,887.2950811386108,900.918785572052,909.6846537590027,922.7994198799133,936.407066822052,944.8017933368683,958.3135159015656,971.3114230632782,979.5779716968536,996.7393152713776,1014.6240260601044,1027.3490586280823,1044.8574061393738
total minutes,0.0,0.5312162399291992,1.0687597393989563,1.424482810497284,1.6866088509559631,2.3418767730395,2.5734393914540608,2.8098235567410788,3.1383148153622944,3.4552296002705893,3.8621651887893678,4.692492067813873,4.834550674756368,5.052207458019256,5.275114142894745,5.519270491600037,5.697421145439148,6.1292035460472105,6.377196649710338,6.526675542195638,6.674520432949066,6.966262483596802,7.195146342118581,7.427748306592306,7.658779895305633,7.8821006695429485,8.113618282477061,8.508215733369191,8.655975838502249,8.801888533433278,9.04122994740804,9.335185476144154,9.592467244466146,9.88455135822296,10.102652645111084,10.490691995620727,10.782793287436167,11.105543339252472,11.252972467740376,11.465408408641816,11.814904956022898,12.182818218072255,12.47802791595459,12.62350926399231,12.858133371671041,13.064398364226024,13.37311358054479,13.674241109689076,13.985048933823903,14.134396771589914,14.28069236278534,14.425387366612751,14.568601028124492,14.78825135231018,15.015313092867533,15.161410895983378,15.37999033133189,15.6067844470342,15.746696555614472,15.97189193169276,16.188523717721303,16.326299528280895,16.612321921189626,16.910400434335074,17.12248431046804,17.414290102322898
cummulative feedback,0.0,173.0,301.0,367.0,387.0,472.0,488.0,517.0,539.0,569.0,592.0,609.0,611.0,613.0,617.0,621.0,628.0,634.0,635.0,635.0,635.0,636.0,637.0,638.0,639.0,639.0,641.0,641.0,643.0,643.0,644.0,645.0,645.0,646.0,647.0,648.0,648.0,649.0,649.0,650.0,650.0,650.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,497.0,559.0,377.0,302.0,743.0,265.0,259.0,391.0,362.0,471.0,998.0,153.0,250.0,253.0,277.0,196.0,498.0,282.0,159.0,157.0,335.0,260.0,261.0,262.0,248.0,261.0,463.0,159.0,153.0,275.0,337.0,290.0,336.0,245.0,454.0,345.0,378.0,160.0,249.0,423.0,435.0,345.0,159.0,267.0,239.0,363.0,365.0,379.0,166.0,159.0,165.0,159.0,257.0,258.0,164.0,262.0,268.0,159.0,268.0,265.0,159.0,352.0,370.0,257.0,352.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
