,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Accumulated time steps,0.0,728.0,1014.0,1282.0,1558.0,1941.0,2940.0,3478.0,3839.0,4326.0,4684.0,4939.0,5287.0,5450.0,5710.0,5996.0,6154.0,6305.0,6466.0,6624.0,6878.0,7136.0,7677.0,8104.0,8397.0,8666.0,8855.0,9205.0,9492.0,9667.0,9939.0,10278.0,10525.0,10792.0,11068.0,11411.0,11686.0,11849.0,12114.0,12459.0,12727.0,12974.0,13216.0,13461.0,13700.0,14121.0,14370.0,14609.0,14758.0,14907.0,15161.0,15316.0,15482.0,15633.0,15996.0,16335.0,16768.0,17094.0,17508.0,17849.0,18087.0,18353.0,18591.0,18837.0,19185.0,19608.0,19860.0
Episode reward,0.0,63.41511288306688,85.7501577222726,86.52465370530734,85.8442741497428,80.59567963783883,-59.62856164023656,73.69784542222665,79.97429174813615,73.13843981370889,81.04133462106168,85.62796439780789,81.64753423898446,90.92419749189997,86.42025145881111,81.0814590714738,91.0348612789908,91.65328429344802,90.62594230107925,91.94355513845088,85.20620328988501,85.21359952268595,66.22401828743169,73.37663760244645,80.18801737595902,83.69874257312135,87.72536497305688,79.79084004359953,81.71240387945363,89.62955267533025,84.24905144701376,81.91047270136585,86.85531655906297,84.72474225142403,83.18319501133956,81.45489536476273,83.29311594022555,90.5881788776202,84.46742987755847,81.21691339153992,84.05605599732274,86.47466884168938,84.99131711937494,83.80086911457563,84.71066865787381,71.87692037104352,83.33636312180475,85.05097016603405,90.34111204159998,90.36453849183482,84.14459112263727,89.57450104417454,88.38220135542073,90.06919560158691,76.58639034868372,77.21878361046751,72.31798024296458,79.20047033529124,73.55489976511292,76.99638564616495,85.05718611010117,83.0685789247853,84.98920327393921,83.67747407008056,77.95556244654603,71.63522884628978,84.30269818302682
Episode feedback,0.8,0.3415977956727303,0.19649122738073255,0.1947565535776908,0.1636363630413223,0.13089005201337683,0.03106212421737262,0.09683426425170528,0.0583333331712963,0.034979423796338636,0.02801120440332996,0.023622047151094304,0.014409221860492157,0.03086419734034446,0.019305019230482553,0.007017543835026162,0.0,0.0066666666222222224,0.006249999960937501,0.0,0.007905138308675343,0.015564202274069253,0.011111111090534979,0.009389671339460866,0.003424657522518296,0.0,0.0,0.005730659009367739,0.0,0.011494252807504294,0.007380073773505263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040650406338819485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.845945596694946,62.259143590927124,77.65020799636841,93.12388753890991,113.71088814735413,163.05811262130737,191.6541895866394,210.41761374473572,235.2078251838684,253.97032690048218,267.5868058204651,285.50792241096497,294.45085048675537,308.33843326568604,323.3865644931793,332.11034655570984,340.51121759414673,349.43196988105774,358.07473516464233,371.4576599597931,385.1406297683716,412.6431231498718,434.5111331939697,449.7307071685791,463.74674916267395,473.9304049015045,492.023300409317,507.02409195899963,516.5918841362,530.9511179924011,548.7039594650269,561.9810729026794,575.9765605926514,590.509861946106,608.3402092456818,622.349839925766,631.2686498165131,644.8154473304749,662.3714654445648,676.4290118217468,688.9703872203827,701.8020250797272,714.7998764514923,727.3915047645569,749.0023400783539,762.1989943981171,775.0304021835327,783.0220754146576,790.8903975486755,803.9837095737457,812.3348712921143,821.1691756248474,829.4841642379761,848.0815663337708,865.0753061771393,886.501371383667,902.9443044662476,923.3449318408966,940.4847958087921,952.6024751663208,965.8089661598206,978.0076608657837,990.6991491317749,1007.6851854324341,1028.432329416275,1041.0078737735748
total minutes,0.0,0.7640990932782491,1.0376523931821187,1.2941701332728068,1.5520647923151651,1.8951814691225688,2.7176352103551227,3.194236493110657,3.5069602290789286,3.92013041973114,4.232838781674703,4.4597800970077515,4.758465373516083,4.907514174779256,5.138973887761434,5.389776074886322,5.535172442595164,5.675186959902446,5.823866164684295,5.967912252744039,6.190960999329885,6.419010496139526,6.8773853858311975,7.241852219899496,7.495511786142985,7.729112486044566,7.898840081691742,8.200388340155284,8.450401532649995,8.609864735603333,8.849185299873351,9.145065991083781,9.366351215044658,9.599609343210856,9.841831032435099,10.13900348742803,10.3724973320961,10.52114416360855,10.746924122174581,11.039524424076081,11.27381686369578,11.482839787006379,11.696700417995453,11.913331274191538,12.123191746075948,12.483372334639231,12.70331657330195,12.917173369725544,13.050367923577626,13.18150662581126,13.399728492895763,13.538914521535238,13.68615292708079,13.824736070632934,14.134692772229512,14.417921769618989,14.77502285639445,15.049071741104125,15.389082197348277,15.674746596813202,15.87670791943868,16.096816102663677,16.300127681096395,16.51165248552958,16.794753090540567,17.140538823604583,17.35013122955958
cummulative feedback,0.0,248.0,304.0,356.0,401.0,451.0,482.0,534.0,555.0,572.0,582.0,588.0,593.0,598.0,603.0,605.0,605.0,606.0,607.0,607.0,609.0,613.0,619.0,623.0,624.0,624.0,624.0,626.0,626.0,628.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,726.0,285.0,267.0,275.0,382.0,998.0,537.0,360.0,486.0,357.0,254.0,347.0,162.0,259.0,285.0,157.0,150.0,160.0,157.0,253.0,257.0,540.0,426.0,292.0,268.0,188.0,349.0,286.0,174.0,271.0,338.0,246.0,266.0,275.0,342.0,274.0,162.0,264.0,344.0,267.0,246.0,241.0,244.0,238.0,420.0,248.0,238.0,148.0,148.0,253.0,154.0,165.0,150.0,362.0,338.0,432.0,325.0,413.0,340.0,237.0,265.0,237.0,245.0,347.0,422.0,251.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
