,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Accumulated time steps,0.0,645.0,921.0,1366.0,2365.0,2520.0,2785.0,3093.0,3634.0,3920.0,4553.0,5463.0,5836.0,6101.0,6442.0,6772.0,7111.0,7363.0,7519.0,7779.0,8131.0,8401.0,8571.0,8819.0,9096.0,9391.0,9816.0,10078.0,10421.0,10672.0,10933.0,11283.0,11533.0,11777.0,12287.0,12621.0,12973.0,13344.0,13619.0,13901.0,14061.0,14413.0,14576.0,14854.0,15112.0,15388.0,15690.0,15976.0,16423.0,16587.0,16863.0,17031.0,17201.0,17362.0,17741.0,17906.0,18174.0,18335.0,18616.0,18991.0,19241.0,19490.0,19734.0,19978.0
Episode reward,0.0,68.4237600216945,86.5314740078224,78.58139442299156,-64.1277395066017,91.10808512956729,86.59487100289465,82.05190506434677,70.28578429775352,86.16068738944217,60.783109659492055,42.2993615919852,78.81789584777735,83.92189401412638,78.45103909570068,77.06172566107972,80.81385506561935,85.54905353258629,91.02552048797648,85.12947565360972,81.58558359488025,85.3172329264313,90.24608864126185,86.0927910781921,83.32083907029593,84.38837316730309,80.27564496306536,85.42476577246002,76.98400411269148,84.44276401021816,86.78382233492988,82.74341502339314,87.33021960022786,84.81281313410561,68.22894136345525,80.15372309595658,77.96738381601895,80.34853515368653,84.5401174535054,83.63560838151552,91.53338489563373,83.02287171101311,91.34542036440169,84.50521982621581,86.96275504925838,84.41950348600851,81.57999091618703,83.21149267250166,78.55385532158971,91.25645225651212,84.36535132692563,90.91057248183745,90.72812323503763,91.47875812512954,79.30083535701972,91.1848389730439,86.36816766818922,91.4417857909063,83.51017211041201,75.7728877213147,84.6265729947689,84.68428573420536,84.57396463168112,84.63698581096534
Episode feedback,0.8,0.3063763603322296,0.2509090899966942,0.14189189157231555,0.014028056098168281,0.09740259677011301,0.08333333301767677,0.058631921633120775,0.04074074066529493,0.04561403492767006,0.01582278478509053,0.01100110009790858,0.01344086017892242,0.018939393867653812,0.014705882309688582,0.0,0.01775147923742166,0.015936254916588625,0.012903225723204995,0.0,0.005698005681772063,0.007434944210279018,0.0,0.008097165959120786,0.003623188392669607,0.0,0.002358490560475258,0.0038314176098413117,0.0,0.003999999984,0.0,0.0,0.00401606424089934,0.0,0.001964636538379889,0.003003002993984976,0.0028490028408860316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035714285586734697,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,39.97135281562805,56.65194249153137,81.07684898376465,129.5944697856903,138.19147872924805,152.3526885509491,168.02905559539795,195.57368421554565,210.5011625289917,242.52053689956665,288.01196813583374,307.02933287620544,321.13515973091125,338.8703033924103,355.947021484375,373.55510663986206,386.98053789138794,395.7416365146637,409.50316190719604,427.82148814201355,441.9751048088074,451.2440993785858,464.5082035064697,479.14215445518494,494.80727529525757,516.6499543190002,530.3532283306122,548.3092715740204,561.7775564193726,575.3635301589966,592.6820900440216,605.4357559680939,617.9334232807159,643.5517210960388,661.040102481842,679.3276307582855,698.037006855011,712.279983997345,727.0561375617981,735.9036481380463,753.9189150333405,762.675112247467,776.5741894245148,789.5388343334198,803.7920370101929,818.921311378479,833.6343936920166,856.029173374176,865.0732643604279,879.3260691165924,888.3683037757874,897.6977910995483,906.6124317646027,925.2744386196136,933.7289412021637,946.5739321708679,954.9795274734497,969.0703349113464,988.2638359069824,1001.1275222301483,1013.4817688465118,1025.6921377182007,1037.509677886963
total minutes,0.0,0.6661892135938009,0.9441990415255229,1.3512808163960774,2.1599078297615053,2.303191312154134,2.5392114758491515,2.8004842599232993,3.2595614035924276,3.5083527088165285,4.042008948326111,4.800199468930562,5.117155547936758,5.352252662181854,5.647838389873504,5.932450358072916,6.225918443997701,6.4496756315231325,6.595693941911062,6.825052698453267,7.1303581357002255,7.3662517468134565,7.520734989643097,7.7418033917744955,7.985702574253082,8.246787921587627,8.610832571983337,8.83922047217687,9.138487859567006,9.362959273656209,9.589392169316609,9.878034834067027,10.090595932801564,10.298890388011932,10.725862018267314,11.017335041364033,11.32212717930476,11.633950114250183,11.871333066622416,12.117602292696635,12.265060802300772,12.565315250555674,12.711251870791118,12.942903157075246,13.158980572223664,13.39653395016988,13.64868852297465,13.89390656153361,14.2671528895696,14.417887739340465,14.65543448527654,14.806138396263123,14.961629851659138,15.110207196076711,15.421240643660228,15.562149020036061,15.7762322028478,15.916325457890828,16.15117224852244,16.47106393178304,16.685458703835806,16.89136281410853,17.09486896197001,17.291827964782716
cummulative feedback,0.0,197.0,266.0,329.0,343.0,358.0,380.0,398.0,420.0,433.0,443.0,453.0,458.0,463.0,468.0,468.0,474.0,478.0,480.0,480.0,482.0,484.0,484.0,486.0,487.0,487.0,488.0,489.0,489.0,490.0,490.0,490.0,491.0,491.0,492.0,493.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,495.0,495.0,495.0,495.0,495.0,495.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,643.0,275.0,444.0,998.0,154.0,264.0,307.0,540.0,285.0,632.0,909.0,372.0,264.0,340.0,329.0,338.0,251.0,155.0,259.0,351.0,269.0,169.0,247.0,276.0,294.0,424.0,261.0,342.0,250.0,260.0,349.0,249.0,243.0,509.0,333.0,351.0,370.0,274.0,281.0,159.0,351.0,162.0,277.0,257.0,275.0,301.0,285.0,446.0,163.0,275.0,167.0,169.0,160.0,378.0,164.0,267.0,160.0,280.0,374.0,249.0,248.0,243.0,243.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
