,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Accumulated time steps,0.0,904.0,1266.0,1628.0,2050.0,2607.0,3606.0,4321.0,5307.0,5955.0,6214.0,6652.0,6911.0,7260.0,7638.0,7901.0,8067.0,8234.0,8511.0,8954.0,9297.0,9459.0,9710.0,9966.0,10221.0,10565.0,10826.0,11087.0,11338.0,11686.0,12154.0,12421.0,12682.0,12849.0,13115.0,13299.0,13679.0,13933.0,14300.0,14729.0,15081.0,15241.0,15501.0,15932.0,16275.0,16792.0,17154.0,17422.0,17589.0,17960.0,18252.0,18617.0,18892.0,19167.0,19443.0,19607.0,19914.0
Episode reward,0.0,52.27011648934293,82.53467310906021,83.07664596031157,77.32212382793885,71.66231806286595,-61.79926373807741,66.17038800161127,47.44617825337267,65.6931737809904,86.20168915389843,73.3252601548765,86.91606885239916,79.55748621022182,78.16132858153308,84.86037818615951,90.00610862562093,90.08875784528674,83.25686586294626,74.53494353652476,81.864747596211,91.9868436822449,86.93188590376036,86.37183532147584,87.04523660027291,82.10731698810805,86.29042413726332,86.86935319343162,87.78335209459004,84.41118008798574,74.56372720125475,83.81865683361907,87.70911859689365,91.31684256036374,86.5259504686492,88.287354546096,75.69941190241238,85.63846195657855,78.41372505168592,75.65970407027037,79.84112677506502,90.47512707596049,85.05028549683169,75.52605769385137,80.65862465476275,70.32200490207552,78.17421805438956,86.51639057853492,91.36931253398927,83.03684720701764,83.01841817067522,82.76434171810025,86.88387567144082,85.25624069401009,85.21918643345165,91.4304983060099,81.49766410484924
Episode feedback,0.8,0.3037694009936038,0.2077562321114786,0.16066481949954345,0.1710213772659825,0.10611510772281456,0.037074148259444745,0.0714285713285314,0.03451776646241851,0.023183925775604443,0.019379844886124632,0.002288329514214349,0.01162790693167478,0.011494252840533757,0.0026525198868633426,0.011450381635685566,0.0,0.012048192698504864,0.0,0.004524886867590754,0.0,0.01242236017128969,0.0,0.0,0.007874015717031434,0.011661807546175488,0.0,0.007692307662721894,0.007999999968,0.0,0.0021413276185410545,0.0037593984821075246,0.0,0.0,0.0,0.005464480844456389,0.005277044840957665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027700830948197146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,55.64845561981201,76.6424081325531,96.37951374053955,119.73944115638733,149.20375871658325,198.87511372566223,235.61892437934875,285.8213121891022,318.39861822128296,332.04418754577637,354.4399673938751,368.1625487804413,386.2895348072052,405.83092045783997,419.68109130859375,428.8728971481323,438.05870938301086,452.5955021381378,475.6754641532898,493.56087946891785,502.4872205257416,515.6453723907471,529.3508403301239,543.0495557785034,560.7559292316437,574.5675823688507,588.4545345306396,601.7583837509155,619.6046452522278,643.0595617294312,657.1447131633759,670.5505690574646,679.458859205246,693.1908528804779,702.960216999054,722.4012145996094,735.8327715396881,754.9778320789337,777.1818897724152,795.2720277309418,804.2767260074615,818.1727387905121,839.8581323623657,857.2180387973785,882.6408643722534,901.3160693645477,914.3582897186279,923.1197624206543,941.4534275531769,955.9362494945526,973.6610226631165,987.3035984039307,1001.3101189136505,1015.0507919788361,1023.4251821041107,1038.370733499527
total minutes,0.0,0.9274742603302002,1.277373468875885,1.6063252290089924,1.9956573526064554,2.486729311943054,3.3145852287610373,3.926982072989146,4.763688536485036,5.3066436370213825,5.534069792429606,5.907332789897919,6.136042479674021,6.43815891345342,6.763848674297333,6.9946848551432295,7.147881619135538,7.300978489716848,7.543258368968964,7.92792440255483,8.226014657815297,8.37478700876236,8.594089539845784,8.822514005502065,9.050825929641723,9.345932153860728,9.576126372814178,9.807575575510661,10.029306395848591,10.32674408753713,10.717659362157185,10.952411886056264,11.17584281762441,11.324314320087433,11.553180881341298,11.7160036166509,12.040020243326824,12.26387952566147,12.582963867982228,12.95303149620692,13.254533795515696,13.404612100124359,13.636212313175202,13.997635539372762,14.286967313289642,14.71068107287089,15.021934489409128,15.2393048286438,15.385329373677571,15.690890459219615,15.93227082490921,16.22768371105194,16.455059973398843,16.688501981894174,16.917513199647267,17.057086368401844,17.30617889165878
cummulative feedback,0.0,274.0,349.0,407.0,479.0,538.0,575.0,626.0,660.0,675.0,680.0,681.0,684.0,688.0,689.0,692.0,692.0,694.0,694.0,696.0,696.0,698.0,698.0,698.0,700.0,704.0,704.0,706.0,708.0,708.0,709.0,710.0,710.0,710.0,710.0,711.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,902.0,361.0,361.0,421.0,556.0,998.0,714.0,985.0,647.0,258.0,437.0,258.0,348.0,377.0,262.0,165.0,166.0,276.0,442.0,342.0,161.0,250.0,255.0,254.0,343.0,260.0,260.0,250.0,347.0,467.0,266.0,260.0,166.0,265.0,183.0,379.0,253.0,366.0,428.0,351.0,159.0,259.0,430.0,342.0,516.0,361.0,267.0,166.0,370.0,291.0,364.0,274.0,274.0,275.0,163.0,306.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
